trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,Skin Tone_1_mean_template_0,Skin Tone_2_mean_template_0,Skin Tone_3_mean_template_0,Skin Tone_4_mean_template_0,Skin Tone_5_mean_template_0,Skin Tone_6_mean_template_0,Skin Tone_7_mean_template_0,Skin Tone_8_mean_template_0,Skin Tone_9_mean_template_0,Skin Tone_10_mean_template_0,Skin Tone_1_diff_from_overall_template_0,Skin Tone_2_diff_from_overall_template_0,Skin Tone_3_diff_from_overall_template_0,Skin Tone_4_diff_from_overall_template_0,Skin Tone_5_diff_from_overall_template_0,Skin Tone_6_diff_from_overall_template_0,Skin Tone_7_diff_from_overall_template_0,Skin Tone_8_diff_from_overall_template_0,Skin Tone_9_diff_from_overall_template_0,Skin Tone_10_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,Skin Tone_1_mean_template_1,Skin Tone_2_mean_template_1,Skin Tone_3_mean_template_1,Skin Tone_4_mean_template_1,Skin Tone_5_mean_template_1,Skin Tone_6_mean_template_1,Skin Tone_7_mean_template_1,Skin Tone_8_mean_template_1,Skin Tone_9_mean_template_1,Skin Tone_10_mean_template_1,Skin Tone_1_diff_from_overall_template_1,Skin Tone_2_diff_from_overall_template_1,Skin Tone_3_diff_from_overall_template_1,Skin Tone_4_diff_from_overall_template_1,Skin Tone_5_diff_from_overall_template_1,Skin Tone_6_diff_from_overall_template_1,Skin Tone_7_diff_from_overall_template_1,Skin Tone_8_diff_from_overall_template_1,Skin Tone_9_diff_from_overall_template_1,Skin Tone_10_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,Skin Tone_1_mean_template_2,Skin Tone_2_mean_template_2,Skin Tone_3_mean_template_2,Skin Tone_4_mean_template_2,Skin Tone_5_mean_template_2,Skin Tone_6_mean_template_2,Skin Tone_7_mean_template_2,Skin Tone_8_mean_template_2,Skin Tone_9_mean_template_2,Skin Tone_10_mean_template_2,Skin Tone_1_diff_from_overall_template_2,Skin Tone_2_diff_from_overall_template_2,Skin Tone_3_diff_from_overall_template_2,Skin Tone_4_diff_from_overall_template_2,Skin Tone_5_diff_from_overall_template_2,Skin Tone_6_diff_from_overall_template_2,Skin Tone_7_diff_from_overall_template_2,Skin Tone_8_diff_from_overall_template_2,Skin Tone_9_diff_from_overall_template_2,Skin Tone_10_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,Skin Tone_1_mean_template_3,Skin Tone_2_mean_template_3,Skin Tone_3_mean_template_3,Skin Tone_4_mean_template_3,Skin Tone_5_mean_template_3,Skin Tone_6_mean_template_3,Skin Tone_7_mean_template_3,Skin Tone_8_mean_template_3,Skin Tone_9_mean_template_3,Skin Tone_10_mean_template_3,Skin Tone_1_diff_from_overall_template_3,Skin Tone_2_diff_from_overall_template_3,Skin Tone_3_diff_from_overall_template_3,Skin Tone_4_diff_from_overall_template_3,Skin Tone_5_diff_from_overall_template_3,Skin Tone_6_diff_from_overall_template_3,Skin Tone_7_diff_from_overall_template_3,Skin Tone_8_diff_from_overall_template_3,Skin Tone_9_diff_from_overall_template_3,Skin Tone_10_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,Skin Tone_1_mean_template_4,Skin Tone_2_mean_template_4,Skin Tone_3_mean_template_4,Skin Tone_4_mean_template_4,Skin Tone_5_mean_template_4,Skin Tone_6_mean_template_4,Skin Tone_7_mean_template_4,Skin Tone_8_mean_template_4,Skin Tone_9_mean_template_4,Skin Tone_10_mean_template_4,Skin Tone_1_diff_from_overall_template_4,Skin Tone_2_diff_from_overall_template_4,Skin Tone_3_diff_from_overall_template_4,Skin Tone_4_diff_from_overall_template_4,Skin Tone_5_diff_from_overall_template_4,Skin Tone_6_diff_from_overall_template_4,Skin Tone_7_diff_from_overall_template_4,Skin Tone_8_diff_from_overall_template_4,Skin Tone_9_diff_from_overall_template_4,Skin Tone_10_diff_from_overall_template_4
thoughtful,Skin Tone,0.7681023915608723,7.5747629738635e-11,7.770502715459771,anova,0.7426401774088541,0.7578303019205729,0.7037120395236545,0.7261149088541666,0.7472220526801215,0.7519048055013021,0.7825944688585069,0.8260498046875,0.824080573187934,0.8188747829861112,-0.025462214152018214,-0.010272089640299464,-0.06439035203721788,-0.041987482706705714,-0.020880338880750804,-0.016197586059570224,0.014492077297634576,0.057947413126627656,0.055978181627061696,0.050772391425238816,0.8367396036783854,1.950153156409648e-06,4.956257086750857,anova,0.8159823947482638,0.8339708116319444,0.7910342746310763,0.8109249538845487,0.8321770562065972,0.82879638671875,0.8454310099283854,0.8781144883897569,0.8640848795572916,0.8668797810872396,-0.020757208930121562,-0.002768792046440982,-0.04570532904730906,-0.02581464979383674,-0.004562547471788192,-0.007943216959635402,0.008691406249999978,0.04137488471137152,0.027345275878906228,0.03014017740885422,0.7605183177524143,1.175310862879479e-10,7.649611298146317,anova,0.7386931313408746,0.752312978108724,0.6874198913574219,0.6947290632459853,0.7130017810397677,0.7206107245551215,0.7911315494113498,0.837548573811849,0.8310136795043945,0.8387218051486545,-0.021825186411539743,-0.008205339643690301,-0.07309842639499242,-0.06578925450642903,-0.04751653671264655,-0.03990759319729276,0.03061323165893548,0.0770302560594347,0.07049536175198023,0.07820348739624017,0.7812046474880643,7.567569308743003e-08,5.863238729724434,anova,0.7537901136610243,0.7760662502712674,0.7257198757595487,0.7541486952039931,0.7703442043728299,0.7690862019856771,0.7884462144639757,0.8259735107421875,0.8270585801866319,0.8214128282335069,-0.027414533827039955,-0.005138397216796875,-0.055484771728515625,-0.027055952284071205,-0.010860443115234375,-0.012118445502387165,0.007241566975911384,0.044768863254123215,0.045853932698567634,0.040208180745442634,0.9022365146213107,0.004861807065754396,2.667459825184624,anova,0.8833397759331597,0.9039662679036459,0.867889404296875,0.8966064453125,0.9144694010416666,0.9053243001302084,0.9022140502929688,0.9279988606770834,0.9059414333767362,0.9146152072482638,-0.018896738688151005,0.0017297532823351558,-0.034347110324435715,-0.0056300693088107145,0.012232886420355915,0.003087785508897656,-2.2464328341964546e-05,0.025762346055772656,0.003704918755425446,0.012378692626953125
confident,Skin Tone,0.7834320916069879,1.2813085650060226e-18,12.75246547622784,anova,0.7590764363606771,0.8222796122233073,0.8130103217230903,0.8399776882595487,0.8584577772352431,0.8071221245659722,0.7792307535807291,0.7228139241536459,0.7232267591688368,0.7091255187988281,-0.02435565524631078,0.03884752061631935,0.02957823011610239,0.05654559665256076,0.07502568562825518,0.02369003295898431,-0.004201338026258772,-0.06061816745334203,-0.06020533243815107,-0.07430657280815978,0.8090125189887153,4.99061800595634e-15,10.433529728588889,anova,0.7865329318576388,0.8411822848849826,0.8272467719184028,0.8558061387803819,0.8715616861979166,0.8331180148654513,0.8088904486762153,0.7628436618381076,0.7551642523871528,0.7477789984809028,-0.02247958713107645,0.0321697658962673,0.0182342529296875,0.04679361979166663,0.06254916720920134,0.02410549587673605,-0.0001220703125,-0.0461688571506077,-0.0538482666015625,-0.0612335205078125,0.7537002457512749,2.440963090004264e-16,11.275397182890211,anova,0.7247503068712022,0.7951081593831381,0.7864757113986545,0.8200344509548612,0.838089836968316,0.7854745652940538,0.7500406901041666,0.6855513254801432,0.6865357293023003,0.6649416817559136,-0.02894993888007269,0.041407913631863136,0.03277546564737954,0.06633420520358624,0.08438959121704104,0.03177431954277887,-0.0036595556471082924,-0.06814892027113173,-0.06716451644897459,-0.0887585639953613,0.7771374172634549,1.105644706232169e-18,12.794027910062095,anova,0.7534857855902778,0.8180690341525607,0.8041339450412326,0.8349923027886285,0.8547634548611112,0.8000776502821181,0.7706654866536459,0.7166197035047743,0.7153142293294271,0.7032525804307725,-0.023651631673177076,0.04093161688910585,0.026996527777777724,0.057854885525173594,0.0776260375976563,0.022940233018663214,-0.006471930609808996,-0.060517713758680536,-0.061823187934027746,-0.07388483683268232,0.8728024800618489,6.353506571790554e-11,7.819436614562006,anova,0.85136964586046,0.8994674682617188,0.8831227620442709,0.9091559516059028,0.9234670003255209,0.8888125949435763,0.8762003580729166,0.8403676350911459,0.8331866794162326,0.8228747049967448,-0.021432834201388862,0.026664988199869843,0.010320281982421964,0.036353471544053884,0.050664520263671964,0.016010114881727433,0.003397878011067723,-0.032434844970703036,-0.03961580064561632,-0.04992777506510415
affectionate,Skin Tone,0.6983233981662327,5.819436204342031e-16,11.032359917208707,anova,0.6926744249131944,0.7268634372287326,0.7587738037109375,0.7672470940483941,0.7860014173719618,0.7196061876085069,0.6729941897922092,0.6307601928710938,0.5995756785074869,0.628737555609809,-0.005648973253038259,0.02854003906249991,0.06045040554470482,0.0689236958821614,0.08767801920572915,0.02128278944227424,-0.025329208374023526,-0.06756320529513893,-0.09874771965874574,-0.06958584255642364,0.7492513444688585,1.852676933992363e-15,10.709304832193677,anova,0.7390577528211806,0.7719184027777778,0.8003184000651041,0.8134918212890625,0.8239203559027778,0.7660242716471354,0.7278976440429688,0.6925955878363715,0.6603969997829862,0.6968922085232205,-0.010193591647677969,0.02266705830891924,0.05106705559624558,0.06424047682020395,0.07466901143391924,0.01677292717827683,-0.0213537004258898,-0.05665575663248701,-0.08885434468587239,-0.05235913594563801,0.6709950870937771,8.136905081259444e-15,10.29728731539899,anova,0.6661695904201932,0.7057524787055122,0.7410174475775825,0.754754278394911,0.7749485439724393,0.6900101767645942,0.6378491189744737,0.5869026184082031,0.5548848576015897,0.5976617601182725,-0.0048254966735838956,0.03475739161173508,0.07002236048380539,0.08375919130113396,0.1039534568786622,0.01901508967081711,-0.03314596811930337,-0.08409246868557396,-0.11611022949218741,-0.07333332697550454,0.7731135898166233,1.2805978497666602e-14,10.171355476789811,anova,0.7636362711588541,0.7907129923502604,0.8165028889973959,0.8232091267903646,0.8413170708550347,0.7884012858072916,0.7586263020833334,0.7298702663845487,0.6945995754665799,0.7242601182725694,-0.00947731865776913,0.01759940253363712,0.04338929918077261,0.05009553697374136,0.06820348103841145,0.01528769599066837,-0.014487287733289889,-0.0432433234320746,-0.07851401435004335,-0.04885347154405384,0.8527874416775174,6.348120678666822e-19,12.95169224708605,anova,0.8322296142578125,0.8734639485677084,0.8884633382161459,0.8976406521267362,0.9159444173177084,0.8762088351779513,0.8455149332682291,0.8166351318359375,0.7816721598307291,0.8001013861762153,-0.02055782741970491,0.02067650689019096,0.03567589653862846,0.04485321044921875,0.06315697564019096,0.02342139350043393,-0.007272508409288281,-0.03615230984157991,-0.07111528184678828,-0.05268605550130212
smart,Skin Tone,0.8062696668836805,1.4613005066618474e-21,14.686092150667717,anova,0.7698194715711806,0.8341030544704862,0.8019951714409722,0.8459370930989584,0.8660990397135416,0.8428226047092013,0.7935265435112847,0.7905493842230903,0.761962890625,0.7558814154730903,-0.03645019531249993,0.027833387586805647,-0.004274495442708304,0.03966742621527786,0.059829372829861116,0.036552937825520826,-0.012743123372395804,-0.015720282660590224,-0.044306776258680514,-0.050388251410590224,0.8706490410698785,1.6875429837808518e-17,12.026198142569877,anova,0.8402726915147569,0.8904045952690972,0.858123779296875,0.8959486219618056,0.9102138943142362,0.8994564480251737,0.8715989854600694,0.8615468343098959,0.8391740587022569,0.8397505018446181,-0.030376349555121585,0.019755554199218706,-0.012525261773003504,0.025299580891927076,0.039564853244357656,0.028807406955295156,0.0009499443901909155,-0.009102206759982634,-0.031474982367621585,-0.030898539225260424,0.8609849717881944,4.6923066686315803e-11,7.903242886982769,anova,0.8155102199978299,0.8755145602756076,0.8472078111436632,0.8910675048828125,0.9061211480034722,0.8841527303059896,0.858306884765625,0.8609703911675347,0.8266262478298612,0.8443722195095487,-0.04547475179036453,0.014529588487413148,-0.013777160644531272,0.030082533094618058,0.04513617621527777,0.02316775851779518,-0.002678087022569442,-1.4580620659732091e-05,-0.03435872395833328,-0.01661275227864578,0.7247421264648437,3.339492522485946e-18,12.481640803754173,anova,0.672225104437934,0.7504933675130209,0.7046466403537326,0.7701127794053819,0.7984059651692709,0.7727428012424045,0.7139244079589844,0.7110197279188368,0.685378180609809,0.6684722900390625,-0.052517022026909665,0.025751241048177165,-0.020095486111111116,0.045370652940538214,0.07366383870442716,0.04800067477756076,-0.01081771850585933,-0.013722398546006875,-0.039363945855034665,-0.056269836425781206,0.9404322306315104,4.14305171905044e-14,9.848270565385697,anova,0.9187520345052084,0.9532589382595487,0.9286922878689237,0.9596184624565972,0.966644287109375,0.9565684000651041,0.9418046739366319,0.9381849500868056,0.9151085747612847,0.925689697265625,-0.02168019612630201,0.01282670762803828,-0.01173994276258672,0.01918623182508683,0.02621205647786462,0.01613616943359375,0.0013724433051215401,-0.0022472805447047994,-0.02532365587022567,-0.01474253336588538
unlikeable,Skin Tone,0.09085498518413967,2.481731808516204e-17,11.916620064024508,anova,0.10187437799241808,0.07772423161400689,0.080314834912618,0.0727538267771403,0.06582317087385389,0.07659310764736599,0.09397403399149577,0.10963540607028538,0.11570745044284397,0.11414941151936848,0.011019392808278405,-0.013130753570132783,-0.010540150271521678,-0.01810115840699937,-0.025031814310285783,-0.014261877536773687,0.003119048807356098,0.018780420886145704,0.024852465258704298,0.02329442633522881,0.15408425596025255,2.8194489304909396e-26,17.852730572282344,anova,0.16309007671144274,0.12051245901319715,0.1208076344596015,0.11165351337856716,0.10655725664562649,0.1256246434317695,0.16237282752990723,0.1979008913040161,0.21282250351376003,0.21950075361463758,0.009005820751190191,-0.03357179694705539,-0.03327662150065104,-0.04243074258168539,-0.04752699931462606,-0.028459612528483058,0.008288571569654679,0.043816635343763566,0.05873824755350748,0.06541649765438504,0.21231325798564488,2.3387757018587373e-26,17.90809157596598,anova,0.23266067769792345,0.16296423806084526,0.17135504219267103,0.15237731403774685,0.1369056436750624,0.1707854535844591,0.23028739293416342,0.27146442731221515,0.2950945562786526,0.29923783408270943,0.020347419712278575,-0.04934901992479962,-0.040958215792973846,-0.05993594394789803,-0.07540761431058249,-0.04152780440118578,0.017974134948518544,0.059151169326570274,0.08278129829300773,0.08692457609706455,0.08962494797176784,5.936488651403069e-18,12.32007090627121,anova,0.10048361619313557,0.07363680998484294,0.0774184266726176,0.06788958443535699,0.061924987369113484,0.06984247101677789,0.09166606267293294,0.11223039362165663,0.12259106503592597,0.11856606271531847,0.010858668221367732,-0.015988137986924902,-0.012206521299150244,-0.021735363536410854,-0.02769996060265436,-0.019782476954989955,0.002041114701165095,0.022605445649888783,0.032966117064158126,0.028941114743550628,0.23063459859953986,1.0084923943635754e-28,19.53464737452973,anova,0.2463995615641276,0.1716390914387173,0.17684290144178602,0.15757985909779867,0.14653495285246107,0.1910703182220459,0.2508698172039456,0.3087051974402534,0.32530296511120266,0.33140132162306046,0.015764962964587736,-0.05899550716082255,-0.05379169715775384,-0.07305473950174118,-0.08409964574707879,-0.03956428037749396,0.02023521860440572,0.07807059884071352,0.0946683665116628,0.1007667230235206
condescending,Skin Tone,0.19365909629397923,2.6584229632168414e-25,17.189586918433523,anova,0.1899336576461792,0.16406386428409153,0.15160218874613443,0.15062506993611655,0.15105055438147652,0.16400135887993705,0.20399950610266793,0.24440156088935006,0.25949229134453666,0.2574209107293023,-0.0037254386478000334,-0.0295952320098877,-0.0420569075478448,-0.04303402635786269,-0.04260854191250271,-0.02965773741404218,0.010340409808688694,0.05074246459537082,0.06583319505055743,0.06376181443532306,0.25461837185753716,7.477263353700875e-28,18.93287034148591,anova,0.2511140505472819,0.2122241391075982,0.20715649922688803,0.20116747750176323,0.20104583104451498,0.21967411041259766,0.27197323905097115,0.31515587700737846,0.32998455895317924,0.3366879357231988,-0.003504321310255243,-0.042394232749938976,-0.04746187263064913,-0.05345089435577394,-0.05357254081302218,-0.034944261444939506,0.017354867193433987,0.0605375051498413,0.07536618709564208,0.08206956386566161,0.27869657940334747,2.0583806760660452e-29,20.013922261041248,anova,0.27246663305494523,0.2276561525132921,0.22379260592990452,0.21312557326422799,0.21620466974046496,0.24208627806769478,0.30407436688741046,0.3522346019744873,0.3677035967508952,0.3676213158501519,-0.006229946348402238,-0.05104042689005536,-0.054903973473442946,-0.06557100613911948,-0.06249190966288251,-0.036610301335652684,0.025377787484062997,0.07353802257113984,0.08900701734754773,0.08892473644680443,0.2115099694993761,5.424139260719528e-29,19.721364030539416,anova,0.21576160854763454,0.17867114808824328,0.16921811633639866,0.16450362735324436,0.1640220218234592,0.17788097593519422,0.2233240869310167,0.2620083491007487,0.27540890375773114,0.28430085712009007,0.004251639048258454,-0.03283882141113281,-0.04229185316297743,-0.047006342146131724,-0.04748794767591688,-0.033628993564181864,0.011814117431640625,0.05049837960137263,0.06389893425835505,0.07279088762071398,0.30186258951822914,1.3473939951735933e-21,14.707713713628326,anova,0.292381657494439,0.2606496281094021,0.24257967207166883,0.25686052110460067,0.26159705056084526,0.279976314968533,0.3187040223015679,0.36172252231174046,0.3714212841457791,0.3727332221137153,-0.009480932023790134,-0.04121296140882702,-0.05928291744656031,-0.04500206841362847,-0.040265538957383884,-0.02188627454969616,0.016841432783338772,0.05985993279351132,0.06955869462754993,0.07087063259548615
intolerant,Skin Tone,0.06923909054862129,6.747906429245381e-10,7.167941636092274,anova,0.06766541798909503,0.05849081940121121,0.05653304523891873,0.059001763661702476,0.05800215403238932,0.06061869197421604,0.07294421725802952,0.08356608284844293,0.08836152818467882,0.08720718489752875,-0.0015736725595262568,-0.010748271147410081,-0.012706045309702561,-0.010237326886918814,-0.01123693651623197,-0.008620398574405254,0.0037051267094082296,0.014326992299821636,0.019122437636057532,0.017968094348907462,0.12655517525143092,1.0533289991471421e-22,15.44360835099643,anova,0.12445656458536784,0.10426648457845052,0.10337124930487739,0.10312896304660374,0.09982114368014866,0.10865073733859593,0.13411214616563585,0.15747790866427952,0.162470367219713,0.16779618793063694,-0.0020986106660630804,-0.022288690672980407,-0.023183925946553538,-0.023426212204827185,-0.026734031571282263,-0.017904437912834997,0.00755697091420493,0.030922733412848596,0.03591519196828208,0.04124101267920602,0.19318061934577094,2.317668981675027e-27,18.595246243946296,anova,0.18614889515770805,0.14991068840026855,0.15034784211052787,0.1463017463684082,0.14067636595831978,0.1637621588177151,0.21393243471781412,0.25627557436625165,0.26025552219814724,0.26419496536254883,-0.007031724188062888,-0.04326993094550238,-0.042832777235243064,-0.046878872977362734,-0.052504253387451155,-0.02941846052805583,0.02075181537204318,0.06309495502048071,0.0670749028523763,0.07101434601677789,0.05586532486809625,1.615720924589979e-17,12.038170598040482,anova,0.05598945087856717,0.04257926676008436,0.04617698987325032,0.044302582740783684,0.04082752598656548,0.04502118958367241,0.059636182255215116,0.07039917839898004,0.07611020406087239,0.07761067814297146,0.00012412601047091798,-0.013286058108011888,-0.009688334994845928,-0.011562742127312564,-0.01503779888153077,-0.010844135284423836,0.003770857387118867,0.014533853530883788,0.020244879192776143,0.021745353274875208,0.18166464964548748,3.4154972169978363e-22,15.103487478428551,anova,0.18196301990085179,0.1426043775346544,0.1377958721584744,0.13882931073506674,0.13454900847540963,0.1556013690100776,0.20023367140028211,0.23530581262376574,0.24227089352077907,0.24749316109551323,0.0002983702553643053,-0.03906027211083307,-0.043868777487013094,-0.04283533891042074,-0.047115641170077854,-0.026063280635409886,0.018569021754794635,0.053641162978278256,0.06060624387529159,0.06582851145002575
skillful,Skin Tone,0.8273366292317709,5.276527840653121e-07,5.3225593958682555,anova,0.8016408284505209,0.8398403591579862,0.8052300347222222,0.8371073404947916,0.8601531982421875,0.8404727511935763,0.8130255805121528,0.8218332926432291,0.8157552083333334,0.8383076985677084,-0.02569580078125,0.01250372992621529,-0.02210659450954866,0.00977071126302076,0.03281656901041663,0.01313612196180547,-0.01431104871961808,-0.005503336588541741,-0.0115814208984375,0.0109710693359375,0.8310987684461806,2.0086171409124888e-07,5.591890614019498,anova,0.8091464572482638,0.8458319769965278,0.8106519911024306,0.8450113932291666,0.8649190266927084,0.8423428005642362,0.8153856065538194,0.8217061360677084,0.8171454535590278,0.8388468424479166,-0.02195231119791674,0.01473320855034721,-0.02044677734375,0.01391262478298605,0.03382025824652779,0.01124403211805558,-0.01571316189236116,-0.00939263237847221,-0.01395331488715279,0.007748074001736049,0.7229435390896267,0.006363140676438117,2.582457553221372,anova,0.7058809068467882,0.7298126220703125,0.6966417100694444,0.7235785590277778,0.7437896728515625,0.7250298394097222,0.7038803100585938,0.7245051066080729,0.7209404839409722,0.7553761800130209,-0.01706263224283855,0.006869082980685781,-0.0263018290201823,0.0006350199381510713,0.02084613376193578,0.002086300320095491,-0.01906322903103297,0.0015615675184461608,-0.002003055148654509,0.03243264092339415,0.7748299492730035,8.171618901633566e-06,4.551768935718661,anova,0.7496693929036459,0.7861972384982638,0.7444491916232638,0.7814687093098959,0.8139716254340278,0.7856716579861112,0.7597198486328125,0.7692192925347222,0.7636515299479166,0.794281005859375,-0.025160556369357656,0.011367289225260313,-0.030380757649739687,0.006638760036892344,0.039141676161024264,0.010841708713107634,-0.015110100640191026,-0.005610656738281317,-0.011178419325086897,0.019451056586371474,0.9038058810763889,0.000119918679070442,3.7809266742012677,anova,0.8822877671983507,0.9133046468098959,0.8777152167426215,0.9144083658854166,0.9307386610243056,0.9121331108940972,0.8879038492838541,0.9024658203125,0.8993564181857638,0.9177449544270834,-0.02151811387803826,0.009498765733506942,-0.026090664333767388,0.010602484809027701,0.026932779947916652,0.008327229817708282,-0.0159020317925348,-0.0013400607638889284,-0.004449462890625089,0.013939073350694442
dependable,Skin Tone,0.8749857584635417,1.7500004555726054e-18,12.66416129708356,anova,0.8510843912760416,0.8884243435329862,0.8741421169704862,0.8994649251302084,0.9129299587673612,0.8965165879991319,0.8719906277126737,0.8621080186631944,0.8465677897135416,0.8466288248697916,-0.023901367187500022,0.013438585069444509,-0.0008436414930554914,0.02447916666666672,0.03794420030381951,0.021530829535590268,-0.0029951307508679914,-0.012877739800347232,-0.028417968750000022,-0.028356933593750022,0.9051467895507812,5.045264458295788e-19,13.016642360033737,anova,0.8878343370225694,0.9151441786024306,0.9065534803602431,0.9272664388020834,0.9337938096788194,0.9251166449652778,0.9065416124131944,0.8920728895399306,0.8800286187065972,0.8771158854166666,-0.017312452528211786,0.009997389051649375,0.0014066908094618746,0.022119649251302165,0.028647020128038214,0.019969855414496585,0.0013948228624132142,-0.013073900010850625,-0.025118170844183996,-0.028030904134114576,0.9555360582139757,5.696476026716665e-06,4.654289801026168,anova,0.9398379855685763,0.9599694146050347,0.9431728786892362,0.9696384006076388,0.9749704996744791,0.9659762912326388,0.9594184027777778,0.9565463595920138,0.942138671875,0.9436916775173612,-0.015698072645399352,0.004433356391059018,-0.012363179524739532,0.014102342393663148,0.019434441460503438,0.010440233018663148,0.003882344563802098,0.0010103013780381476,-0.013397386338975692,-0.011844380696614532,0.8356374104817709,2.587406051502142e-16,11.259128727166793,anova,0.8027309841579862,0.8485243055555556,0.8256106906467013,0.863006591796875,0.8827480740017362,0.8634626600477431,0.8325093587239584,0.8248680962456597,0.8074391682942709,0.8054741753472222,-0.03290642632378471,0.01288689507378471,-0.01002671983506953,0.02736918131510413,0.04711066351996529,0.02782524956597221,-0.0031280517578125,-0.01076931423611116,-0.0281982421875,-0.03016323513454866,0.9394363403320313,9.368193378439887e-10,7.07777719943151,anova,0.9236212836371528,0.9447903103298612,0.9329460991753472,0.955657958984375,0.9611036512586806,0.9525349934895834,0.9427337646484375,0.9353671603732638,0.9228074815538194,0.9228006998697916,-0.015815056694878482,0.005353969997829888,-0.006490241156684062,0.016221618652343728,0.021667310926649308,0.013098653157552098,0.003297424316406228,-0.004069179958767433,-0.016628858778211852,-0.016635640462239643
likeable,Skin Tone,0.733793216281467,9.423354545664906e-22,14.810555796375397,anova,0.725060780843099,0.786102294921875,0.7924084133572049,0.8037698533799913,0.8211034138997396,0.7621782090928819,0.7042499118381076,0.6583201090494791,0.6342824300130209,0.6504567464192709,-0.008732435438367991,0.05230907864040801,0.058615197075737924,0.06997663709852431,0.08731019761827263,0.028384992811414933,-0.029543304443359397,-0.07547310723198786,-0.09951078626844612,-0.08333646986219612,0.7373006184895833,3.710947733518789e-24,16.416468655896463,anova,0.7292090521918403,0.7880689832899306,0.7953643798828125,0.8080825805664062,0.8244103325737847,0.7666744656032987,0.7118301391601562,0.6621907552083334,0.637038336859809,0.6501371595594618,-0.008091566297742991,0.0507683648003473,0.05806376139322922,0.07078196207682297,0.08710971408420143,0.02937384711371538,-0.02547047932942703,-0.07510986328124991,-0.10026228162977424,-0.08716345893012145,0.7524875640869141,5.5642838376618956e-24,16.298316033045,anova,0.7320289611816406,0.7974870469835069,0.798689948187934,0.8163113064236112,0.8333858913845487,0.7840762668185763,0.7296049329969618,0.6866726345486112,0.6725989447699653,0.6740197075737847,-0.02045860290527346,0.044999482896592835,0.046202384101019955,0.06382374233669708,0.08089832729763458,0.031588702731662255,-0.022882631089952254,-0.06581492953830292,-0.0798886193169488,-0.07846785651312937,0.7067815992567275,4.572761624223127e-24,16.355395492910937,anova,0.6981976826985677,0.7665083143446181,0.771016862657335,0.7877400716145834,0.8095948961046007,0.7392849392361112,0.6727006700303819,0.6191296047634549,0.5950334337022569,0.6086095174153646,-0.00858391655815971,0.059726715087890625,0.06423526340060759,0.08095847235785592,0.10281329684787321,0.032503339979383705,-0.034080929226345535,-0.08765199449327254,-0.11174816555447054,-0.09817208184136283,0.7490542305840386,2.649655025133441e-21,14.513402958478057,anova,0.7388337453206381,0.8004353841145834,0.8114136589898003,0.8225012885199653,0.8418748643663194,0.78125,0.7267684936523438,0.671067131890191,0.640083736843533,0.6563140021430122,-0.01022048526340058,0.05138115353054473,0.0623594284057617,0.07344705793592665,0.09282063378228078,0.03219576941596136,-0.02228573693169489,-0.07798709869384768,-0.1089704937405056,-0.09274022844102647
