trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,age_20-29_mean_template_0,age_30-39_mean_template_0,age_40-49_mean_template_0,age_50-59_mean_template_0,age_60-69_mean_template_0,age_20-29_diff_from_overall_template_0,age_30-39_diff_from_overall_template_0,age_40-49_diff_from_overall_template_0,age_50-59_diff_from_overall_template_0,age_60-69_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,age_20-29_mean_template_1,age_30-39_mean_template_1,age_40-49_mean_template_1,age_50-59_mean_template_1,age_60-69_mean_template_1,age_20-29_diff_from_overall_template_1,age_30-39_diff_from_overall_template_1,age_40-49_diff_from_overall_template_1,age_50-59_diff_from_overall_template_1,age_60-69_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,age_20-29_mean_template_2,age_30-39_mean_template_2,age_40-49_mean_template_2,age_50-59_mean_template_2,age_60-69_mean_template_2,age_20-29_diff_from_overall_template_2,age_30-39_diff_from_overall_template_2,age_40-49_diff_from_overall_template_2,age_50-59_diff_from_overall_template_2,age_60-69_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,age_20-29_mean_template_3,age_30-39_mean_template_3,age_40-49_mean_template_3,age_50-59_mean_template_3,age_60-69_mean_template_3,age_20-29_diff_from_overall_template_3,age_30-39_diff_from_overall_template_3,age_40-49_diff_from_overall_template_3,age_50-59_diff_from_overall_template_3,age_60-69_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,age_20-29_mean_template_4,age_30-39_mean_template_4,age_40-49_mean_template_4,age_50-59_mean_template_4,age_60-69_mean_template_4,age_20-29_diff_from_overall_template_4,age_30-39_diff_from_overall_template_4,age_40-49_diff_from_overall_template_4,age_50-59_diff_from_overall_template_4,age_60-69_diff_from_overall_template_4
courteous,age,0.7913097306793812,0.03787233516530974,2.544953245576881,anova,0.7984462705980829,0.7884193228072479,0.7790355949508709,0.7887178308823529,0.8019296341583508,0.007136539918701779,-0.0028904078721332382,-0.012274135728510216,-0.00259189979702823,0.010619903478969683,0.7506033761160714,0.1313575062638033,1.7743015086656144,anova,0.7606037043723739,0.7484006053593313,0.7387437152595413,0.7470436416754201,0.7582252139136905,0.010000328256302482,-0.0022027707567401356,-0.011859660856530119,-0.0035597344406512743,0.0076218377976190466,0.7407617905560662,0.08451388104316859,2.0536218067405403,anova,0.750880607369901,0.7377653148661808,0.7251471084039084,0.7368039684135372,0.7532119537268033,0.010118816813834863,-0.0029964756898853695,-0.015614682152157777,-0.003957822142528933,0.012450163170737105,0.7408746884984463,0.047016585343827556,2.414298378655651,anova,0.7498538233652836,0.7365637172837886,0.7289533428117341,0.7389846075148809,0.7500179515165442,0.008979134866837324,-0.004310971214657733,-0.011921345686712215,-0.0018900809835653565,0.009143263018097869,0.7545454308432358,0.00040004682246731706,5.148541174890694,anova,0.7544408846302193,0.7442119609074098,0.7366823682598039,0.7544590284844407,0.7829329119343049,-0.00010454621301647649,-0.010333469935825956,-0.017863062583431843,-8.640235879509017e-05,0.028387481091069144
loving,age,0.609367118429403,4.854924664600099e-12,14.971666742221402,anova,0.6525620746345413,0.6254199800037202,0.6064754454027704,0.5869615057937237,0.5754165863122592,0.043194956205138246,0.01605286157431718,-0.002891673026632624,-0.022405612635679306,-0.03395053211714383,0.7541190695028012,5.5875652956579054e-05,6.233049428502492,anova,0.7810178270526961,0.7567641314338235,0.7493238262101716,0.7428773511357668,0.7406122116815477,0.026898757549894903,0.002645061931022319,-0.004795243292629592,-0.011241718367034359,-0.013506857821253493,0.7287250828676197,0.00023290485567603361,5.448024293084413,anova,0.7634585938867735,0.7285137764212131,0.7176774396281951,0.7128822048839066,0.7210933995180103,0.034733511019153784,-0.00021130644640665608,-0.011047643239424643,-0.01584287798371309,-0.007631683349609397,0.6282045337666317,4.68860485881458e-08,10.064446047451977,anova,0.6629925896139706,0.6375973485097164,0.6248007381663603,0.6096217051273635,0.6060102874157476,0.034788055847338906,0.009392814743084732,-0.0034037956002713754,-0.01858282863926819,-0.022194246350884073,0.8721477946647409,1.6993642400427346e-05,6.883010615826035,anova,0.8774318321078431,0.8631164379814426,0.8629362389487045,0.8704184310442927,0.8868360332414216,0.005284037443102241,-0.009031356683298353,-0.00921155571603638,-0.0017293636204481766,0.014688238576680668
intelligent,age,0.5154403216364671,8.356353232880695e-38,47.26128652932052,anova,0.47011465719100143,0.48588685962666317,0.5123472240458683,0.5413336232930672,0.5675192440257353,-0.04532566444546571,-0.029553462009803966,-0.0030930975905988367,0.025893301656600087,0.052078922389268145,0.6769179742209384,6.3504940681324165e-18,22.22004801385726,anova,0.6521129447872899,0.6639746230523459,0.6741840779280462,0.6911665545124299,0.7031516708245799,-0.024805029433648484,-0.012943351168592465,-0.002733896292892113,0.014248580291491564,0.0262336966036415,0.7939855238970588,0.005375993909635219,3.6870280637094694,anova,0.7796673601081058,0.7919785101540616,0.7920773289784664,0.8018544087556898,0.8043500114889706,-0.014318163788953009,-0.0020070137429971657,-0.0019081949185923985,0.00786888485863102,0.010364487591911775,0.3841079070788472,4.8928228869147906e-54,68.57333189572638,anova,0.32989467759760155,0.3446736482679009,0.3778575395001751,0.4159623260925464,0.4521513439360119,-0.05421322948124563,-0.039434258810946254,-0.006250367578672089,0.03185441901369923,0.06804343685716474,0.8216128052783613,0.00013366447294353375,5.7542469231187425,anova,0.8107469061843487,0.8173971737132353,0.8187443922881653,0.8261793975402661,0.8349961566657913,-0.010865899094012588,-0.0042156315651260545,-0.002868412990196023,0.004566592261904812,0.013383351387429965
smart,age,0.6321510635504202,0.12401578318519611,1.8112166123104787,anova,0.626023407409839,0.625467423297444,0.6299072607558649,0.6370403385963761,0.642316887692577,-0.006127656140581195,-0.006683640252976186,-0.002243802794555272,0.004889275045955932,0.010165824142156832,0.7337482356223739,1.882712027457173e-08,10.55389879387715,anova,0.7193247904630602,0.7242715445553222,0.7280331566220238,0.7412977886467087,0.7558138978247549,-0.014423445159313708,-0.009476691067051735,-0.005715079000350065,0.007549553024334799,0.022065662202381042,0.7474846933402267,0.6467918668590701,0.6220768752978313,anova,0.743134271530878,0.7522576169139531,0.7480085784313726,0.7509138176755077,0.7431091821494222,-0.004350421809348748,0.004772923573726384,0.0005238850911458703,0.0034291243352809753,-0.004375511190804482,0.5244793889235382,0.0001265240055326429,5.784464980284682,anova,0.5091771571910014,0.5135786980807948,0.5216607272791929,0.53589756214986,0.5420827999168417,-0.015302231732536753,-0.010900690842743366,-0.0028186616443452994,0.01141817322632177,0.017603410993303537,0.8415188487504377,0.8740784643824471,0.306013450945736,anova,0.8395837094603467,0.8411229237788865,0.8393910298494398,0.8423735460981268,0.8451230345653886,-0.001935139290091037,-0.0003959249715511648,-0.002127818900997891,0.0008546973476890596,0.003604185814950922
capable,age,0.8260141752013306,2.1514233182004833e-14,17.86667323345285,anova,0.8353315935749299,0.8328272715336135,0.8270656895570728,0.8223087086397058,0.8125376127013305,0.00931741837359934,0.006813096332282886,0.0010515143557422446,-0.0037054665616247373,-0.013476562500000067,0.8615900461747199,3.3520037181547504e-18,22.563016758805926,anova,0.8736616716999299,0.8710581889005602,0.8631054961046919,0.8563858160451681,0.8437390581232493,0.012071625525210017,0.00946814272584029,0.0015154499299719904,-0.005204230129551846,-0.017850988051470562,0.8253527387517507,1.989370559704029e-08,10.52434587072799,anova,0.8306351349133403,0.8360961572128851,0.8276654411764706,0.8245220451461834,0.8078449153098739,0.005282396161589542,0.010743418461134357,0.0023127024247198147,-0.000830693605567312,-0.017507823441876846,0.7780452610731793,9.024776295409769e-05,5.97015551417246,anova,0.7856301700367647,0.7842330291491597,0.7791378758534664,0.7748195958070728,0.7664056345194328,0.007584908963585435,0.0061877680759804266,0.0010926147802871045,-0.003225665266106459,-0.011639626553746507,0.9228302942270659,3.04439257851842e-41,51.725447591999306,anova,0.9385148590686274,0.9370944666929272,0.9275435760241597,0.9169155943627451,0.8940829749868697,0.015684564841561555,0.014264172465861313,0.004713281797093849,-0.005914699864320805,-0.028747319240196134
idiotic,age,0.037443504814340285,0.023777453113318484,2.8226966659144015,anova,0.035024808568446905,0.036441148496141613,0.03788390814089307,0.04032790026410955,0.03753975860211027,-0.00241869624589338,-0.0010023563181986717,0.00044040332655278375,0.0028843954497692614,9.625378776998567e-05,0.07140600060214515,2.5441424003869578e-05,6.663057314426048,anova,0.07158659820129223,0.07319086539645155,0.07405013396960347,0.074218376010072,0.06398402943330653,0.00018059759914708373,0.0017848647943063956,0.0026441333674583206,0.002812375407926851,-0.007421971168838623,0.1437622048941647,0.13208530299614207,1.7707451212457208,anova,0.13995266762100347,0.1422924020377194,0.14862080849185377,0.15038332151097744,0.1375618248092694,-0.0038095372731612176,-0.0014698028564452958,0.004858603597689082,0.00662111661681275,-0.006200380084895291,0.02401152071164768,0.0011909544667031923,4.5402278729853185,anova,0.021653455846449895,0.022669436884861352,0.024098898516315692,0.026236961535712908,0.025398850774898573,-0.002358064865197785,-0.0013420838267863278,8.737780466801237e-05,0.002225440824065228,0.0013873300632508932,0.20273640629958037,0.0036319439247383067,3.910789435438498,anova,0.19728183479202227,0.20414713584408373,0.20899102133529193,0.212597000164812,0.19066503936169193,-0.005454571507558098,0.0014107295445033585,0.006254615035711564,0.009860593865231637,-0.012071366937888434
nice,age,0.9059332326680672,5.7495065425889164e-05,6.217414765485168,anova,0.9142396216299019,0.9059183243609944,0.9016585149684874,0.902814934567577,0.9050347678133753,0.008306388961834665,-1.4908307072847293e-05,-0.0042747176995798775,-0.0031182981004902466,-0.0008984648546919161,0.8740431328781513,0.0005749889264372183,4.94693835164363,anova,0.8842958081670168,0.8730516620710784,0.8688663942139355,0.8696001838235294,0.8744016161151961,0.010252675288865531,-0.0009914708070728473,-0.005176738664215752,-0.004442949054621836,0.00035848323704479323,0.8214553790266107,1.663065209822137e-30,37.94593453040017,anova,0.8565451571253502,0.83702724253764,0.8147461621367297,0.8041711801908263,0.794787153142507,0.03508977809873948,0.015571863511029349,-0.00670921688988102,-0.01728419883578436,-0.02666822588410367,0.8418662191439076,0.04019629743568817,2.509080882889633,anova,0.8515594225971639,0.8384059190082283,0.8363529493828782,0.8391332118785014,0.8438795928527661,0.009693203453256305,-0.0034603001356793284,-0.0055132697610293935,-0.002733007265406151,0.002013373708858568,0.9082520898984594,2.027799553229517e-05,6.7867628823579205,anova,0.9213364545036765,0.9086455871411064,0.9029999206713936,0.9028108313637955,0.9054676558123249,0.013084364605217114,0.000393497242647034,-0.005252169227065839,-0.005441258534663929,-0.0027844340861344907
selfish,age,0.11001660216088388,3.0594683671619517e-28,35.085296937718915,anova,0.09553814201461834,0.10351715301599156,0.11281324968952425,0.11931003175195859,0.11890443433232668,-0.01447846014626554,-0.006499449144892325,0.002796647528640367,0.009293429591074709,0.008887832171442803,0.19745563752844889,5.348180580594336e-28,34.77996269556858,anova,0.17280625629157914,0.18691046364834996,0.20309683321570815,0.21252689308145134,0.2119377414051558,-0.024649381236869744,-0.01054517388009893,0.005641195687259265,0.015071255553002455,0.014482103876706925,0.19731127527915462,4.89053728220389e-08,10.041863372104288,anova,0.18043024399701288,0.19276022176448704,0.20533196799227504,0.20927672826943278,0.19875721437256544,-0.016881031282141745,-0.004551053514667586,0.00802069271312042,0.011965452990278153,0.001445939093410814,0.08946456054345567,9.964655363890133e-10,12.127157001489765,anova,0.08248373507117691,0.08641808774290967,0.0910172662815126,0.09463263760093882,0.09277107602074033,-0.006980825472278754,-0.003046472800545999,0.0015527057380569365,0.00516807705748315,0.003306515477284666,0.28659245253277094,2.34290750184239e-35,44.119252412510654,anova,0.24738803297197787,0.26962194790025384,0.2949374329810049,0.3110878567735688,0.3099269920370492,-0.03920441956079307,-0.01697050463251709,0.008344980448233952,0.02449540424079788,0.023334539504278273
knowledgeable,age,0.7572553533132003,3.7101075211932946e-173,254.69212252838875,anova,0.6850524389443278,0.7231394022452731,0.7583110392594538,0.7957828639268207,0.8239910221901261,-0.0722029143688725,-0.0341159510679272,0.0010556859462534929,0.038527510613620475,0.06673566887692584,0.7268988259366247,1.5353821137153729e-124,171.81893410383137,anova,0.6624266894257703,0.6976756034445029,0.7266924347864145,0.7610530051864496,0.7866463968399859,-0.06447213651085437,-0.029223222492121836,-0.0002063911502101501,0.03415417924982489,0.05974757090336125,0.7915116339504552,1.1345467001779953e-95,127.28706733582749,anova,0.7314258222820378,0.7682804567139355,0.794531044839811,0.8248684239320728,0.8384524219844187,-0.06008581166841742,-0.023231177236519684,0.003019410889355756,0.03335678998161762,0.04694078803396351,0.6414144906009279,5.563069202150257e-147,208.80312023073594,anova,0.5611295299369747,0.6009750579919467,0.640923508075105,0.6867044913668593,0.7173398656337535,-0.08028496066395319,-0.040439432608981196,-0.0004909825258229139,0.04529000076593137,0.07592537503282559,0.9062821417629552,6.525234840908306e-70,90.25024300843427,anova,0.8693994687718838,0.8915796787464986,0.9050487870929622,0.9233070181197479,0.9420757560836834,-0.0368826729910714,-0.014702463016456613,-0.0012333546699929698,0.01702487635679273,0.03579361432072825
brave,age,0.5994232263217787,0.599805272865988,0.6886365452612404,anova,0.601916059392507,0.5998463350183824,0.6019652978378851,0.596734054950105,0.5966543844100141,0.0024928330707283397,0.000423108696603669,0.0025420715161064145,-0.002689171371673682,-0.00276884191176463,0.7026417109812675,0.000819091996072864,4.749655384080869,anova,0.6941051322872899,0.7000513584339986,0.7043491224614846,0.7035725911458334,0.7111303505777311,-0.008536578693977614,-0.002590352547268915,0.0017074114802171358,0.0009308801645658837,0.00848863959646362,0.7012601622680322,0.007765721655289083,3.4757979092489384,anova,0.698397767310049,0.707753242898722,0.7092551864495799,0.6989864060858718,0.6919082085959384,-0.0028623949579832386,0.006493080630689763,0.007995024181547628,-0.0022737561821604135,-0.009351953672093849,0.5002680759803921,0.13225451974305427,1.7699206062022768,anova,0.5027597464767157,0.5021841011795343,0.5046909877232143,0.4975722710959384,0.4941332734265581,0.0024916704963235947,0.001916025199142135,0.0044229117428221665,-0.0026958048844537563,-0.006134802553834029,0.7544936236213236,6.994638927765988e-10,12.316363161947615,anova,0.7407811269038865,0.748198693539916,0.7561794248949579,0.7597553669905462,0.767553505777311,-0.013712496717437017,-0.006294930081407579,0.0016858012736343797,0.005261743369222693,0.013059882155987412
