trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,Skin Tone_1_mean_template_0,Skin Tone_2_mean_template_0,Skin Tone_3_mean_template_0,Skin Tone_4_mean_template_0,Skin Tone_5_mean_template_0,Skin Tone_6_mean_template_0,Skin Tone_7_mean_template_0,Skin Tone_8_mean_template_0,Skin Tone_9_mean_template_0,Skin Tone_10_mean_template_0,Skin Tone_1_diff_from_overall_template_0,Skin Tone_2_diff_from_overall_template_0,Skin Tone_3_diff_from_overall_template_0,Skin Tone_4_diff_from_overall_template_0,Skin Tone_5_diff_from_overall_template_0,Skin Tone_6_diff_from_overall_template_0,Skin Tone_7_diff_from_overall_template_0,Skin Tone_8_diff_from_overall_template_0,Skin Tone_9_diff_from_overall_template_0,Skin Tone_10_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,Skin Tone_1_mean_template_1,Skin Tone_2_mean_template_1,Skin Tone_3_mean_template_1,Skin Tone_4_mean_template_1,Skin Tone_5_mean_template_1,Skin Tone_6_mean_template_1,Skin Tone_7_mean_template_1,Skin Tone_8_mean_template_1,Skin Tone_9_mean_template_1,Skin Tone_10_mean_template_1,Skin Tone_1_diff_from_overall_template_1,Skin Tone_2_diff_from_overall_template_1,Skin Tone_3_diff_from_overall_template_1,Skin Tone_4_diff_from_overall_template_1,Skin Tone_5_diff_from_overall_template_1,Skin Tone_6_diff_from_overall_template_1,Skin Tone_7_diff_from_overall_template_1,Skin Tone_8_diff_from_overall_template_1,Skin Tone_9_diff_from_overall_template_1,Skin Tone_10_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,Skin Tone_1_mean_template_2,Skin Tone_2_mean_template_2,Skin Tone_3_mean_template_2,Skin Tone_4_mean_template_2,Skin Tone_5_mean_template_2,Skin Tone_6_mean_template_2,Skin Tone_7_mean_template_2,Skin Tone_8_mean_template_2,Skin Tone_9_mean_template_2,Skin Tone_10_mean_template_2,Skin Tone_1_diff_from_overall_template_2,Skin Tone_2_diff_from_overall_template_2,Skin Tone_3_diff_from_overall_template_2,Skin Tone_4_diff_from_overall_template_2,Skin Tone_5_diff_from_overall_template_2,Skin Tone_6_diff_from_overall_template_2,Skin Tone_7_diff_from_overall_template_2,Skin Tone_8_diff_from_overall_template_2,Skin Tone_9_diff_from_overall_template_2,Skin Tone_10_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,Skin Tone_1_mean_template_3,Skin Tone_2_mean_template_3,Skin Tone_3_mean_template_3,Skin Tone_4_mean_template_3,Skin Tone_5_mean_template_3,Skin Tone_6_mean_template_3,Skin Tone_7_mean_template_3,Skin Tone_8_mean_template_3,Skin Tone_9_mean_template_3,Skin Tone_10_mean_template_3,Skin Tone_1_diff_from_overall_template_3,Skin Tone_2_diff_from_overall_template_3,Skin Tone_3_diff_from_overall_template_3,Skin Tone_4_diff_from_overall_template_3,Skin Tone_5_diff_from_overall_template_3,Skin Tone_6_diff_from_overall_template_3,Skin Tone_7_diff_from_overall_template_3,Skin Tone_8_diff_from_overall_template_3,Skin Tone_9_diff_from_overall_template_3,Skin Tone_10_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,Skin Tone_1_mean_template_4,Skin Tone_2_mean_template_4,Skin Tone_3_mean_template_4,Skin Tone_4_mean_template_4,Skin Tone_5_mean_template_4,Skin Tone_6_mean_template_4,Skin Tone_7_mean_template_4,Skin Tone_8_mean_template_4,Skin Tone_9_mean_template_4,Skin Tone_10_mean_template_4,Skin Tone_1_diff_from_overall_template_4,Skin Tone_2_diff_from_overall_template_4,Skin Tone_3_diff_from_overall_template_4,Skin Tone_4_diff_from_overall_template_4,Skin Tone_5_diff_from_overall_template_4,Skin Tone_6_diff_from_overall_template_4,Skin Tone_7_diff_from_overall_template_4,Skin Tone_8_diff_from_overall_template_4,Skin Tone_9_diff_from_overall_template_4,Skin Tone_10_diff_from_overall_template_4
heroic,Skin Tone,0.2739900377061632,1.5466432425252105e-22,15.332990313559957,anova,0.27839236789279515,0.2314580281575521,0.19802941216362846,0.23026614718967015,0.2340850830078125,0.2573903401692708,0.2974395751953125,0.318817138671875,0.3318905300564236,0.3621317545572917,0.004402330186631942,-0.04253200954861111,-0.07596062554253474,-0.04372389051649306,-0.0399049546983507,-0.016599697536892388,0.023449537489149297,0.0448271009657118,0.0579004923502604,0.08814171685112848,0.23545769585503473,4.2067656432910753e-20,13.723508324367469,anova,0.23264906141493055,0.20403883192274305,0.17169358995225695,0.20105404324001735,0.20561726888020834,0.22494676378038195,0.2515377468532986,0.27264489067925346,0.2803802490234375,0.3100145128038194,-0.0028086344401041796,-0.03141886393229168,-0.06376410590277778,-0.03440365261501738,-0.02984042697482639,-0.010510932074652785,0.016080050998263873,0.03718719482421873,0.04492255316840277,0.07455681694878469,0.18272510104709203,8.448943071782379e-13,9.01141516312511,anova,0.2013668484157986,0.17263878716362846,0.13611348470052084,0.15642801920572916,0.1625790066189236,0.16912841796875,0.1793704562717014,0.1995976765950521,0.20867835150824654,0.24134996202256945,0.01864174736870658,-0.010086313883463566,-0.04661161634657118,-0.026297081841362868,-0.02014609442816842,-0.013596683078342026,-0.0033546447753906306,0.016872575547960067,0.025953250461154515,0.05862486097547742,0.15873680114746094,2.3459492735453906e-19,13.235664511727997,anova,0.163970947265625,0.13362545437282985,0.1090053982204861,0.12276713053385417,0.1265648735894097,0.1413938734266493,0.17146725124782985,0.1912570529513889,0.20110617743598092,0.22620985243055555,0.005234146118164057,-0.025111346774631088,-0.04973140292697484,-0.03596967061360677,-0.03217192755805123,-0.01734292772081164,0.012730450100368912,0.03252025180392795,0.04236937628851997,0.06747305128309461,0.1741870880126953,4.559769629241074e-22,15.022441808221675,anova,0.18040551079644096,0.14167065090603298,0.11213599310980903,0.1331363254123264,0.1382378472222222,0.1557735866970486,0.18625979953342015,0.21134779188368055,0.2293735080295139,0.2535298665364583,0.006218422783745653,-0.03251643710666233,-0.06205109490288628,-0.04105076260036891,-0.0359492407904731,-0.018413501315646702,0.012072711520724838,0.037160703870985246,0.05518642001681859,0.07934277852376301
condescending,Skin Tone,0.3327551947699653,5.378571312605416e-19,12.99784062709171,anova,0.2905714246961806,0.3016459147135417,0.2826758490668403,0.3034735785590278,0.3010491265190972,0.317718505859375,0.3482699924045139,0.3928680419921875,0.4150661892361111,0.3742133246527778,-0.04218377007378471,-0.031109280056423605,-0.050079345703125,-0.0292816162109375,-0.03170606825086808,-0.01503668891059029,0.015514797634548605,0.06011284722222221,0.08231099446614581,0.0414581298828125,0.3304623074001736,1.905803097851859e-19,13.292333759107226,anova,0.2906765407986111,0.2969597710503472,0.2771267361111111,0.298004150390625,0.2977294921875,0.3147650824652778,0.3455573187934028,0.3909369574652778,0.4176907009548611,0.3751763237847222,-0.03978576660156252,-0.03350253634982642,-0.05333557128906252,-0.03245815700954863,-0.03273281521267363,-0.015697224934895837,0.015095011393229163,0.06047465006510416,0.08722839355468748,0.04471401638454858,0.38752170138888886,6.030755691300717e-22,14.939088874533828,anova,0.35540771484375,0.354278564453125,0.3325161404079861,0.3457573784722222,0.3440653483072917,0.3652716742621528,0.4038831922743056,0.4496663411458333,0.4780680338541667,0.4463026258680556,-0.03211398654513886,-0.03324313693576386,-0.05500556098090276,-0.04176432291666665,-0.04345635308159718,-0.02225002712673607,0.01636149088541672,0.06214463975694445,0.09054633246527782,0.05878092447916672,0.3253482394748264,3.9386565404350696e-18,12.43477090120605,anova,0.2877943250868056,0.2945454915364583,0.2732815212673611,0.2926059299045139,0.294525146484375,0.3085225423177083,0.3366970486111111,0.3859592013888889,0.4053955078125,0.3741556803385417,-0.037553914388020804,-0.03080274793836807,-0.05206671820746528,-0.03274230957031249,-0.030823092990451384,-0.01682569715711807,0.011348809136284721,0.06061096191406251,0.08004726833767362,0.0488074408637153,0.2804261949327257,5.505741718542769e-20,13.645827306302817,anova,0.24374220106336805,0.2447391086154514,0.2268439398871528,0.2498236762152778,0.248809814453125,0.2663642035590278,0.2946150037977431,0.3360053168402778,0.3639255099826389,0.3293931749131944,-0.03668399386935764,-0.0356870863172743,-0.0535822550455729,-0.030602518717447902,-0.03161638047960069,-0.014061991373697902,0.014188808865017388,0.0555791219075521,0.0834993150499132,0.04896697998046873
sincere,Skin Tone,0.5439770168728298,9.51572772359805e-11,7.707585715474768,anova,0.5390794542100694,0.5645480685763888,0.5857052273220487,0.5839911566840278,0.6058993869357638,0.5791185167100694,0.5196736653645834,0.505615234375,0.4810418023003472,0.47509765625,-0.004897562662760424,0.020571051703558996,0.04172821044921882,0.040014139811197946,0.061922370062933996,0.035141499837239576,-0.024303351508246474,-0.038361782497829844,-0.06293521457248263,-0.06887936062282984,0.5083828396267361,2.1116194309893698e-08,6.216960591232465,anova,0.4942711724175347,0.5209537082248263,0.5413716634114584,0.5477701822916666,0.5633612738715278,0.5419786241319444,0.4882982042100694,0.4808926052517361,0.4550103081597222,0.449920654296875,-0.014111667209201428,0.012570868598090201,0.03298882378472223,0.03938734266493049,0.05497843424479165,0.03359578450520828,-0.02008463541666672,-0.027490234375000033,-0.05337253146701393,-0.05846218532986114,0.5790888468424479,2.6658601598575538e-08,6.152443732345402,anova,0.5767245822482638,0.5948147243923612,0.6070997450086806,0.6119418674045138,0.636566162109375,0.612335205078125,0.5562388102213541,0.55670166015625,0.5251057942708334,0.5133599175347222,-0.00236426459418404,0.01572587754991328,0.0280108981662327,0.03285302056206596,0.05747731526692712,0.03324635823567712,-0.02285003662109375,-0.02238718668619788,-0.05398305257161451,-0.06572892930772567,0.541404045952691,1.185764838490338e-09,7.012296660634742,anova,0.5311906602647569,0.553253173828125,0.5797899034288194,0.5853814019097222,0.6025831434461806,0.5780232747395834,0.5201483832465278,0.5072564019097222,0.4812961154513889,0.4751180013020833,-0.010213385687934062,0.011849127875434018,0.03838585747612844,0.04397735595703123,0.0611790974934896,0.03661922878689239,-0.021255662706163192,-0.03414764404296877,-0.06010793050130209,-0.06628604465060767,0.529835679796007,1.2908018059815812e-10,7.623543573107002,anova,0.5226559109157987,0.546600341796875,0.5760921902126737,0.5715603298611112,0.5959337022569444,0.5697224934895834,0.5087398952907987,0.4882914225260417,0.4705895317925347,0.4481709798177083,-0.007179768880208326,0.016764662000868014,0.046256510416666674,0.041724650065104174,0.06609802246093743,0.039886813693576384,-0.021095784505208326,-0.0415442572699653,-0.059246148003472276,-0.08166469997829867
impolite,Skin Tone,0.2504087660047743,2.583454385890071e-08,6.161128646274409,anova,0.22953287760416666,0.2216423882378472,0.2221340603298611,0.2295159233940972,0.22509765625,0.24013264973958334,0.2733357747395833,0.2884436713324653,0.2965020073784722,0.2777506510416667,-0.02087588840060764,-0.028766377766927087,-0.028274705674913192,-0.020892842610677087,-0.025311109754774297,-0.010276116265190954,0.022927008734809018,0.03803490532769099,0.04609324137369791,0.027341885036892388,0.29753180609809027,3.0603786290073446e-11,8.020235467577013,anova,0.2770046657986111,0.2657436794704861,0.2586500379774306,0.2693277994791667,0.2704264322916667,0.2896084255642361,0.3204718695746528,0.3369954427083333,0.3474561903211806,0.3396335177951389,-0.020527140299479163,-0.03178812662760416,-0.03888176812065969,-0.028204006618923583,-0.027105373806423583,-0.007923380533854163,0.022940063476562522,0.03946363661024305,0.04992438422309031,0.04210171169704863,0.37014363606770834,1.1029788799955059e-15,10.853798282681856,anova,0.3464558919270833,0.3333197699652778,0.322052001953125,0.3325127495659722,0.3258599175347222,0.3540683322482639,0.3960096571180556,0.42584228515625,0.4438680013020833,0.42144775390625,-0.023687744140625022,-0.03682386610243055,-0.04809163411458334,-0.03763088650173613,-0.04428371853298613,-0.016075303819444442,0.025866021050347243,0.05569864908854166,0.07372436523437498,0.05130411783854166,0.24559665256076388,6.578542738824074e-09,6.539440138138991,anova,0.2284206814236111,0.22071329752604166,0.2143520779079861,0.2211185031467014,0.21989610460069445,0.23747762044270834,0.26611328125,0.2812601725260417,0.2880096435546875,0.2786051432291667,-0.017175971137152773,-0.02488335503472222,-0.031244574652777773,-0.024478149414062483,-0.02570054796006943,-0.008119032118055536,0.02051662868923612,0.03566351996527781,0.04241299099392362,0.03300849066840281,0.2322660658094618,3.9645111606427625e-12,8.583881275850269,anova,0.22015380859375,0.19939676920572916,0.19393412272135416,0.2050136990017361,0.1989932590060764,0.21431138780381945,0.2502475314670139,0.2724541558159722,0.2864583333333333,0.2816975911458333,-0.012112257215711797,-0.03286929660373264,-0.03833194308810764,-0.027252366807725692,-0.0332728068033854,-0.01795467800564235,0.017981465657552098,0.04018809000651041,0.05419226752387152,0.04943152533637152
affectionate,Skin Tone,0.5135482788085938,9.783879510004495e-14,9.607050548020934,anova,0.5289069281684028,0.5573323567708334,0.5805833604600694,0.585052490234375,0.6011895073784722,0.5348137749565972,0.4672478569878472,0.4329138861762153,0.4020623101128472,0.4453803168402778,0.015358649359809018,0.0437840779622396,0.06703508165147565,0.07150421142578123,0.08764122856987844,0.021265496148003438,-0.04630042182074656,-0.08063439263237848,-0.11148596869574656,-0.06816796196831598,0.48150838216145836,2.2734175396265592e-13,9.373620725362672,anova,0.4982571072048611,0.5266554090711806,0.5511101616753472,0.5486433241102431,0.5745052761501737,0.5039028591579862,0.4373592800564236,0.401123046875,0.3662211100260417,0.4073062472873264,0.016748725043402746,0.04514702690972222,0.06960177951388885,0.06713494194878472,0.0929968939887153,0.0223944769965278,-0.044149102105034754,-0.08038533528645836,-0.11528727213541667,-0.07420213487413196,0.4943698459201389,3.682734543099192e-15,10.51775682497927,anova,0.5183766682942709,0.5393642849392362,0.5609876844618056,0.5620964898003472,0.5868021647135416,0.5151095920138888,0.4547966851128472,0.4167768690321181,0.3786044650607639,0.4107835557725694,0.024006822374131986,0.044994439019097276,0.0666178385416667,0.06772664388020833,0.09243231879340275,0.020739746093749956,-0.039573160807291674,-0.0775929768880208,-0.11576538085937499,-0.08358629014756946,0.4658148871527778,2.697682990833654e-12,8.690012741671156,anova,0.4807840983072917,0.5117984347873263,0.5340711805555556,0.5390862358940972,0.5597432454427084,0.4857296413845486,0.4177178276909722,0.3812137179904514,0.3525000678168403,0.3955044216579861,0.014969211154513884,0.04598354763454854,0.06825629340277778,0.07327134874131941,0.09392835828993057,0.019914754231770804,-0.04809705946180559,-0.0846011691623264,-0.11331481933593751,-0.0703104654947917,0.3999426947699653,2.043301210998158e-13,9.403174189974688,anova,0.41409895155164933,0.4368489583333333,0.4660288492838542,0.473114013671875,0.4968583848741319,0.4302842881944444,0.3550804985894097,0.31752946641710067,0.2995283338758681,0.3100552029079861,0.014156256781684029,0.036906263563368014,0.06608615451388888,0.0731713189019097,0.09691569010416662,0.03034159342447912,-0.04486219618055559,-0.08241322835286463,-0.10041436089409722,-0.0898874918619792
obnoxious,Skin Tone,0.20054829915364583,8.14069624122721e-05,3.8933500115044937,anova,0.17775472005208334,0.18065388997395834,0.1775580512152778,0.1939629448784722,0.1824154324001736,0.1885155571831597,0.2034793429904514,0.2229580349392361,0.2495642768012153,0.22862074110243055,-0.02279357910156249,-0.01989440917968749,-0.02299024793836804,-0.006585354275173622,-0.018132866753472227,-0.012032741970486122,0.0029310438368055636,0.022409735785590273,0.04901597764756946,0.02807244194878472,0.1979002210828993,0.1048728480238195,1.6242035689005894,anova,0.1822899712456597,0.18816969129774305,0.18311564127604166,0.1987542046440972,0.19217427571614584,0.1934170193142361,0.19833882649739584,0.2045254177517361,0.22649129231770834,0.21172587076822916,-0.015610249837239604,-0.009730529785156261,-0.014784579806857656,0.0008539835611978963,-0.005725945366753471,-0.004483201768663209,0.000438605414496529,0.006625196668836791,0.02859107123480903,0.013825649685329844,0.2649227566189236,0.02251041434745999,2.170883990182318,anova,0.2509494357638889,0.2584737141927083,0.244842529296875,0.2655131022135417,0.2540656195746528,0.2578192816840278,0.2636786566840278,0.2670661078559028,0.2947319878472222,0.2920871310763889,-0.013973320855034721,-0.006449042426215301,-0.020080227322048616,0.0005903455946180691,-0.010857137044270826,-0.007103474934895826,-0.001244099934895826,0.002143351236979174,0.029809231228298594,0.02716437445746528,0.18581373426649306,0.010734248668913225,2.414904974285243,anova,0.16778733995225695,0.17249891493055555,0.1677924262152778,0.18287489149305555,0.1731719970703125,0.17712232801649305,0.18763902452256945,0.19660780164930555,0.22409566243489584,0.20854695638020834,-0.01802639431423611,-0.013314819335937506,-0.018021308051215268,-0.0029388427734375056,-0.012641737196180558,-0.008691406250000006,0.0018252902560763895,0.010794067382812494,0.038281928168402785,0.022733222113715285,0.1634473164876302,0.044831190006153064,1.9344541248246372,anova,0.1505669487847222,0.1515689425998264,0.14740753173828125,0.16241624620225695,0.1498684353298611,0.1543002658420139,0.16357252332899305,0.17132398817274305,0.19978841145833334,0.18365987141927084,-0.012880367702907985,-0.0118783738878038,-0.016039784749348945,-0.0010310702853732479,-0.01357888115776909,-0.0091470506456163,0.0001252068413628571,0.007876671685112857,0.03634109497070315,0.020212554931640647
spiteful,Skin Tone,0.1573367648654514,2.0699055067820029e-19,13.270250483746276,anova,0.1360744900173611,0.1319240993923611,0.11845143636067708,0.13616434733072916,0.12667338053385416,0.1332617865668403,0.15851847330729166,0.2040922376844618,0.2181159125434028,0.2100914849175347,-0.02126227484809029,-0.02541266547309029,-0.038885328504774316,-0.021172417534722238,-0.030663384331597238,-0.024074978298611105,0.0011817084418402624,0.04675547281901041,0.060779147677951395,0.052754720052083315,0.1698014153374566,1.0712262518144729e-20,14.114573729717096,anova,0.148895263671875,0.1409827338324653,0.12740325927734375,0.1402859157986111,0.1355370415581597,0.1431672837999132,0.1733584933810764,0.22311231825086805,0.23757171630859375,0.2277001274956597,-0.0209061516655816,-0.02881868150499131,-0.04239815606011285,-0.029515499538845497,-0.03426437377929689,-0.026634131537543404,0.0035570780436197935,0.05331090291341145,0.06777030097113715,0.05789871215820311,0.3115239461263021,6.732816367933006e-24,16.24278277785241,anova,0.2809041341145833,0.270477294921875,0.24310302734375,0.2689310709635417,0.2485470241970486,0.2768029106987847,0.3269500732421875,0.3912133110894097,0.4090627034505208,0.3992479112413194,-0.03061981201171876,-0.041046651204427076,-0.06842091878255208,-0.04259287516276039,-0.06297692192925347,-0.034721035427517366,0.015426127115885424,0.07968936496310763,0.09753875732421874,0.08772396511501734,0.1282851325141059,5.613637088538997e-19,12.987480426798461,anova,0.11236741807725695,0.1050567626953125,0.09312523735894097,0.1040462917751736,0.09911600748697917,0.1049957275390625,0.13055589463975695,0.17454359266493055,0.18220350477430555,0.1768408881293403,-0.015917714436848945,-0.023228369818793393,-0.03515989515516492,-0.024238840738932288,-0.02916912502712672,-0.023289404975043393,0.0022707621256510546,0.04625846015082466,0.05391837226019966,0.0485557556152344,0.1405666775173611,6.340752688530489e-19,12.952538551029722,anova,0.1256196763780382,0.11848280164930555,0.10332149929470485,0.11752997504340278,0.1132015652126736,0.11847941080729167,0.13883209228515625,0.1820712619357639,0.19640943739149305,0.19171905517578125,-0.014947001139322902,-0.022083875868055547,-0.037245178222656244,-0.023036702473958323,-0.027365112304687494,-0.022087266710069428,-0.0017345852322048494,0.041504584418402796,0.05584275987413195,0.05115237765842015
intelligent,Skin Tone,0.5711834377712673,4.269191116348877e-06,4.735499248561893,anova,0.5119255913628472,0.5698954264322916,0.5445014105902778,0.5743001302083334,0.6151970757378472,0.6123555501302084,0.5747731526692709,0.5826009114583334,0.5744764539930556,0.5518086751302084,-0.059257846408420134,-0.0012880113389757142,-0.026682027180989554,0.0031166924370660265,0.044013637966579866,0.041172112358941026,0.0035897148980035265,0.011417473687066026,0.0032930162217882364,-0.019374762641058974,0.5200824313693576,0.0009377485687021902,3.1728458611337187,anova,0.4633110894097222,0.5132683648003472,0.5027821858723959,0.5206875271267362,0.5547383626302084,0.5555402967664931,0.5208095974392362,0.5354173448350694,0.5313195122612847,0.5029500325520834,-0.0567713419596354,-0.006814066569010402,-0.01730024549696174,0.0006050957573785487,0.03465593126085076,0.03545786539713547,0.0007271660698785487,0.015334913465711808,0.011237080891927098,-0.01713239881727424,0.5851954142252604,0.0052119459597718175,2.645552415288561,anova,0.5393235948350694,0.5851067437065972,0.5762464735243056,0.5858510335286459,0.6221889919704862,0.6202155219184028,0.5861918131510416,0.5950554741753472,0.5837504069010416,0.5580240885416666,-0.045871819390191026,-8.867051866323639e-05,-0.008948940700954866,0.0006556193033854241,0.036993577745225714,0.035020107693142344,0.0009963989257811834,0.009860059950086764,-0.0014450073242188166,-0.027171325683593817,0.44299214680989585,1.1701011989347629e-05,4.449802660405851,anova,0.3790317111545139,0.4332699245876736,0.4165683322482639,0.4355604383680556,0.478485107421875,0.4827338324652778,0.4495934380425347,0.4659474690755208,0.4645284016927083,0.4242028130425347,-0.06396043565538195,-0.009722222222222243,-0.026423814561631953,-0.007431708441840268,0.03549296061197915,0.03974168565538194,0.006601291232638862,0.022955322265624967,0.021536254882812467,-0.018789333767361138,0.49014027913411456,1.5298324594850044e-05,4.3734782685158144,anova,0.4188554551866319,0.4731987847222222,0.4571753607855903,0.4907023111979167,0.5337778727213541,0.5399593777126737,0.4980180528428819,0.5114390055338541,0.5106658935546875,0.4676106770833333,-0.07128482394748265,-0.016941494411892355,-0.032964918348524275,0.0005620320638021203,0.043637593587239565,0.049819098578559096,0.007877773708767355,0.021298726399739565,0.020525614420572935,-0.02252960205078125
polite,Skin Tone,0.6023754543728299,2.1280782763098694e-17,11.959445589631901,anova,0.5974748399522569,0.6282518174913194,0.6575724283854166,0.6507771809895834,0.6816541883680556,0.6576911078559028,0.5842488606770834,0.5459493001302084,0.5236850314670138,0.4964497884114583,-0.004900614420572991,0.02587636311848951,0.05519697401258672,0.04840172661675346,0.07927873399522567,0.05531565348307288,-0.01812659369574654,-0.05642615424262154,-0.07869042290581607,-0.1059256659613716,0.5949954562717014,2.1364581449320402e-16,11.312493828796997,anova,0.5899319118923612,0.6247016059027778,0.6479017469618056,0.6477457682291666,0.6754421657986112,0.6453179253472222,0.57208251953125,0.5375247531467013,0.5188751220703125,0.4904310438368056,-0.005063544379340201,0.02970614963107643,0.05290629069010422,0.05275031195746527,0.0804467095269098,0.05032246907552085,-0.022912936740451362,-0.05747070312500002,-0.07612033420138886,-0.10456441243489578,0.6469628228081598,5.835156970502314e-16,11.031672271959861,anova,0.646942138671875,0.6774088541666666,0.6944868299696181,0.6924675835503472,0.7260877821180556,0.6946563720703125,0.6269209120008681,0.5966779920789931,0.5735134548611112,0.54046630859375,-2.0684136284754295e-05,0.030446031358506875,0.047524007161458326,0.045504760742187456,0.07912495930989583,0.047693549262152746,-0.020041910807291674,-0.050284830729166674,-0.0734493679470486,-0.10649651421440975,0.579134284125434,3.159648345839248e-16,11.202995582234701,anova,0.5679558648003472,0.6022915310329862,0.6315578884548612,0.6292148166232638,0.6586507161458334,0.6362101236979166,0.5626559787326388,0.5257992214626737,0.50537109375,0.4716356065538194,-0.011178419325086786,0.023157246907552165,0.052423604329427165,0.050080532497829844,0.07951643202039937,0.057075839572482634,-0.016478305392795156,-0.053335062662760335,-0.073763190375434,-0.10749867757161458,0.5075411478678385,9.241440375161733e-18,12.194114597181862,anova,0.4942186143663194,0.5362091064453125,0.5690646701388888,0.5634172227647569,0.5970730251736112,0.5618896484375,0.48403506808810765,0.4510023328993056,0.4353705512152778,0.3831312391493056,-0.01332253350151913,0.02866795857747395,0.06152352227105029,0.05587607489691837,0.08953187730577261,0.05434850056966145,-0.023506079779730904,-0.05653881496853297,-0.07217059665256076,-0.12440990871853297
greedy,Skin Tone,0.06739226447211372,6.037790618410298e-15,10.382322061446569,anova,0.0588226318359375,0.055620829264322914,0.05063629150390625,0.060036553276909724,0.05767822265625,0.0625762939453125,0.07106060451931423,0.08879937065972222,0.09059990776909722,0.07809193929036458,-0.008569632636176217,-0.011771435207790802,-0.016755972968207467,-0.007355711195203993,-0.009714041815863717,-0.0048159705268012165,0.0036683400472005134,0.021407106187608507,0.023207643296983507,0.010699674818250862,0.0891994900173611,3.399518613793657e-16,11.184111883432784,anova,0.07959408230251735,0.07419331868489583,0.06889088948567708,0.07761128743489583,0.0770416259765625,0.08332146538628472,0.0917816162109375,0.11450703938802083,0.1193177964952257,0.10573577880859375,-0.00960540771484375,-0.015006171332465276,-0.020308600531684026,-0.011588202582465276,-0.012157864040798605,-0.005878024631076381,0.002582126193576395,0.025307549370659724,0.030118306477864593,0.016536288791232645,0.17463794284396703,6.548860165752362e-16,10.999855133787099,anova,0.15413920084635416,0.1554684109157986,0.1425747341579861,0.15873209635416666,0.1566162109375,0.16435411241319445,0.1786719428168403,0.21368832058376735,0.2173987494574653,0.2047356499565972,-0.020498741997612868,-0.01916953192816842,-0.03206320868598092,-0.015905846489800368,-0.018021731906467026,-0.010283830430772578,0.0040339999728732645,0.03905037773980033,0.042760806613498265,0.030097707112630184,0.0533134036593967,2.917731139336385e-10,7.399459466916893,anova,0.04646004570855035,0.04521221584743924,0.0414335462782118,0.04396269056532118,0.04466289944118924,0.04858822292751736,0.05675167507595486,0.07000096638997395,0.07120980156792535,0.06485197279188368,-0.0068533579508463505,-0.008101187811957462,-0.011879857381184897,-0.009350713094075522,-0.008650504218207462,-0.004725180731879337,0.0034382714165581627,0.016687562730577254,0.01789639790852865,0.011538569132486978,0.07363162570529513,7.538335113878092e-18,12.255576261373633,anova,0.0681669447157118,0.05850770738389757,0.05312771267361111,0.06153149074978299,0.05814361572265625,0.06715477837456597,0.0745730929904514,0.09890916612413195,0.10435655381944445,0.09184519449869792,-0.0054646809895833315,-0.015123918321397561,-0.020503913031684022,-0.012100134955512147,-0.015488009982638884,-0.00647684733072916,0.0009414672851562611,0.025277540418836814,0.030724928114149314,0.018213568793402787
