trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,age_20-29_mean_template_0,age_30-39_mean_template_0,age_40-49_mean_template_0,age_50-59_mean_template_0,age_60-69_mean_template_0,age_20-29_diff_from_overall_template_0,age_30-39_diff_from_overall_template_0,age_40-49_diff_from_overall_template_0,age_50-59_diff_from_overall_template_0,age_60-69_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,age_20-29_mean_template_1,age_30-39_mean_template_1,age_40-49_mean_template_1,age_50-59_mean_template_1,age_60-69_mean_template_1,age_20-29_diff_from_overall_template_1,age_30-39_diff_from_overall_template_1,age_40-49_diff_from_overall_template_1,age_50-59_diff_from_overall_template_1,age_60-69_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,age_20-29_mean_template_2,age_30-39_mean_template_2,age_40-49_mean_template_2,age_50-59_mean_template_2,age_60-69_mean_template_2,age_20-29_diff_from_overall_template_2,age_30-39_diff_from_overall_template_2,age_40-49_diff_from_overall_template_2,age_50-59_diff_from_overall_template_2,age_60-69_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,age_20-29_mean_template_3,age_30-39_mean_template_3,age_40-49_mean_template_3,age_50-59_mean_template_3,age_60-69_mean_template_3,age_20-29_diff_from_overall_template_3,age_30-39_diff_from_overall_template_3,age_40-49_diff_from_overall_template_3,age_50-59_diff_from_overall_template_3,age_60-69_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,age_20-29_mean_template_4,age_30-39_mean_template_4,age_40-49_mean_template_4,age_50-59_mean_template_4,age_60-69_mean_template_4,age_20-29_diff_from_overall_template_4,age_30-39_diff_from_overall_template_4,age_40-49_diff_from_overall_template_4,age_50-59_diff_from_overall_template_4,age_60-69_diff_from_overall_template_4
intelligent,age,0.5149315585609243,1.812381092997892e-30,37.900608846048584,anova,0.4603473225227591,0.48595404958858546,0.5223703250831583,0.5471523081889006,0.5588337874212185,-0.0545842360381652,-0.02897750897233886,0.007438766522233964,0.032220749627976275,0.04390222886029416,0.44510227919292716,7.996760245336836e-09,11.01297984977236,anova,0.4124519925157563,0.42847260974702384,0.4533513600752801,0.4690847530418417,0.4621506805847339,-0.03265028667717085,-0.016629669445903328,0.008249080882352933,0.023982473848914554,0.017048401391806745,0.5107096354166667,0.019910119651490164,2.927548902061018,anova,0.49472225413602944,0.5014354374562325,0.5117594401041666,0.5265887605042017,0.5190422848827031,-0.01598738128063726,-0.00927419796043416,0.0010498046874999334,0.015879125087534973,0.008332649466036401,0.38264002866771707,7.93866987401452e-32,39.62373520501626,anova,0.32653945367209386,0.35195264629289214,0.38615250787815125,0.4169525231967787,0.4316030122986695,-0.05610057499562321,-0.030687382374824934,0.003512479210434183,0.034312494529061655,0.04896298363095242,0.4335435541404062,5.606209206413664e-21,26.004765113980273,anova,0.37704715675332634,0.4084257238051471,0.44749472054446776,0.471608223367472,0.46314194623161764,-0.056496397387079844,-0.025117830335259106,0.013951166404061577,0.038064669227065806,0.029598392091211456
corrupt,age,0.1668406425070028,5.407635020965174e-192,291.31679783138395,anova,0.11376303451067928,0.13814769071691177,0.17024602809873948,0.1976732099089636,0.21437324929971988,-0.053077607996323536,-0.028692951790091042,0.0034053855917366704,0.030832567401960775,0.047532606792717064,0.1665411086309524,8.592243877777709e-123,169.27631747257908,anova,0.1224474653142507,0.14540386467086835,0.17268333114495799,0.19178818988532914,0.20038269213935575,-0.044093643316701694,-0.02113724396008404,0.006142222514005591,0.025247081254376746,0.033841583508403356,0.2170511368609944,1.8366751350858453e-86,113.78334070539526,anova,0.181834159445028,0.20131959033613445,0.2216393393294818,0.23551705838585435,0.2449455368084734,-0.03521697741596638,-0.015731546524859946,0.004588202468487401,0.018465921524859957,0.027894399947479,0.11081091616334034,1.6309461522261168e-77,100.98672102887632,anova,0.08747449174982493,0.10034726781337536,0.1139336594012605,0.12350438222163866,0.12879477963060224,-0.02333642441351541,-0.01046364834996498,0.003122743237920167,0.012693466058298325,0.0179838634672619,0.16937751663165265,1.467493302702031e-171,252.8281969881295,anova,0.10867677148984593,0.13611626291141457,0.17462312073266806,0.20572061832545518,0.22175080969887956,-0.06070074514180672,-0.03326125372023808,0.005245604101015405,0.03634310169380253,0.052373293067226906
resentful,age,0.23495628720238096,1.8543705569383662e-30,37.88642833166911,anova,0.19722801229866946,0.22097051711309523,0.235158028054972,0.2501442959996499,0.27128058254551823,-0.0377282749037115,-0.013985770089285726,0.00020174085259103136,0.01518800879726892,0.036324295343137275,0.31073015143557425,5.786444399745943e-42,52.64011252005424,anova,0.26077706473214285,0.2908850063462885,0.3116048177083333,0.33294010963760506,0.35744375875350143,-0.049953086703431404,-0.019845145089285754,0.0008746662727590615,0.02220995820203081,0.046713607317927175,0.3456593574929972,7.55039661535369e-41,51.19128819890786,anova,0.2909403995973389,0.3239308418679972,0.34129901960784315,0.3699920397846639,0.40213448660714285,-0.05471895789565828,-0.021728515625,-0.004360337885154053,0.024332682291666685,0.05647512911414565,0.22146693638392856,1.6249702680323807e-30,37.95947268477225,anova,0.18178184359681374,0.20810150231967786,0.2223498774509804,0.23735119047619047,0.2577502680759804,-0.03968509278711482,-0.013365434064250697,0.0008829410670518345,0.015884254092261907,0.036283331692051835,0.25346795944940476,2.719740156573676e-36,45.31821985656144,anova,0.20342385000875352,0.234934745382528,0.25390283066351543,0.27496252407212884,0.30011584712009803,-0.05004410944065124,-0.018533214066876746,0.000434871214110677,0.02149456462272409,0.04664788767069328
pleasant,age,0.5584622423188025,1.8261074595081725e-14,17.95432646925501,anova,0.6066279050682774,0.5792451746323529,0.5704184994310224,0.5338264700411415,0.5021931624212185,0.04816566274947487,0.02078293231355044,0.011956257112219926,-0.024635772277661006,-0.05626907989758401,0.5023152327337185,4.829515878825195e-17,21.131493874668152,anova,0.555622346594888,0.5273211823792017,0.5173852744222689,0.4725427280287115,0.4387046322435224,0.053307113861169486,0.025005949645483194,0.015070041688550417,-0.029772504705006975,-0.06361060049019607,0.5053613144476541,7.586358687991912e-18,22.124308982342164,anova,0.5582442938112745,0.529490409445028,0.5209769454656863,0.47768746170343135,0.4404074618128501,0.05288297936362041,0.024129094997373923,0.015615631018032206,-0.027673852744222738,-0.06495385263480397,0.5203592081363796,2.9310282234721903e-10,12.781335991831012,anova,0.5619976994704131,0.538393335849965,0.5337242318802521,0.49745909105829833,0.4702216824229692,0.04163849133403352,0.01803412771358537,0.013365023743872495,-0.02290011707808126,-0.0501375257134104,0.47257322851015404,4.9106673504916555e-18,22.35783523173363,anova,0.5345879562762605,0.5004557975533963,0.48693266369047616,0.4376336960565476,0.40325602897408963,0.0620147277661065,0.027882569043242267,0.014359435180322122,-0.034939532453606426,-0.06931719953606441
stupid,age,0.04475979845063025,6.494877275082694e-36,44.838764988385954,anova,0.03851831259847689,0.040330731902135854,0.044176972546831235,0.048374720982142856,0.05239825422356443,-0.00624148585215336,-0.004429066548494398,-0.0005828259037990169,0.0036149225315126043,0.007638455772934177,0.07899306695334384,3.387860124927293e-20,25.034932385181065,anova,0.06894562024028361,0.07239248238357843,0.078966840642507,0.08516233641894258,0.08949805508140757,-0.010047446713060224,-0.006600584569765408,-2.622631083683269e-05,0.006169269465598745,0.010504988128063733,0.18242816657913166,9.386022618248394e-11,13.389785406035982,anova,0.16901711856617646,0.1767947413340336,0.18111951811974789,0.18890397956057423,0.19630547531512604,-0.013411048012955201,-0.00563342524509805,-0.0013086484593837766,0.0064758129814425636,0.013877308735994381,0.04316927698813901,7.702407301968449e-29,35.84313577983137,anova,0.03776451987044818,0.03982270398393732,0.04268904827556022,0.046023072314863446,0.049547040495885854,-0.0054047571176908255,-0.003346573004201686,-0.00048022871257878685,0.0028537953267244384,0.006377763507746846,0.10195592885591737,6.529119335526906e-70,90.25403946783962,anova,0.08483066077993698,0.09168882396708683,0.10178441493785013,0.1116177428002451,0.11985800179446779,-0.017125268075980388,-0.010267104888830536,-0.00017151391806723149,0.009661813944327732,0.017902072938550423
spiteful,age,0.16667439436712184,1.1957725630359447e-18,23.116658422429158,anova,0.14361999682685575,0.16003349582020307,0.17006275166316526,0.17814845664828433,0.18150727087710083,-0.023054397540266086,-0.0066408985469187665,0.0033883572960434205,0.01147406228116249,0.014832876509978998,0.19385757232580533,5.7686982595765e-17,21.036304346307446,anova,0.16700791644782914,0.18665576582195378,0.19705431000525211,0.2080078125,0.2105620568539916,-0.026849655877976192,-0.007201806503851549,0.0031967376794467817,0.014150240174194667,0.016704484528186264,0.3536157431722689,1.25586083872341e-11,14.46415986521186,anova,0.3213451396183473,0.34534272693452384,0.3524446888130252,0.3686345632002801,0.38031159729516806,-0.032270603553921584,-0.008273016237745068,-0.001171054359243695,0.015018820028011193,0.026695854122899154,0.14689729407387955,9.00942222907904e-06,7.228123942382841,anova,0.13158803560486695,0.14535907136292017,0.14909093520220587,0.15441484210871848,0.15403358609068626,-0.015309258469012599,-0.0015382227109593805,0.002193641128326318,0.007517548034838922,0.007136292016806711,0.1604061351102941,1.675126454066022e-32,40.47935277892439,anova,0.13307442117471988,0.15090215773809523,0.16469918045343138,0.17531758797268907,0.178037328212535,-0.027331713935574237,-0.00950397737219888,0.004293045343137264,0.014911452862394953,0.0176311931022409
brave,age,0.4300965894170168,0.00019839594290720165,5.536571900052892,anova,0.4119589241946779,0.4297018612132353,0.4389251794467787,0.43048420540091037,0.43941277682948177,-0.018137665222338895,-0.00039472820378150253,0.00882859002976194,0.00038761598389358554,0.009316187412464982,0.39004795277485993,0.0362837246537028,2.5707024193301136,anova,0.38173267353816526,0.39621766675420167,0.39879789806547616,0.3873390176383053,0.38615250787815125,-0.008315279236694673,0.00616971397934174,0.008749945290616234,-0.0027089351365546244,-0.0038954448967086774,0.36525147168242295,6.83006993075938e-37,46.08732434242601,anova,0.39683656665791317,0.39291253610819327,0.37739558714110644,0.34360228466386555,0.3155103838410364,0.031585094975490224,0.02766106442577032,0.012144115458683491,-0.021649187018557392,-0.04974108784138653,0.3308738729866947,1.808850075352569e-10,13.039264238553242,anova,0.3400065104166667,0.3480310092787115,0.34099333092612044,0.31800376400560226,0.30733475030637253,0.009132637429972001,0.017157136292016817,0.010119457939425758,-0.01287010898109242,-0.023539122680322155,0.36647231158088234,1.62156399280096e-09,11.866704461491308,anova,0.33940812653186275,0.3616857875962885,0.3760894006039916,0.37421833967962187,0.3809599034926471,-0.027064185049019585,-0.004786523984593838,0.00961708902310926,0.0077460280987395325,0.014487591911764741
talented,age,0.5995142490589986,0.23145184097125496,1.4003159578281343,anova,0.5956573058911064,0.6025800945378151,0.6109472109156162,0.5949963481486344,0.5933902858018207,-0.0038569431678922017,0.003065845478816498,0.011432961856617574,-0.004517900910364192,-0.0061239632571779,0.39680380941439075,1.3961591373583327e-09,11.94672894936509,anova,0.41509240414915966,0.4126291141456583,0.40792410714285715,0.3824134634322479,0.3659599582020308,0.018288594734768904,0.01582530473126753,0.0111202977284664,-0.014390345982142838,-0.03084385121235994,0.37040448015143557,4.3488197742770554e-24,29.876487184336508,anova,0.40019503895308123,0.392165753019958,0.381764473367472,0.3518141631652661,0.32608297225140054,0.02979055880164566,0.02176127286852242,0.011359993216036424,-0.018590316986169475,-0.04432150790003503,0.39074645483193277,0.010634348340164404,3.2940425907037456,anova,0.3966402967436975,0.4002900965073529,0.3997026544992997,0.38201647846638653,0.3750827479429272,0.00589384191176473,0.009543641675420156,0.008956199667366938,-0.008729976365546233,-0.01566370688900559,0.425560634410014,3.3385335140750265e-06,7.7664604265360575,anova,0.4338057488620448,0.43789185596113445,0.4437064376531863,0.4189928412771359,0.39340628829656865,0.0082451144520308,0.01233122155112043,0.018145803243172276,-0.006567793132878141,-0.032154346113445365
bad,age,0.1487381280637255,0.0009550602662449614,4.663873887171526,anova,0.14235108105742297,0.15025111607142858,0.15215637036064425,0.15087822238270307,0.14805385044642858,-0.006387047006302521,0.001512988007703081,0.0034182422969187554,0.0021400943189775756,-0.0006842776172969189,0.15462574678308824,1.8680650841644405e-22,27.84160356337568,anova,0.1369030522365196,0.14881089154411764,0.15839118850665265,0.16460549063375352,0.16441811099439776,-0.017722694546568635,-0.005814855238970601,0.003765441723564411,0.009979743850665274,0.009792364211309523,0.37052121629901963,1.561151657081711e-43,54.68371864267324,anova,0.3315867362570028,0.3563194809173669,0.36844308035714285,0.38521150647759106,0.4110452774859944,-0.03893448004201683,-0.014201735381652703,-0.0020781359418767797,0.01469029017857143,0.04052406118697477,0.12733951002275912,0.004875892107700079,3.742925406028908,anova,0.1212452266062675,0.1290006236869748,0.13049384792979693,0.12936888622636555,0.12658896566439076,-0.006094283416491611,0.0016611136642156743,0.003154337907037813,0.0020293762036064367,-0.0007505443583683546,0.2377802488182773,4.09315651000988e-27,33.66924485829484,anova,0.21104076396183474,0.23056585915616246,0.24304917279411764,0.2510134913340336,0.2532319568452381,-0.026739484856442564,-0.007214389662114851,0.005268923975840334,0.013233242515756305,0.015451708026960775
capable,age,0.7068137801995799,0.0012794081023748335,4.500031294098167,anova,0.6935152967436975,0.7015958727240896,0.7115789675245098,0.7140559348739496,0.7133228291316527,-0.01329848345588236,-0.005217907475490224,0.00476518732492992,0.007242154674369727,0.006509048932072825,0.5459881608893558,0.017561111804515382,3.001372059010918,anova,0.5322197238270309,0.5440451571253502,0.5505186449579832,0.5494504442401961,0.5537068342962185,-0.01376843706232489,-0.0019430037640055797,0.004530484068627438,0.0034622833508403117,0.007718673406862719,0.5670029926032913,0.12625090134348926,1.7997679980238237,anova,0.5554643732492998,0.5637747286414566,0.5744881937149859,0.5734651282387955,0.5678225391719187,-0.011538619353991586,-0.003228263961834732,0.007485201111694595,0.006462135635504129,0.0008195465686273717,0.5738256630777311,6.158807964164836e-08,9.918044811745686,anova,0.5520737591911765,0.5660355939250701,0.5746947216386554,0.5824538799894958,0.5938703606442577,-0.02175190388655457,-0.0077900691526610055,0.0008690585609243406,0.008628216911764741,0.020044697566526604,0.5638050923494398,3.416843936485222e-26,32.51089518007543,anova,0.5190197172619048,0.5469283416491597,0.5744922969187675,0.5867533536852241,0.5918317522321429,-0.044785375087534995,-0.016876750700280052,0.010687204569327702,0.022948261335784315,0.028026659882703142
