trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,race_Black_mean_template_0,race_East Asian_mean_template_0,race_Indian_mean_template_0,race_Latino_Hispanic_mean_template_0,race_Middle Eastern_mean_template_0,race_Southeast Asian_mean_template_0,race_White_mean_template_0,race_Black_diff_from_overall_template_0,race_East Asian_diff_from_overall_template_0,race_Indian_diff_from_overall_template_0,race_Latino_Hispanic_diff_from_overall_template_0,race_Middle Eastern_diff_from_overall_template_0,race_Southeast Asian_diff_from_overall_template_0,race_White_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,race_Black_mean_template_1,race_East Asian_mean_template_1,race_Indian_mean_template_1,race_Latino_Hispanic_mean_template_1,race_Middle Eastern_mean_template_1,race_Southeast Asian_mean_template_1,race_White_mean_template_1,race_Black_diff_from_overall_template_1,race_East Asian_diff_from_overall_template_1,race_Indian_diff_from_overall_template_1,race_Latino_Hispanic_diff_from_overall_template_1,race_Middle Eastern_diff_from_overall_template_1,race_Southeast Asian_diff_from_overall_template_1,race_White_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,race_Black_mean_template_2,race_East Asian_mean_template_2,race_Indian_mean_template_2,race_Latino_Hispanic_mean_template_2,race_Middle Eastern_mean_template_2,race_Southeast Asian_mean_template_2,race_White_mean_template_2,race_Black_diff_from_overall_template_2,race_East Asian_diff_from_overall_template_2,race_Indian_diff_from_overall_template_2,race_Latino_Hispanic_diff_from_overall_template_2,race_Middle Eastern_diff_from_overall_template_2,race_Southeast Asian_diff_from_overall_template_2,race_White_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,race_Black_mean_template_3,race_East Asian_mean_template_3,race_Indian_mean_template_3,race_Latino_Hispanic_mean_template_3,race_Middle Eastern_mean_template_3,race_Southeast Asian_mean_template_3,race_White_mean_template_3,race_Black_diff_from_overall_template_3,race_East Asian_diff_from_overall_template_3,race_Indian_diff_from_overall_template_3,race_Latino_Hispanic_diff_from_overall_template_3,race_Middle Eastern_diff_from_overall_template_3,race_Southeast Asian_diff_from_overall_template_3,race_White_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,race_Black_mean_template_4,race_East Asian_mean_template_4,race_Indian_mean_template_4,race_Latino_Hispanic_mean_template_4,race_Middle Eastern_mean_template_4,race_Southeast Asian_mean_template_4,race_White_mean_template_4,race_Black_diff_from_overall_template_4,race_East Asian_diff_from_overall_template_4,race_Indian_diff_from_overall_template_4,race_Latino_Hispanic_diff_from_overall_template_4,race_Middle Eastern_diff_from_overall_template_4,race_Southeast Asian_diff_from_overall_template_4,race_White_diff_from_overall_template_4
intelligent,race,0.5149315585609243,5.5009652098036496e-08,7.537396891687073,anova,0.5375727634803922,0.5471919041053922,0.5181607115502451,0.5105248544730392,0.48858714384191176,0.4863448797487745,0.5161386527267157,0.02264120491946786,0.03226034554446788,0.003229152989320805,-0.004406704087885127,-0.026344414719012554,-0.028586678812149824,0.0012070941657913448,0.44510227919292716,2.4081684513612986e-05,5.230749755411932,anova,0.4415508195465686,0.47968606387867646,0.45801068474264706,0.4375890395220588,0.429891907935049,0.41617790670955884,0.4528095320159314,-0.003551459646358557,0.0345837846857493,0.012908405549719892,-0.007513239670868366,-0.015210371257878164,-0.02892437248336832,0.007707252823004218,0.5107096354166667,3.8821200061833595e-05,5.0460873134844,anova,0.49483379289215684,0.5399835324754902,0.525698912377451,0.5121476715686275,0.49678117340686273,0.4817143458946078,0.5238080193014706,-0.015875842524509853,0.02927389705882355,0.014989276960784337,0.0014380361519608087,-0.013928462009803966,-0.028995289522058876,0.013098383884803888,0.38264002866771707,6.173346448734466e-06,5.753525568438964,anova,0.4070623659620098,0.40540173100490196,0.39551068474264706,0.375863587622549,0.35765883501838236,0.3577105353860294,0.3792724609375,0.024422337294292717,0.022761702337184886,0.012870656074929987,-0.006776441045168058,-0.02498119364933471,-0.024929493281687642,-0.0033675677302170692,0.4335435541404062,5.812528092885006e-07,6.6509764045282,anova,0.41957529105392155,0.4815908394607843,0.4376455269607843,0.4246218213848039,0.41755323223039215,0.4047344132965686,0.44908375459558825,-0.013968263086484634,0.04804728532037811,0.004101972820378108,-0.008921732755602263,-0.015990321910014038,-0.028809140843837566,0.015540200455182063
corrupt,race,0.1668406425070028,5.1354382269626296e-09,8.422712694009991,anova,0.16462450214460783,0.15631606158088235,0.1683349609375,0.1823098575367647,0.17883396522671569,0.16517693014705884,0.1522882199754902,-0.0022161403623949805,-0.010524580926120464,0.001494318430497188,0.015469215029761896,0.011993322719712873,-0.0016637123599439751,-0.014552422531512621,0.1665411086309524,1.6305692079556034e-14,13.099856677760313,anova,0.16907456341911764,0.15694651884191177,0.16855755974264705,0.17839403339460785,0.1760009765625,0.17199754901960784,0.1448165594362745,0.002533454788165246,-0.009594589789040625,0.002016451111694656,0.011852924763655459,0.0094598679315476,0.005456440388655448,-0.021724549194677895,0.2170511368609944,3.9471323794822046e-13,11.926307390406501,anova,0.21841969209558823,0.20971583946078431,0.21503619025735293,0.22734183517156864,0.22306315104166666,0.22719247855392158,0.19858877144607842,0.0013685552345938379,-0.007335297400210078,-0.00201494660364146,0.010290698310574248,0.006012014180672265,0.010141341692927186,-0.01846236541491597,0.11081091616334034,1.4701748939762933e-10,9.741382766873786,anova,0.1109054266237745,0.1022638059129902,0.11286142386642156,0.11707548253676471,0.12019090839460785,0.11078910079656863,0.1015902650122549,9.4510460434169e-05,-0.00854711025035014,0.002050507703081225,0.006264566373424374,0.009379992231267509,-2.1815366771704703e-05,-0.009220651151085432,0.16937751663165265,5.153715195360198e-18,16.067908719678115,anova,0.18266410079656864,0.14610188802083332,0.17568550857843138,0.18511220894607844,0.18395613128063726,0.16198826210171569,0.15013451669730393,0.013286584164915988,-0.023275628610819332,0.006307991946778724,0.015734692314425786,0.014578614648984606,-0.007389254529936967,-0.01924299993434872
resentful,race,0.23495628720238096,4.492131578264503e-12,11.029839666001408,anova,0.24721200980392158,0.2157858455882353,0.23380629595588234,0.23147594975490196,0.24014246323529412,0.2672707950367647,0.20900065104166668,0.01225572260154062,-0.01917044161414566,-0.0011499912464986162,-0.0034803374474789983,0.005186176032913159,0.03231450783438375,-0.02595563616071428,0.31073015143557425,7.150285168396906e-14,12.55547405197668,anova,0.3347483915441177,0.2839728860294118,0.30916819852941174,0.30927925857843136,0.3155905330882353,0.3410893458946078,0.2812624463848039,0.02401824010854342,-0.026757265406162467,-0.0015619529061625115,-0.0014508928571428936,0.004860381652661061,0.030359194459033567,-0.029467705050770343,0.3456593574929972,1.4217223936483037e-12,11.453947724774599,anova,0.3644454656862745,0.32444757199754903,0.3448874080882353,0.34502336090686275,0.35554247089460783,0.38042375153186275,0.30484547334558826,0.018786108193277307,-0.021211785495448165,-0.0007719494047618847,-0.0006359965861344463,0.009883113401610633,0.034764394038865554,-0.04081388414740894,0.22146693638392856,2.7968627905896398e-14,12.901123831674553,anova,0.24741402420343137,0.19798751531862746,0.2204656862745098,0.21838235294117647,0.2222378599877451,0.24871658624387255,0.19506452971813726,0.025947087819502807,-0.023479421065301098,-0.001001250109418761,-0.003084583442752087,0.0007709236038165312,0.027249649859943992,-0.0264024066657913,0.25346795944940476,1.0036812057897436e-15,14.125941725688833,anova,0.2862314261642157,0.21803193933823528,0.25352950750612746,0.24823500689338235,0.2637484681372549,0.27878800934436276,0.2257113587622549,0.03276346671481095,-0.035436020111169475,6.154805672270447e-05,-0.005232952556022408,0.010280508687850132,0.025320049894958008,-0.027756600687149857
pleasant,race,0.5584622423188025,3.626611403466034e-07,6.828945822758508,anova,0.5627963196997549,0.5743527879901961,0.5438725490196078,0.5693637025122549,0.5269157858455882,0.5220999923406863,0.6098345588235294,0.0043340773809523725,0.015890545671393586,-0.014589693299194684,0.010901460193452395,-0.0315464564732143,-0.03636224997811621,0.051372316504726956,0.5023152327337185,4.548069195892336e-06,5.870219321447723,anova,0.5100044998468137,0.5166149662990196,0.48783892463235295,0.5124942555147058,0.4667030484068627,0.4705762676164216,0.551974666819853,0.007689267113095255,0.01429973356530112,-0.01447630810136552,0.010179022780987368,-0.035612184326855756,-0.0317389651172969,0.04965943408613449,0.5053613144476541,5.4962949695413575e-06,5.797916890406973,anova,0.5024825750612745,0.5243609260110295,0.49017501531862745,0.5227883731617647,0.4722234987745098,0.4749033011642157,0.5505955116421568,-0.002878739386379614,0.018999611563375374,-0.015186299129026637,0.017427058714110655,-0.03313781567314428,-0.03045801328343839,0.04523419719450272,0.5203592081363796,3.0118640671984985e-06,6.027299788490959,anova,0.531012082567402,0.5340121400122549,0.5002920113357843,0.5345889820772058,0.4840676700367647,0.48968769148284313,0.568853879442402,0.010652874431022363,0.013652931875875352,-0.02006719680059532,0.014229773940826251,-0.036291538099614884,-0.030671516653536457,0.04849467130602236,0.47257322851015404,1.048998898691723e-06,6.427716578378255,anova,0.4711880553002451,0.48927408854166665,0.4530508003982843,0.4853994332107843,0.43893229166666664,0.4365435431985294,0.5336243872549019,-0.0013851732099089409,0.01670086003151261,-0.019522428111869716,0.012826204700630284,-0.0336409368434874,-0.03602968531162465,0.06105115874474787
stupid,race,0.04475979845063025,0.0007473979077515588,3.8819625691982456,anova,0.04445657169117647,0.04132271560968137,0.04598532284007353,0.04281915402879902,0.04593051087622549,0.04722972196691176,0.04557459214154412,-0.0003032267594537813,-0.003437082840948881,0.001225524389443275,-0.001940644421831235,0.001170712425595237,0.0024699235162815095,0.0008147936909138689,0.07899306695334384,0.01541465240894137,2.6275725557683587,anova,0.07782149969362745,0.07631237553615196,0.07851131663602941,0.07595190908394608,0.0810934627757353,0.0859686159620098,0.07729228898590686,-0.0011715672597163856,-0.002680691417191877,-0.00048175031731442775,-0.003041157869397751,0.0021003958223914654,0.006975549008665968,-0.0017007779674369783,0.18242816657913166,1.0664173137433077e-06,6.421490239398873,anova,0.1810116038602941,0.18583888633578433,0.1742254518995098,0.17723556219362746,0.18541666666666667,0.19943225337009804,0.17383674172794117,-0.0014165627188375551,0.0034107197566526637,-0.008202714679621859,-0.0051926043855042014,0.002988500087535012,0.017004086790966377,-0.008591424851190493,0.04316927698813901,0.0038531923038855093,3.2138643443922583,anova,0.04345511642156863,0.04113422468596814,0.043915872012867646,0.04087440640318627,0.04446064070159314,0.04549177581188726,0.04285290287990196,0.0002858394334296216,-0.002035052302170867,0.0007465950247286385,-0.0022948705849527365,0.0012913637134541328,0.0023224988237482494,-0.00031637410823704554,0.10195592885591737,0.001154970824174128,3.706690055863348,anova,0.10293255974264706,0.0959396063112745,0.10386651731004902,0.09837239583333333,0.10468654258578432,0.10609154794730392,0.10180233226102942,0.0009766308867296958,-0.006016322544642863,0.0019105884541316537,-0.0035835330225840317,0.0027306137298669514,0.004135619091386558,-0.0001535965948879503
spiteful,race,0.16667439436712184,1.5803364246904838e-07,7.141598677673124,anova,0.16775716145833333,0.14934943704044118,0.16691607306985295,0.16971076516544117,0.17600719975490195,0.17747108609068626,0.15950903799019608,0.001082767091211495,-0.017324957326680657,0.00024167870273111847,0.0030363707983193378,0.009332805387780113,0.010796691723564428,-0.007165356376925752,0.19385757232580533,6.197675731801601e-09,8.352718410958756,anova,0.19956868489583332,0.17178883272058823,0.1973211550245098,0.19550876991421567,0.20474494485294117,0.2054974724264706,0.18257314644607844,0.0057111125700279874,-0.022068739605217103,0.003463582698704476,0.0016511975884103414,0.010887372527135841,0.011639900100665262,-0.01128442587972689,0.3536157431722689,1.0668725873991955e-06,6.4213241323647425,anova,0.3596966911764706,0.33393746170343136,0.3510617723651961,0.3533528645833333,0.3725633808210784,0.3764217601102941,0.3282762714460784,0.0060809480042016695,-0.019678281468837544,-0.002553970807072814,-0.0002628785889355889,0.018947637648809523,0.022806016938025198,-0.0253394717261905,0.14689729407387955,4.68626248696809e-09,8.456770723518748,anova,0.15693120021446078,0.12639447380514707,0.15231071920955883,0.14559685202205883,0.15494983149509803,0.15349408318014707,0.13860389859068628,0.010033906140581222,-0.020502820268732486,0.005413425135679273,-0.0013004420518207271,0.008052537421218475,0.006596789106267514,-0.008293395483193272,0.1604061351102941,8.128603984868359e-11,9.960528319408503,anova,0.16212948069852942,0.14004959405637254,0.1603170955882353,0.16410654105392156,0.17262752757352942,0.1642889284620098,0.1593237783394608,0.0017233455882353088,-0.020356541053921567,-8.903952205882582e-05,0.003700405943627444,0.012221392463235309,0.00388279335171568,-0.0010823567708333204
brave,race,0.4300965894170168,1.7585178854583773e-26,23.293360630648575,anova,0.4846066942401961,0.40865023743872547,0.4302523743872549,0.43363970588235295,0.40413124234068626,0.42771714154411766,0.4216787300857843,0.054510104823179306,-0.02144635197829131,0.00015578497023810423,0.0035431164653361713,-0.025965347076330525,-0.002379447872899121,-0.008417859331232458,0.39004795277485993,1.493094334982468e-40,35.575516058030836,anova,0.45583448223039214,0.36139418658088235,0.3996725643382353,0.3926202512254902,0.36608838848039216,0.3841078814338235,0.3706179151348039,0.0657865294555322,-0.02865376619397758,0.009624611563375352,0.0025722984506302837,-0.023959564294467772,-0.0059400713410364125,-0.01943003764005602,0.36525147168242295,5.317669839131923e-16,14.359509246036257,anova,0.40994657628676473,0.3424249387254902,0.36415536917892155,0.37807712928921566,0.34208984375,0.35580767463235297,0.3642587699142157,0.044695104604341784,-0.022826532956932766,-0.001096102503501395,0.012825657606792717,-0.023161627932422935,-0.00944379705006998,-0.0009927017682072603,0.3308738729866947,4.657229613487811e-14,12.71310096905395,anova,0.3688036151960784,0.3088311887254902,0.3288315716911765,0.3357048483455882,0.3111806832107843,0.326968443627451,0.33579676011029413,0.03792974220938372,-0.02204268426120448,-0.0020423012955181896,0.004830975358893541,-0.01969318977591039,-0.003905429359243706,0.004922887123599451,0.36647231158088234,2.8831731864422555e-39,34.43629678905962,anova,0.4331533394607843,0.3262034696691177,0.3743365119485294,0.37407513786764707,0.3509689031862745,0.36011699601715685,0.34645182291666665,0.06668102787990199,-0.04026884191176466,0.007864200367647067,0.00760282628676473,-0.015503408394607843,-0.006355315563725483,-0.020020488664215685
talented,race,0.5995142490589986,2.539534390749502e-15,13.784108062213118,anova,0.6368623621323529,0.6333055683210784,0.5815400965073529,0.6080327052696078,0.5727989047181372,0.5758726830575981,0.5881874234068627,0.03734811307335428,0.03379131926207979,-0.017974152551645695,0.008518456210609204,-0.026715344340861424,-0.02364156600140055,-0.011326825652135941,0.39680380941439075,2.369691929264067e-08,7.852383644082934,anova,0.42864056755514707,0.42066817938112744,0.38584223728553924,0.40073146446078434,0.37706897212009804,0.37562902113970587,0.3890462239583333,0.031836758140756316,0.023864369966736687,-0.010961572128851516,0.0039276550463935855,-0.019734837294292706,-0.021174788274684886,-0.007757585456057425,0.37040448015143557,7.827070331868413e-11,9.974297222882331,anova,0.40915096507352944,0.38489296109068627,0.3596349379595588,0.3777228860294118,0.3531719132965686,0.3448203890931373,0.3634373085171569,0.03874648492209387,0.014488480939250703,-0.010769542191876758,0.0073184058779762196,-0.01723256685486696,-0.025584091058298286,-0.006967171634278679,0.39074645483193277,3.5640977676829935e-14,12.81160448412103,anova,0.4400716145833333,0.4047478170955882,0.37977797564338234,0.40001244638480393,0.3647111481311274,0.3616742302389706,0.3842299517463235,0.04932515975140056,0.014001362263655448,-0.010968479188550428,0.009265991552871167,-0.02603530670080534,-0.02907222459296216,-0.006516503085609249,0.425560634410014,3.018673435160653e-11,10.326442145079016,anova,0.466122376685049,0.4525323606004902,0.40926011029411763,0.4385579427083333,0.4062169692095588,0.39145890778186276,0.4147757735906863,0.040561742275035007,0.026971726190476164,-0.016300524115896387,0.012997308298319299,-0.019343665200455218,-0.03410172662815125,-0.010784860819327724
bad,race,0.1487381280637255,0.00018902200733386887,4.428079501904011,anova,0.1435489430147059,0.14337660845588235,0.14621725643382352,0.15225183823529412,0.15265969669117646,0.15370040594362744,0.14941214767156863,-0.005189185049019607,-0.005361519607843146,-0.0025208716299019718,0.0035137101715686236,0.0039215686274509665,0.004962277879901944,0.0006740196078431349,0.15462574678308824,2.267470898990398e-06,6.13533463795571,anova,0.15418533624387254,0.1492288028492647,0.15183967141544116,0.15806429993872548,0.1577679802389706,0.16584807751225492,0.14544605928308824,-0.00044041053921570206,-0.005396943933823534,-0.0027860753676470784,0.003438553155637236,0.003142233455882354,0.011222330729166674,-0.009179687500000006,0.37052121629901963,2.9208176893895383e-10,9.486968284592153,anova,0.36449908088235294,0.3646695006127451,0.3696652879901961,0.36960592830882355,0.37575635723039214,0.40084060968137253,0.3486117493872549,-0.006022135416666685,-0.005851715686274517,-0.0008559283088235281,-0.0009152879901960786,0.005235140931372506,0.0303193933823529,-0.021909466911764708,0.12733951002275912,0.002268088193604436,3.4321819349336304,anova,0.12737438725490197,0.12070216758578431,0.12479607077205883,0.1304874195772059,0.13102452895220587,0.1313500497855392,0.12564194623161765,3.487723214284921e-05,-0.006637342436974808,-0.0025434392507002884,0.0031479095544467706,0.003685018929446754,0.0040105397627800965,-0.001697563791141471,0.2377802488182773,6.280024652292843e-11,10.05585401966643,anova,0.24257046568627452,0.21582892922794117,0.23915728400735295,0.2450607000612745,0.24761316636029412,0.24130380667892157,0.23292738970588237,0.004790216867997216,-0.021951319590336138,0.0013770351890756427,0.007280451242997199,0.009832917542016817,0.003523557860644261,-0.004852859112394942
capable,race,0.7068137801995799,1.698573057524406e-11,10.538849382804433,anova,0.7331380208333333,0.7027688419117647,0.7035692401960785,0.7181870404411764,0.6885531556372549,0.6900505514705882,0.7114296109068627,0.026324240633753493,-0.0040449382878151585,-0.003244540003501384,0.011373260241596572,-0.018260624562324912,-0.016763228728991608,0.004615830707282886,0.5459881608893558,4.464792833904215e-12,11.031897087117708,anova,0.5799900428921568,0.5387982536764706,0.5494485294117647,0.5550130208333334,0.5197054993872549,0.5316923253676471,0.5472694546568627,0.034001882002801076,-0.007189907212885149,0.003460368522408941,0.009024859943977614,-0.0262826615021009,-0.014295835521708655,0.0012812937675069636,0.5670029926032913,2.8755939600670797e-08,7.780069031362134,anova,0.5923540900735295,0.5640797334558824,0.5675120634191176,0.5794184666053922,0.540490962009804,0.5456303615196079,0.5795352711397059,0.025351097470238115,-0.0029232591474089853,0.0005090708158262958,0.012415474002100857,-0.02651203059348739,-0.02137263108368348,0.012532278536414587,0.5738256630777311,1.5263856810096995e-13,12.276002859732051,anova,0.6104932598039216,0.5609298406862745,0.5752182904411764,0.586148131127451,0.5494466145833333,0.5536879595588236,0.5808555453431372,0.036667596726190466,-0.01289582239145659,0.0013926273634453645,0.012322468049719926,-0.02437904849439776,-0.020137703518907535,0.007029882265406129,0.5638050923494398,1.3940682733668494e-17,15.70059326092654,anova,0.6104243259803922,0.5645546109068628,0.570129633884804,0.5721593520220588,0.5320293351715686,0.5458275888480392,0.5515107996323529,0.04661923363095244,0.0007495185574230012,0.006324541535364214,0.008354259672619047,-0.03177575717787118,-0.017977503501400593,-0.012294292717086819
