trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,Skin Tone_1_mean_template_0,Skin Tone_2_mean_template_0,Skin Tone_3_mean_template_0,Skin Tone_4_mean_template_0,Skin Tone_5_mean_template_0,Skin Tone_6_mean_template_0,Skin Tone_7_mean_template_0,Skin Tone_8_mean_template_0,Skin Tone_9_mean_template_0,Skin Tone_10_mean_template_0,Skin Tone_1_diff_from_overall_template_0,Skin Tone_2_diff_from_overall_template_0,Skin Tone_3_diff_from_overall_template_0,Skin Tone_4_diff_from_overall_template_0,Skin Tone_5_diff_from_overall_template_0,Skin Tone_6_diff_from_overall_template_0,Skin Tone_7_diff_from_overall_template_0,Skin Tone_8_diff_from_overall_template_0,Skin Tone_9_diff_from_overall_template_0,Skin Tone_10_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,Skin Tone_1_mean_template_1,Skin Tone_2_mean_template_1,Skin Tone_3_mean_template_1,Skin Tone_4_mean_template_1,Skin Tone_5_mean_template_1,Skin Tone_6_mean_template_1,Skin Tone_7_mean_template_1,Skin Tone_8_mean_template_1,Skin Tone_9_mean_template_1,Skin Tone_10_mean_template_1,Skin Tone_1_diff_from_overall_template_1,Skin Tone_2_diff_from_overall_template_1,Skin Tone_3_diff_from_overall_template_1,Skin Tone_4_diff_from_overall_template_1,Skin Tone_5_diff_from_overall_template_1,Skin Tone_6_diff_from_overall_template_1,Skin Tone_7_diff_from_overall_template_1,Skin Tone_8_diff_from_overall_template_1,Skin Tone_9_diff_from_overall_template_1,Skin Tone_10_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,Skin Tone_1_mean_template_2,Skin Tone_2_mean_template_2,Skin Tone_3_mean_template_2,Skin Tone_4_mean_template_2,Skin Tone_5_mean_template_2,Skin Tone_6_mean_template_2,Skin Tone_7_mean_template_2,Skin Tone_8_mean_template_2,Skin Tone_9_mean_template_2,Skin Tone_10_mean_template_2,Skin Tone_1_diff_from_overall_template_2,Skin Tone_2_diff_from_overall_template_2,Skin Tone_3_diff_from_overall_template_2,Skin Tone_4_diff_from_overall_template_2,Skin Tone_5_diff_from_overall_template_2,Skin Tone_6_diff_from_overall_template_2,Skin Tone_7_diff_from_overall_template_2,Skin Tone_8_diff_from_overall_template_2,Skin Tone_9_diff_from_overall_template_2,Skin Tone_10_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,Skin Tone_1_mean_template_3,Skin Tone_2_mean_template_3,Skin Tone_3_mean_template_3,Skin Tone_4_mean_template_3,Skin Tone_5_mean_template_3,Skin Tone_6_mean_template_3,Skin Tone_7_mean_template_3,Skin Tone_8_mean_template_3,Skin Tone_9_mean_template_3,Skin Tone_10_mean_template_3,Skin Tone_1_diff_from_overall_template_3,Skin Tone_2_diff_from_overall_template_3,Skin Tone_3_diff_from_overall_template_3,Skin Tone_4_diff_from_overall_template_3,Skin Tone_5_diff_from_overall_template_3,Skin Tone_6_diff_from_overall_template_3,Skin Tone_7_diff_from_overall_template_3,Skin Tone_8_diff_from_overall_template_3,Skin Tone_9_diff_from_overall_template_3,Skin Tone_10_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,Skin Tone_1_mean_template_4,Skin Tone_2_mean_template_4,Skin Tone_3_mean_template_4,Skin Tone_4_mean_template_4,Skin Tone_5_mean_template_4,Skin Tone_6_mean_template_4,Skin Tone_7_mean_template_4,Skin Tone_8_mean_template_4,Skin Tone_9_mean_template_4,Skin Tone_10_mean_template_4,Skin Tone_1_diff_from_overall_template_4,Skin Tone_2_diff_from_overall_template_4,Skin Tone_3_diff_from_overall_template_4,Skin Tone_4_diff_from_overall_template_4,Skin Tone_5_diff_from_overall_template_4,Skin Tone_6_diff_from_overall_template_4,Skin Tone_7_diff_from_overall_template_4,Skin Tone_8_diff_from_overall_template_4,Skin Tone_9_diff_from_overall_template_4,Skin Tone_10_diff_from_overall_template_4
compassionate,Skin Tone,0.2053170945909288,1.5895482907230762e-17,12.041504223970156,anova,0.20384724934895834,0.21838506062825522,0.2163569132486979,0.21634292602539062,0.21890555487738717,0.21044031778971353,0.20152367485894096,0.19273249308268228,0.1921666463216146,0.18247010972764757,-0.0014698452419704688,0.013067966037326406,0.011039818657769096,0.011025831434461814,0.013588460286458354,0.005123223198784721,-0.0037934197319878515,-0.012584601508246529,-0.013150448269314219,-0.02284698486328124,0.2086077160305447,5.933360814356958e-15,10.385109199472886,anova,0.20939678615993923,0.21759457058376735,0.21928490532769096,0.21704567803276908,0.22183587816026476,0.21445337931315103,0.20777596367730033,0.19618352254231772,0.1965577867296007,0.18594868977864584,0.0007890701293945257,0.00898685455322265,0.010677189297146256,0.00843796200222438,0.013228162129720056,0.005845663282606328,-0.0008317523532443694,-0.012424193488226987,-0.012049929300944007,-0.02265902625189886,0.24813240898980035,1.4202431146945415e-08,6.326684056431429,anova,0.2449408637152778,0.2584872775607639,0.25769127739800346,0.25660747951931423,0.25826136271158856,0.2509223090277778,0.24434958563910592,0.2399690416124132,0.23995929294162327,0.2301355997721354,-0.0031915452745225614,0.010354868570963544,0.009558868408203108,0.008475070529513878,0.010128953721788209,0.0027899000379774386,-0.0037828233506944364,-0.008163367377387154,-0.008173116048177081,-0.017996809217664944,0.21855176289876302,5.999710679744628e-11,7.834805989269027,anova,0.21591737535264757,0.2266574435763889,0.2280358208550347,0.22618187798394096,0.22720379299587673,0.22161780463324654,0.21661885579427084,0.2125311957465278,0.2126854790581597,0.19806798299153647,-0.0026343875461154465,0.008105680677625876,0.009484057956271691,0.007630115085177941,0.008652030097113711,0.003066041734483521,-0.0019329071044921764,-0.006020567152235229,-0.005866283840603309,-0.02048377990722655,0.20521774291992187,8.709210731179408e-05,3.8737848830815484,anova,0.2041837904188368,0.2154473198784722,0.2053900824652778,0.20880847507052952,0.2170528835720486,0.20251507229275173,0.19916915893554688,0.2007929484049479,0.2034878200954861,0.19532987806532118,-0.001033952501085067,0.01022957695855034,0.00017233954535592066,0.0035907321506076506,0.011835140652126735,-0.0027026706271701395,-0.0060485839843749944,-0.004424794514973962,-0.0017299228244357645,-0.009887864854600692
devious,Skin Tone,0.24254540337456598,0.01922024592596413,2.2237173146820863,anova,0.2380896674262153,0.2496795654296875,0.2326685587565104,0.24413977728949654,0.250191158718533,0.23721483018663195,0.24107276068793404,0.24553426106770834,0.24877972073025173,0.23808373345269096,-0.004455735948350692,0.007134162055121518,-0.009876844618055575,0.001594373914930558,0.007645755343966998,-0.0053305731879340346,-0.001472642686631942,0.0029888576931423605,0.006234317355685748,-0.004461669921875022,0.18201811048719618,0.2022381942746385,1.36167198633418,anova,0.18385611640082467,0.18837102254231772,0.18122651841905382,0.18225987752278647,0.18283589680989584,0.17653104994032118,0.17997105916341147,0.18235651652018228,0.18508360120985243,0.17768944634331596,0.001838005913628482,0.0063529120551215346,-0.0007915920681423605,0.00024176703559028456,0.0008177863226996596,-0.0054870605468750056,-0.0020470513237847154,0.0003384060329860994,0.0030654907226562444,-0.004328664143880223,0.27773700290256076,0.5691752851753125,0.8511195011465091,anova,0.27442169189453125,0.2803327772352431,0.27367909749348956,0.2775963677300347,0.28220876057942706,0.2741817898220486,0.27490658230251735,0.27939605712890625,0.2828877766927083,0.2777591281467014,-0.003315311008029509,0.0025957743326823213,-0.004057905409071194,-0.00014063517252604907,0.004471757676866306,-0.003555213080512154,-0.002830420600043404,0.001659054226345491,0.005150773790147556,2.2125244140636102e-05,0.22471512688530815,0.016646434761304722,2.27140399994043,anova,0.22159025404188368,0.22996012369791666,0.2164832221137153,0.22290462917751735,0.22339672512478298,0.22129609849717882,0.2244389851888021,0.22921329074435765,0.2332526312934028,0.2246153089735243,-0.00312487284342447,0.00524499681260851,-0.008231904771592857,-0.0018104977077907924,-0.0013184017605251674,-0.003419028388129325,-0.0002761416965060548,0.004498163859049498,0.008537504408094643,-9.981791178384491e-05,0.29067378573947483,0.035271037279908615,2.017995758686158,anova,0.28636084662543404,0.2981245252821181,0.2795664469401042,0.2882758246527778,0.30119959513346356,0.2881181504991319,0.28771887885199654,0.29139963785807294,0.2946845160590278,0.29128943549262154,-0.0043129391140407924,0.007450739542643248,-0.011107338799370647,-0.0023979610866970424,0.010525809393988728,-0.002555635240342913,-0.0029549068874782924,0.0007258521185981026,0.0040107303195529576,0.0006156497531467076
stupid,Skin Tone,0.2827742258707682,0.17609913130649554,1.4193242468177085,anova,0.27424028184678817,0.2874688042534722,0.27149200439453125,0.2807757059733073,0.2883317735460069,0.2819671630859375,0.28642357720269096,0.28676266140407985,0.28740861680772567,0.28287167019314235,-0.008533944023980056,0.004694578382703984,-0.011282221476236975,-0.0019985198974609153,0.005557547675238694,-0.0008070627848307255,0.0036493513319227344,0.0039884355333116295,0.004634390936957444,9.744432237412948e-05,0.18380006154378256,0.1335453157263415,1.5305723128609947,anova,0.18478308783637154,0.18160629272460938,0.18432150946723092,0.18014759487575954,0.17740970187717015,0.18169699774848092,0.18846596611870658,0.1860529581705729,0.1888605753580729,0.1846559312608507,0.0009830262925889788,-0.0021937688191731863,0.0005214479234483538,-0.003652466668023019,-0.006390359666612416,-0.0021030637953016462,0.0046659045749240236,0.002252896626790346,0.005060513814290346,0.0008558697170681362,0.2995775434705946,6.582618287746662e-06,4.613032370974625,anova,0.2890133327907986,0.2919158935546875,0.28347524007161456,0.2943233913845486,0.29629601372612846,0.2944018046061198,0.3021070692274306,0.31279415554470485,0.31925201416015625,0.3121965196397569,-0.010564210679796016,-0.0076616499159071205,-0.016102303398980056,-0.005254152086046016,-0.0032815297444661606,-0.00517573886447481,0.0025295257568359597,0.013216612074110234,0.01967447068956163,0.0126189761691623,0.2291836208767361,3.3683398950596804e-05,4.147775738448911,anova,0.21883731418185765,0.22720760769314235,0.21915562947591147,0.2265285915798611,0.22630013359917533,0.22775056627061632,0.23174285888671875,0.23831642998589408,0.2388398912217882,0.23715718587239584,-0.01034630669487846,-0.00197601318359375,-0.010027991400824637,-0.002655029296875,-0.00288348727756077,-0.0014330546061197824,0.002559238009982645,0.00913280910915798,0.009656270345052093,0.007973564995659738,0.3052077399359809,0.0014248886302637043,3.0463282416964406,anova,0.29886966281467015,0.3066982693142361,0.2919667561848958,0.2998555501302083,0.3093889024522569,0.3014272054036458,0.30755615234375,0.31148529052734375,0.31472693549262154,0.3101026746961806,-0.006338077121310737,0.0014905293782552231,-0.013240983751085067,-0.005352189805772567,0.004181162516276038,-0.003780534532335067,0.002348412407769118,0.006277550591362868,0.009519195556640658,0.004894934760199698
ungrateful,Skin Tone,0.1956612057156033,0.05232319395523761,1.8798123613997628,anova,0.18895043267144096,0.19802347819010416,0.18902206420898438,0.19282828436957467,0.1967256334092882,0.19207000732421875,0.19903479682074654,0.20044581095377603,0.20171483357747397,0.19779671563042533,-0.006710773044162344,0.002362272474500854,-0.0066391415066189285,-0.0028329213460286384,0.001064427693684894,-0.0035911983913845535,0.0033735911051432366,0.004784605238172729,0.006053627861870664,0.0021355099148220313,0.12284041510687935,0.13810795997742684,1.5173116015225963,anova,0.12340905931260851,0.12308989630805121,0.12269507514105903,0.12186474270290798,0.11924976772732204,0.11871846516927083,0.1262571546766493,0.1248308817545573,0.12566227383083767,0.12262683444552952,0.000568644205729163,0.0002494812011718667,-0.00014533996582032083,-0.0009756724039713671,-0.0035906473795573046,-0.004121949937608518,0.0034167395697699554,0.0019904666476779492,0.0028218587239583204,-0.000213580661349827,0.22283846537272137,0.00033241985854391346,3.4819619217822058,anova,0.21331914265950522,0.22149742974175346,0.21372095743815103,0.22028562757703993,0.22164747450086805,0.2162712944878472,0.22470728556315103,0.23089472452799478,0.23507732815212673,0.23096338907877603,-0.00951932271321615,-0.0013410356309679072,-0.009117507934570335,-0.0025528377956814396,-0.0011909908718533146,-0.006567170884874157,0.0018688201904296653,0.008056259155273415,0.012238862779405363,0.008124923706054665,0.17155418395996094,3.105715817581926e-05,4.171054324519522,anova,0.16629748874240452,0.17053265041775173,0.1663581000434028,0.1689080132378472,0.16775470309787327,0.16824256049262154,0.1754548814561632,0.1768366495768229,0.1795374552408854,0.1756193372938368,-0.005256695217556423,-0.001021533542209213,-0.005196083916558153,-0.002646170722113733,-0.003799480862087673,-0.003311623467339403,0.0039006974962022545,0.005282465616861964,0.007983271280924464,0.004065153333875859,0.21823599073621963,0.04590814312166893,1.9261013943330807,anova,0.21363321940104166,0.21986601087782118,0.2096159193250868,0.21520826551649305,0.22251680162217882,0.21409776475694445,0.2201326158311632,0.2210566202799479,0.22416559855143228,0.2220670912000868,-0.004602771335177974,0.0016300201416015458,-0.00862007141113283,-0.003027725219726579,0.004280810885959191,-0.004138225979275184,0.001896625094943566,0.002820629543728276,0.005929607815212651,0.003831100463867171
merciless,Skin Tone,0.2587832556830512,0.20032965338799472,1.3656702634277835,anova,0.2586551242404514,0.26751624213324654,0.25497012668185765,0.2592752244737413,0.26023271348741317,0.25465477837456596,0.2608710394965278,0.2584872775607639,0.2605370415581597,0.2526329888237847,-0.00012813144259982145,0.008732986450195324,-0.0038131290011935715,0.0004919687906900783,0.0014494578043619533,-0.004128477308485257,0.0020877838134765736,-0.00029597812228732145,0.0017537858751084934,-0.006150266859266507,0.19382595486111112,0.0275148736676929,2.10306434916986,anova,0.19945865207248265,0.19928614298502603,0.19766998291015625,0.19441392686631945,0.1938137478298611,0.19187969631618923,0.19516033596462673,0.1888707478841146,0.19198905097113717,0.1857172648111979,0.0056326972113715235,0.005460188123914911,0.0038440280490451284,0.0005879720052083259,-1.2207031250016653e-05,-0.0019462585449218917,0.0013343811035156083,-0.004955206976996529,-0.0018369038899739565,-0.008108690049913214,0.2779540591769748,0.39708681395390605,1.0518573735885108,anova,0.2760993109809028,0.28007592095269096,0.2717641194661458,0.27770741780598956,0.2778489854600694,0.272697024875217,0.2773946126302083,0.27969275580512154,0.28475062052408856,0.28150982326931423,-0.0018547481960720091,0.0021218617757161606,-0.006189939710828984,-0.0002466413709852344,-0.00010507371690537948,-0.005257034301757779,-0.0005594465467664844,0.0017386966281467409,0.006796561347113761,0.0035557640923394307,0.24447686937120225,0.35080948407729096,1.1135226932317366,anova,0.24655236138237846,0.25013987223307294,0.24345567491319445,0.2448671129014757,0.24096171061197916,0.2429080539279514,0.24554867214626735,0.24348873562282985,0.2462531195746528,0.24059338039822048,0.002075492011176211,0.005663002861870686,-0.0010211944580078014,0.0003902435302734486,-0.0035151587592230915,-0.0015688154432508539,0.001071802775065106,-0.000988133748372394,0.0017762502034505412,-0.003883488972981769,0.2668519337972005,0.02572322117399932,2.1259004877162924,anova,0.2667388916015625,0.2744818793402778,0.25896623399522567,0.26361846923828125,0.2733836703830295,0.2602284749348958,0.26491377088758683,0.26732635498046875,0.27102237277560765,0.2678392198350694,-0.00011304219563801343,0.007629945543077277,-0.007885699801974844,-0.0032334645589192634,0.006531736585829007,-0.006623458862304699,-0.0019381629096136832,0.00047442118326823657,0.004170438978407132,0.0009872860378689063
faithful,Skin Tone,0.1868204328748915,7.151895344074462e-07,5.237500848918152,anova,0.19112438625759548,0.19458813137478298,0.19040934244791666,0.1892005072699653,0.19211112128363717,0.18897204928927952,0.18700069851345485,0.1800604926215278,0.18214119805230033,0.17259640163845485,0.004303953382703979,0.007767698499891479,0.0035889095730251563,0.002380074395073789,0.005290688408745664,0.002151616414388019,0.00018026563856335387,-0.006759940253363711,-0.004679234822591166,-0.014224031236436646,0.13126551310221354,1.0660436728643691e-11,8.311066698914571,anova,0.13570743136935765,0.13775592380099827,0.1405234866672092,0.13484276665581596,0.13554869757758248,0.13468572828504774,0.13254547119140625,0.12300279405381945,0.12228796217176649,0.11575486924913195,0.0044419182671441015,0.0064904106987847265,0.009257973564995664,0.0035772535536024164,0.004283184475368934,0.0034202151828341965,0.0012799580891927065,-0.008262719048394096,-0.008977550930447054,-0.015510643853081596,0.17279232872856987,9.143878516685527e-05,3.8596462979847668,anova,0.17699559529622397,0.17953957451714408,0.1819491916232639,0.1727049085828993,0.17330212063259548,0.17407925923665366,0.17193094889322916,0.16816012064615884,0.16712527804904515,0.16213628980848524,0.0042032665676541014,0.006747245788574219,0.009156862894694029,-8.742014567056366e-05,0.0005097919040256138,0.001286930508083789,-0.0008613798353407087,-0.004632208082411021,-0.005667050679524721,-0.010656038920084626,0.17974416944715713,2.511229527779542e-05,4.231948171079253,anova,0.18504418267144096,0.18643315633138022,0.1862428453233507,0.1808556450737847,0.1803258260091146,0.18238788180881077,0.17909537421332467,0.17453087700737846,0.1756871541341146,0.16683875189887154,0.005300013224283834,0.0066889868842230915,0.0064986758761935715,0.0011114756266275838,0.0005816565619574665,0.002643712361653644,-0.000648795233832461,-0.005213292439778666,-0.0040570153130425335,-0.012905417548285586,0.16866861979166667,0.00071894262687649,3.2526152408770916,anova,0.16786956787109375,0.17543241712782118,0.1672388712565104,0.17111036512586805,0.17765511406792533,0.16890928480360243,0.1661741468641493,0.16467157999674478,0.1659020317925347,0.16172281901041666,-0.0007990519205729185,0.006763797336154509,-0.001429748535156261,0.002441745334201384,0.008986494276258666,0.00024066501193575895,-0.002494472927517366,-0.003997039794921886,-0.0027665879991319586,-0.006945800781250011
loving,Skin Tone,0.22681376139322917,0.001845451316261575,2.967522052747736,anova,0.2243889702690972,0.23480987548828125,0.2278501722547743,0.23128975762261283,0.23547829522026908,0.22460556030273438,0.2243923611111111,0.22462378607855904,0.22558085123697916,0.21511798434787327,-0.002424791124131964,0.007996114095052076,0.0010364108615451284,0.004475996229383661,0.00866453382703991,-0.002208201090494799,-0.002421400282118069,-0.002189975314670134,-0.0012329101562500167,-0.011695777045355904,0.16358782450358073,5.26285406284143e-07,5.3232515935386235,anova,0.1633970472547743,0.16925218370225695,0.1682349310980903,0.16803359985351562,0.17242219712999132,0.16406419542100695,0.16336144341362846,0.15732192993164062,0.1586693657769097,0.15112135145399305,-0.000190777248806423,0.005664359198676222,0.004647106594509565,0.0044457753499348995,0.008834372626410597,0.00047637091742622206,-0.00022638108995226558,-0.0062658945719401005,-0.004918458726671016,-0.012466473049587673,0.23933453030056423,9.486992989202088e-10,7.073818896613529,anova,0.2398774888780382,0.24946085611979166,0.2487360636393229,0.24770355224609375,0.24899376763237846,0.23800277709960938,0.2329898410373264,0.2319725884331597,0.23207007514105904,0.22353829277886283,0.0005429585774739676,0.010126325819227427,0.009401533338758677,0.00836902194552952,0.00965923733181423,-0.001331753200954855,-0.006344689263237835,-0.00736194186740452,-0.00726445515950519,-0.015796237521701395,0.2263292948404948,0.018439890939768784,2.237509675400165,anova,0.22115876939561632,0.2332000732421875,0.22322379218207467,0.2302788628472222,0.23212051391601562,0.22539859347873265,0.22285376654730904,0.2264980740017361,0.22961934407552084,0.21894115871853298,-0.0051705254448784765,0.006870778401692701,-0.003105502658420134,0.003949568006727411,0.005791219075520826,-0.000930701361762154,-0.003475528293185759,0.00016877916124130588,0.0032900492350260435,-0.007388136121961819,0.19238607618543838,1.1814801741103132e-05,4.447053199770805,anova,0.19002999199761283,0.20035934448242188,0.18690787421332467,0.19598685370551217,0.20728090074327257,0.1888919406467014,0.18679597642686632,0.18817308213975695,0.19279946221245658,0.18663533528645834,-0.002356084187825541,0.007973268296983499,-0.005478201972113711,0.003600777520073789,0.014894824557834196,-0.003494135538736981,-0.0055900997585720535,-0.0042129940456814285,0.0004133860270182088,-0.0057507408989800335
sincere,Skin Tone,0.2152001698811849,2.0019144042299876e-14,10.04713248994116,anova,0.2160186767578125,0.22695414225260416,0.22166527642144096,0.22173987494574654,0.22447331746419272,0.21581395467122397,0.21238496568467882,0.2083926730685764,0.20740254720052084,0.1971562703450521,0.0008185068766276005,0.011753972371419258,0.00646510654025606,0.006539705064561641,0.009273147583007818,0.000613784790039068,-0.002815204196506077,-0.0068074968126085045,-0.007797622680664057,-0.018043899536132807,0.1666731940375434,2.034846471418451e-18,12.621136515783054,anova,0.16700956556532118,0.1764161851671007,0.17031224568684897,0.1758609347873264,0.17823961046006945,0.1680848863389757,0.1634334988064236,0.15872277153862846,0.15853966606987846,0.1501125759548611,0.0003363715277777679,0.009742991129557288,0.003639051649305558,0.009187740749782985,0.011566416422526038,0.001411692301432288,-0.0032396952311198046,-0.00795042249891495,-0.00813352796766495,-0.016560618082682305,0.23379940456814235,1.3544630945521954e-08,6.339811277187222,anova,0.23090998331705728,0.24314795600043404,0.23735682169596353,0.2438837687174479,0.2448705037434896,0.2348234388563368,0.2280341254340278,0.22837066650390625,0.22734493679470485,0.21925184461805555,-0.0028894212510850725,0.009348551432291685,0.0035574171278211775,0.010084364149305552,0.011071099175347238,0.0010240342881944475,-0.005765279134114565,-0.005428738064236105,-0.0064544677734375,-0.014547559950086802,0.21564818488226997,1.0220601455038531e-08,6.417708654262653,anova,0.21079126993815103,0.22356414794921875,0.21777513292100695,0.2235471937391493,0.22408930460611978,0.2169104682074653,0.21095445421006945,0.2133356730143229,0.21352640787760416,0.20198779635959202,-0.00485691494411894,0.007915963066948778,0.0021269480387369755,0.00789900885687933,0.00844111972384981,0.001262283325195318,-0.0046937306722005245,-0.0023125118679470646,-0.0021217770046658146,-0.013660388522677952,0.18062180413140191,0.00028467433812413785,3.527718056270698,anova,0.1771884494357639,0.18697569105360243,0.17497762044270834,0.18349329630533853,0.1911409166124132,0.17845789591471353,0.1764763726128472,0.17954635620117188,0.18145921495225695,0.17650222778320312,-0.003433354695638019,0.006353886922200513,-0.0056441836886935715,0.0028714921739366184,0.010519112481011283,-0.0021639082166883816,-0.004145431518554704,-0.001075447930230039,0.0008374108208550335,-0.004119576348198789
manipulative,Skin Tone,0.23946634928385416,0.0024624800392936564,2.87900720877901,anova,0.2301152547200521,0.24338870578342015,0.22917980617947048,0.23731443617078993,0.23805999755859375,0.23428726196289062,0.24275419447157118,0.24871359931098092,0.2522243923611111,0.23862584431966147,-0.009351094563802065,0.003922356499565988,-0.010286543104383677,-0.00215191311306423,-0.0014063517252604074,-0.005179087320963532,0.00328784518771702,0.009247250027126758,0.012758043077256948,-0.0008405049641926898,0.1873199250962999,0.07991853877208706,1.7262443713650488,anova,0.1883087158203125,0.1896209716796875,0.18281851874457467,0.1851721869574653,0.18423080444335938,0.1821269989013672,0.1890903049045139,0.19167200724283853,0.19406043158637154,0.18609831068250868,0.0009887907240125893,0.0023010465833875893,-0.004501406351725246,-0.0021477381388346206,-0.0030891206529405357,-0.005192926194932723,0.0017703798082139843,0.004352082146538622,0.006740506490071629,-0.0012216144137912333,0.2561773512098524,5.992758926632938e-08,5.927926546510761,anova,0.2470703125,0.2540944417317708,0.2388822767469618,0.2522413465711806,0.2547492980957031,0.24981774224175346,0.2559017605251736,0.2676425509982639,0.27253129747178817,0.2688424852159288,-0.00910703870985241,-0.002082909478081596,-0.01729507446289061,-0.003936004638671831,-0.0014280531141492858,-0.006359608968098951,-0.0002755906846788059,0.011465199788411484,0.01635394626193576,0.012665134006076384,0.23804490831163194,7.99776262518499e-09,6.485426017455862,anova,0.23205439249674478,0.2376073201497396,0.22671890258789062,0.23340988159179688,0.22922812567816842,0.23277113172743055,0.24185646904839408,0.24964480929904515,0.25369008382161456,0.24346796671549478,-0.0059905158148871596,-0.0004375881618923494,-0.011326005723741317,-0.004635026719835067,-0.008816782633463527,-0.0052737765842013895,0.003811560736762143,0.011599900987413203,0.015645175509982623,0.0054230584038628404,0.29330113728841145,0.0025196518078007438,2.8719343340782864,anova,0.2878451877170139,0.2987128363715278,0.27763112386067706,0.2907833523220486,0.29939354790581596,0.28720516628689235,0.2917073567708333,0.2997487386067708,0.3037906222873264,0.2961934407552083,-0.005455949571397556,0.005411699083116339,-0.015670013427734386,-0.002517784966362846,0.006092410617404509,-0.006095971001519096,-0.001593780517578136,0.006447601318359364,0.010489484998914944,0.002892303466796864
prejudiced,Skin Tone,0.2197583940294054,0.3002328023523765,1.1873985724009821,anova,0.2159084743923611,0.22504213121202257,0.21697998046875,0.2176581488715278,0.21996688842773438,0.21348275078667533,0.22196070353190103,0.22294701470269096,0.22554397583007812,0.2180938720703125,-0.0038499196370442856,0.005283737182617182,-0.0027784135606553906,-0.0021002451578776005,0.00020849439832898442,-0.006275643242730056,0.002202309502495642,0.0031886206732855693,0.005785581800672734,-0.0016645219590928906,0.17910232543945312,0.27845864693803524,1.2219218569387404,anova,0.17932425604926217,0.18297915988498265,0.17772928873697916,0.17993333604600695,0.18003230624728733,0.17417208353678384,0.18130366007486978,0.17939122517903647,0.18261210123697916,0.17354583740234375,0.00022193060980904566,0.0038768344455295256,-0.001373036702473962,0.0008310106065538281,0.0009299808078342131,-0.0049302419026692745,0.002201334635416663,0.00028889973958334814,0.003509775797526038,-0.0055564880371093694,0.26120389302571617,0.018590592737321613,2.2347982518533445,anova,0.2529669867621528,0.2638566758897569,0.25285085042317706,0.2612711588541667,0.2645704481336806,0.2545301649305556,0.259604983859592,0.26593950059678817,0.27197816636827254,0.2644699944390191,-0.008236906263563382,0.002652782864040748,-0.008353042602539107,6.726582845051343e-05,0.0033665551079644085,-0.0066737280951605915,-0.0015989091661241517,0.004735607571071998,0.010774273342556373,0.003266101413302913,0.22502911885579427,0.0006154041704200702,3.2991033897256545,anova,0.2173038058810764,0.2277247111002604,0.21553548177083334,0.22397486368815103,0.22493701510959202,0.21882502237955728,0.22602929009331596,0.2313876681857639,0.2361017862955729,0.22847154405381945,-0.007725312974717874,0.0026955922444661384,-0.009493637084960926,-0.0010542551676432366,-9.210374620224893e-05,-0.006204096476236987,0.001000171237521691,0.006358549329969626,0.011072667439778638,0.0034424251980251785,0.2551529354519314,0.00023787295075502015,3.580557082671546,anova,0.24797863430447048,0.25622304280598956,0.24133385552300346,0.25206968519422746,0.2597232394748264,0.24939049614800346,0.25569407145182294,0.26309967041015625,0.2659166124131944,0.2601000467936198,-0.007174301147460926,0.0010701073540581585,-0.013819079928927946,-0.003083250257703951,0.004570304022894989,-0.0057624393039279465,0.0005411359998915288,0.007946734958224844,0.010763676961263013,0.004947111341688404
