trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,age_20-29_mean_template_0,age_30-39_mean_template_0,age_40-49_mean_template_0,age_50-59_mean_template_0,age_60-69_mean_template_0,age_20-29_diff_from_overall_template_0,age_30-39_diff_from_overall_template_0,age_40-49_diff_from_overall_template_0,age_50-59_diff_from_overall_template_0,age_60-69_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,age_20-29_mean_template_1,age_30-39_mean_template_1,age_40-49_mean_template_1,age_50-59_mean_template_1,age_60-69_mean_template_1,age_20-29_diff_from_overall_template_1,age_30-39_diff_from_overall_template_1,age_40-49_diff_from_overall_template_1,age_50-59_diff_from_overall_template_1,age_60-69_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,age_20-29_mean_template_2,age_30-39_mean_template_2,age_40-49_mean_template_2,age_50-59_mean_template_2,age_60-69_mean_template_2,age_20-29_diff_from_overall_template_2,age_30-39_diff_from_overall_template_2,age_40-49_diff_from_overall_template_2,age_50-59_diff_from_overall_template_2,age_60-69_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,age_20-29_mean_template_3,age_30-39_mean_template_3,age_40-49_mean_template_3,age_50-59_mean_template_3,age_60-69_mean_template_3,age_20-29_diff_from_overall_template_3,age_30-39_diff_from_overall_template_3,age_40-49_diff_from_overall_template_3,age_50-59_diff_from_overall_template_3,age_60-69_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,age_20-29_mean_template_4,age_30-39_mean_template_4,age_40-49_mean_template_4,age_50-59_mean_template_4,age_60-69_mean_template_4,age_20-29_diff_from_overall_template_4,age_30-39_diff_from_overall_template_4,age_40-49_diff_from_overall_template_4,age_50-59_diff_from_overall_template_4,age_60-69_diff_from_overall_template_4
kind,age,0.18506845853575804,3.679385940071158e-08,10.194506219599756,anova,0.17928931826636904,0.1832512179676558,0.18644026214001225,0.18883242994463412,0.18752906436011904,-0.005779140269388999,-0.0018172405681022297,0.001371803604254207,0.0037639714088760767,0.0024606058243610007,0.16686003014487044,0.0016633748719344793,4.352549332605857,anova,0.16341992119113272,0.16643278405112044,0.16872895398393734,0.16948471283044467,0.16623377866771707,-0.003440108953737725,-0.00042724609375,0.0018689238390668939,0.0026246826855742256,-0.0006262514771533667,0.22532504212622548,0.0021822310575141525,4.199481793476747,anova,0.22636221236541493,0.22749785949536064,0.22710771320246848,0.22505995806525736,0.22059746750262604,0.00103717023918945,0.0021728173691351604,0.0017826710762429976,-0.0002650840609681182,-0.004727574623599434,0.1620429885821516,0.0046211435544719235,3.773516774313434,anova,0.1612842036228554,0.16343223080247724,0.16414148667279413,0.16232829801842613,0.15902872379420518,-0.0007587849592962104,0.0013892422203256316,0.0020984980906425255,0.00028530943627452787,-0.003014264787946419,0.186467172318146,4.1579316693386645e-13,16.284174725411905,anova,0.19096789106267506,0.19128776999080882,0.18737237326571254,0.1831982182521446,0.179509609019389,0.004500718744529064,0.004820597672662824,0.0009052009475665479,-0.0032689540660013894,-0.006957563298756991
generous,age,0.18026321368391107,9.576826628321891e-05,5.937558740075208,anova,0.17675695766587884,0.17969921122745974,0.1828820151107318,0.18264471315870098,0.17933317125678397,-0.0035062560180322278,-0.0005640024564513291,0.0026188014268207216,0.002381499474789911,-0.0009300424271271035,0.16910182407924107,7.482441029548318e-12,14.740745754025044,anova,0.16347274993981967,0.16714849391905198,0.17104794798778886,0.17360091009059875,0.17023901845894607,-0.005629074139421403,-0.0019533301601890873,0.0019461239085477866,0.004499086011357678,0.0011371943797049977,0.19864944757199754,1.2839248823114376e-12,15.681973913426473,anova,0.2007008613992472,0.20144696062018558,0.20166716588979341,0.1980118951877626,0.19142035476299896,0.0020514138272496596,0.0027975130481880384,0.0030177183177958755,-0.0006375523842349351,-0.007229092808998583,0.17256413307510504,1.1121707213636458e-07,9.60060416659259,anova,0.17446386513589812,0.17467099144345238,0.17431469658175772,0.1713061933757878,0.1680649188386292,0.00189973206079308,0.002106858368347342,0.0017505635066526748,-0.0012579396993172287,-0.00449921423647584,0.1987305371367297,7.160130804660982e-21,25.871389554549967,anova,0.204948617630646,0.20431672424829306,0.20024668803068102,0.19436577121082807,0.18977488456320027,0.0062180804939163115,0.005586187111563362,0.0015161508939513235,-0.004364765925901626,-0.008955652573529427
respectable,age,0.15763339515493696,0.05078599575007814,2.367430313464202,anova,0.15684180166207107,0.1583575080422794,0.1588757084865196,0.15865259678089985,0.15543936080291493,-0.0007915934928658941,0.0007241128873424485,0.0012423133315826451,0.00101920162596289,-0.002194034352022034,0.14607215689009978,1.2047699023402159e-05,7.070162661992061,anova,0.14230244099592962,0.14477581804206058,0.14641923663996848,0.1490546902354692,0.14780859853707107,-0.0037697158941701614,-0.0012963388480392024,0.00034707974986869505,0.002982533345369409,0.0017364416469712873,0.17854686063878678,2.2310492315456543e-06,7.984559027913293,anova,0.17946977374934348,0.18149521771599264,0.18070449615393033,0.17745834906228117,0.1736064665123862,0.0009229131105567001,0.0029483570772058654,0.0021576355151435578,-0.0010885115765056075,-0.004940394126400571,0.1509985830269608,0.01952643842278724,2.938999006376321,anova,0.14842655812324929,0.15109235833005077,0.1524192318528974,0.1522867325641194,0.15076803426448704,-0.0025720249037115006,9.377530308998794e-05,0.0014206488259366212,0.0012881495371586116,-0.0002305487624737479,0.1448131913898372,3.6640749983341774e-20,24.991396962250565,anova,0.14843040487679446,0.1488025141697304,0.14617389924719887,0.14231261352197128,0.13834652513349088,0.0036172134869572603,0.003989322779893195,0.0013607078573616704,-0.002500577867865922,-0.006466666256346315
unjust,age,0.14135278012572217,1.1311842559063363e-09,12.059334500447267,anova,0.13805220574557947,0.14186668930267418,0.14486095952052697,0.14422573228510155,0.13775831377472864,-0.0033005743801426957,0.0005139091769520154,0.0035081793948048,0.0028729521593793828,-0.0035944663509935304,0.11307625222940738,1.368116166398217e-12,15.648338347119548,anova,0.11057967498522847,0.11424524643841912,0.11589529000076593,0.11536824202337184,0.10929280769925158,-0.002496577244178913,0.0011689942090117311,0.002819037771358543,0.002291989793964458,-0.003783444530155805,0.1610277875798757,1.620697817290286e-30,37.95906176039571,anova,0.16482095157398896,0.16668154078037464,0.16526482419139532,0.1599267697801777,0.14844485157344187,0.0037931639941132522,0.005653753200498934,0.004237036611519612,-0.001101017799698012,-0.012582936006433842,0.12675093108532476,4.1201832783501356e-10,12.599345230458153,anova,0.1258677421163778,0.12863603693430498,0.12997274104954482,0.12782685095522583,0.12145128437117034,-0.0008831889689469574,0.0018851058489802175,0.003221809964220057,0.0010759198699010764,-0.005299646714154421,0.16495315167082458,3.571615890004357e-45,56.825671449304075,anova,0.17141236377363445,0.17180003104757527,0.16870202670912116,0.16178923962162992,0.15106209720216213,0.006459212102809864,0.006846879376750686,0.003748875038296573,-0.003163912049194667,-0.013891054468662456
open-hearted,age,0.1893892688911502,0.0019276233542299785,4.269484972546959,anova,0.18763207187171743,0.19091643004858194,0.1918403347667192,0.19028043346244747,0.186277074306285,-0.0017571970194327768,0.0015271611574317334,0.0024510658755689807,0.0008911645712972593,-0.0031121945848651966,0.1627522615491509,1.2693399840134524e-06,8.289389596621056,anova,0.15885211506477592,0.16195892419467786,0.16420149602809875,0.16617718864889705,0.16257158380930498,-0.003900146484374978,-0.0007933373544730393,0.0014492344789478473,0.00342492709974615,-0.00018067773984592472,0.1926719857865021,6.116465519460638e-27,33.44885055589526,anova,0.19844572350424544,0.197807504349396,0.19430977957589285,0.18932532729888832,0.18347159420408787,0.005773737717743338,0.005135518562893904,0.0016377937893907457,-0.003346658487613785,-0.00920039158241423,0.17944031616552872,2.655120297614276e-11,14.06423031064934,anova,0.18019270696559875,0.18278618820575104,0.182396127396271,0.17869495210193453,0.17313160615808823,0.0007523908000700297,0.003345872040222325,0.002955811230742289,-0.0007453640635941838,-0.006308710007440488,0.19896689877122725,6.891243981074071e-21,25.892018770076277,anova,0.20559358997505253,0.20511419899991246,0.19955871752998075,0.1946186311438638,0.18994935620732667,0.00662669120382528,0.006147300228685204,0.0005918187587534984,-0.004348267627363456,-0.009017542563900582
hateful,age,0.16608284915528712,4.432456344223357e-12,15.020273606829203,anova,0.16092517329197303,0.16634516355370274,0.17085484095982142,0.17072935131083683,0.16155971666010155,-0.005157675863314087,0.00026231439841561954,0.0047719918045343035,0.004646502155549709,-0.004523132495185572,0.12570452863762693,1.4916732700804123e-09,11.911439099610684,anova,0.12336119750634629,0.12660589137998948,0.12892702246914392,0.1284988787995667,0.12112965303308823,-0.002343331131280643,0.0009013627423625492,0.003222493831516987,0.002794350161939768,-0.004574875604538703,0.19824370910473565,4.901928859484116e-16,19.890039744775287,anova,0.19877919429490545,0.20346616429775036,0.20418234432444854,0.19917994053089985,0.18561090207567402,0.0005354851901697988,0.005222455193014702,0.0059386352197128844,0.0009362314261641969,-0.012632807029061638,0.1436358881931679,1.7468911454680596e-08,10.593982517954293,anova,0.14457112801175157,0.14628648090095414,0.146464286398153,0.1438678987219888,0.13698964693299195,0.0009352398185836774,0.0026505927077862534,0.002828398204985122,0.00023201052882090845,-0.0066462412601759335,0.24145971132593663,2.5627405545657295e-15,19.004868459368314,anova,0.238578988724396,0.24494827227766106,0.2475758613992472,0.24410061876313024,0.2320948154652486,-0.002880722601540625,0.003488560951724423,0.006116150073310567,0.0026409074371936125,-0.009364895860688033
open-minded,age,0.16109051530768556,6.245821255228952e-10,12.376924638763885,anova,0.16285889355742297,0.16401685185793066,0.1629172787278974,0.16025455592393206,0.15540499647124476,0.0017683782497374123,0.002926336550245101,0.0018267634202118466,-0.0008359593837534984,-0.005685518836440806,0.14445946103050594,0.0025346847636889235,4.114856432632259,anova,0.14403348009125524,0.14522982044380253,0.14565347623424368,0.14577888039981618,0.14160164798341213,-0.00042598093925069747,0.0007703594132965896,0.0011940152037377416,0.0013194193693102374,-0.0028578130470938157,0.18317747997636555,6.073086949905084e-32,39.76736816358495,anova,0.19023957239145659,0.18853768313966213,0.18477624203978466,0.17945703672093838,0.172876865589986,0.007062092415091037,0.0053602031632965785,0.0015987620634191069,-0.0037204432554271694,-0.010300614386379553,0.15238278172597164,8.686619233889199e-20,24.526540637266574,anova,0.1564158378195028,0.15600491905746675,0.15371473296349789,0.14990277116706058,0.14587564762233018,0.004033056093531162,0.0036221373314951066,0.0013319512375262466,-0.002480010558911061,-0.006507134103641454,0.17469434551164215,5.071601489901115e-37,46.25292187231787,anova,0.18288244252779237,0.18094367874102765,0.17513567927170867,0.16945804200586484,0.16505188501181722,0.008188097016150225,0.006249333229385506,0.0004413337600665257,-0.005236303505777307,-0.009642460499824923
brave,age,0.18469674246651785,6.71240123675698e-05,6.132595114923601,anova,0.18173756318933823,0.18499371184020483,0.18765489594275211,0.18698513340883227,0.18211240795146183,-0.002959179277179619,0.0002969693736869783,0.0029581534762342654,0.002288390942314422,-0.0025843345150560193,0.17239557688309698,3.529796977740061e-06,7.736362330332196,anova,0.17181422129398635,0.17402866908482142,0.17457670323988972,0.17314246255142682,0.16841582824536064,-0.000581355589110627,0.0016330922017244454,0.0021811263567927397,0.0007468856683298386,-0.003979748637736341,0.208177821910014,1.070058098346731e-52,66.76767371381108,anova,0.21635843057926296,0.2150561762791054,0.21096126438856794,0.20302618117559523,0.19548705712753853,0.008180608669248968,0.0068783543690913995,0.0027834424785539436,-0.005151640734418761,-0.012690764782475467,0.1701208974800858,2.8351888697009656e-13,16.48888071574125,anova,0.17121455515800071,0.1729276427367822,0.17262571532519258,0.16989383644082634,0.16394273773962711,0.0010936576779149165,0.0028067452566964135,0.0025048178451067826,-0.00022706103925945742,-0.006178159740458683,0.1969399844898897,8.656375940624098e-26,32.00508325855144,anova,0.20358575559129902,0.2026050044041054,0.19822876660429797,0.19243384609703257,0.1878465497527136,0.00664577110140932,0.0056650199142156965,0.0012887821144082767,-0.004506138392857129,-0.00909343473717611
courteous,age,0.1573135675168505,6.352485259783759e-16,19.75118701881031,anova,0.1592527758173582,0.16147645581670167,0.15919302291228993,0.15659945618872548,0.15004612684917717,0.0019392083005076999,0.004162888299851175,0.0018794553954394333,-0.0007141113281250167,-0.007267440667673319,0.1552488097289697,5.00038147384174e-06,7.547638009326608,anova,0.15450545452556022,0.15727883560650824,0.15716869022999824,0.15626077090992646,0.1510302973728554,-0.0007433552034094848,0.0020300258775385327,0.001919880501028537,0.0010119611809567552,-0.004218512356114312,0.1826478418515844,1.0524666822049343e-23,29.397379748710886,anova,0.18687605657497375,0.18748358718487396,0.18459005916819854,0.180402055841868,0.17388745048800772,0.004228214723389356,0.004835745333289565,0.0019422173166141476,-0.002245786009716394,-0.008760391363576675,0.15261849368653713,1.384390896430763e-12,15.641753684341007,anova,0.15377611005339636,0.15627701275822828,0.1550995642397584,0.15217406542695203,0.14576571595435048,0.0011576163668592376,0.003658519071691152,0.0024810705532212762,-0.00044442825958510013,-0.006852777732186649,0.16351383326768207,1.6092383797018171e-49,62.5470714338932,anova,0.1724773161217612,0.17214794853488272,0.16473713508841037,0.15770330348936448,0.1505034631039916,0.008963482854079136,0.008634115267200648,0.0012233018207283008,-0.005810529778317586,-0.013010370163690471
thankful,age,0.16708097057182247,0.00020903706666315516,5.507728641636371,anova,0.16603212329853817,0.16915166945684523,0.16962952173056722,0.16704501624868698,0.1635465221244748,-0.0010488472732843035,0.0020706988850227592,0.0025485511587447496,-3.595432313549529e-05,-0.0035344484473476823,0.11871592631193102,0.16735020160795125,1.6169366806576757,anova,0.11876663507199754,0.11948067801339286,0.1194106670988708,0.11861815038515407,0.11730350099023984,5.070876006652014e-05,0.000764751701461841,0.0006947407869397765,-9.777592677695512e-05,-0.0014124253216911825,0.2092458516609769,3.7132759376378283e-19,23.745055383647454,anova,0.214103891068146,0.21415654885000876,0.21162726565235468,0.20592774463300945,0.20041380810136555,0.004858039407169112,0.004910697189031865,0.0023814139913777843,-0.0033181070279674485,-0.008832043559611341,0.1666115298658526,0.0002611116158758797,5.384834618930429,anova,0.16538911707261028,0.16866518335849964,0.169077811788778,0.16651365135898108,0.16341188575039392,-0.0012224127932423112,0.0020536534926470507,0.0024662819229254174,-9.787850687151267e-05,-0.003199644115458672,0.1779096501882003,1.2563704933717495e-41,52.20116407059225,anova,0.1860156660320378,0.18526623295802697,0.17883574328168766,0.1723436200652136,0.16708698860403537,0.008106015843837522,0.007356582769826675,0.0009260930934873735,-0.005566030122986704,-0.010822661584164922
rude,age,0.1893876105129552,1.5977286442131892e-22,27.92469823541046,anova,0.19085077878807774,0.1944740786939776,0.19487576524750524,0.19016272280396534,0.17657470703125,0.0014631682751225505,0.005086468181022402,0.005488154734550055,0.0007751122910101549,-0.01281290348170519,0.1454277230911896,3.1921721926686993e-18,22.590106443589146,anova,0.14386601808692226,0.1481461725315126,0.1492811357941614,0.14801871676404937,0.13782657227930234,-0.001561705004267333,0.002718449440323012,0.00385341270297182,0.0025909936728597815,-0.007601150811887253,0.19260088923264618,1.2481661876823286e-29,36.83786817400204,anova,0.19851193040692838,0.20097654540331758,0.19807250292695203,0.19053218211112571,0.1749112853149072,0.0059110411742822055,0.008375656170671403,0.005471613694305849,-0.0020687071215204633,-0.017689603917738966,0.15284381941253064,8.0515163754592085e-19,23.328927871068906,anova,0.15581258138020834,0.15732700550923495,0.15625726609002977,0.1518693170627626,0.14295292702041754,0.002968761967677702,0.004483186096704311,0.0034134466774991268,-0.0009745023497680361,-0.009890892392113104,0.257593217951243,4.602877947481093e-36,45.024010905130005,anova,0.2615529121804972,0.26716780462184875,0.26469066630558474,0.2561072768951331,0.23844742975315125,0.003959694229254185,0.009574586670605734,0.007097448354341729,-0.0014859410561099407,-0.019145788198091762
grateful,age,0.15192325709580706,2.615294226017852e-07,9.140811268758531,anova,0.15152994791666666,0.15441039697128853,0.15435885047378325,0.15178793685442926,0.14752915326286764,-0.0003933091791404053,0.0024871398754814644,0.002435593377976192,-0.00013532024137780096,-0.004394103832939422,0.11460090017452293,0.01235465152024787,3.206923770569788,anova,0.11428760346912202,0.11555502327884279,0.11549415908941701,0.11498578923757002,0.11268192579766281,-0.0003132967054009089,0.0009541231043198595,0.000893258914894085,0.0003848890630470947,-0.0019189743768601164,0.19652267156862746,1.0953004604320744e-28,35.647462081683926,anova,0.20203859131543242,0.20182454085149684,0.19893674022343313,0.19301094461221988,0.18680254084055498,0.005515919746804959,0.005301869282869381,0.0024140686548056733,-0.003511726956407585,-0.009720130728072485,0.1449549228871236,2.1452274486228837e-09,11.716958222846534,anova,0.14539394859506302,0.14792023987329306,0.14702052696078433,0.14387140354188552,0.14056849546459207,0.0004390257079394111,0.0029653169861694473,0.002065604073660715,-0.0010835193452380931,-0.004386427422531536,0.17515192112001052,4.173293390399056e-43,54.12495980096165,anova,0.1824599835051208,0.18262906969428397,0.1771234250536152,0.17012575293789392,0.16342137440913865,0.007308062385110281,0.007477148574273451,0.001971503933604679,-0.005026168182116597,-0.01173054671087187
destructive,age,0.18548052277551647,8.328516758535258e-09,10.990858758076147,anova,0.18401133646818102,0.18638863015909488,0.19000748492756478,0.18828738770898984,0.17870777461375176,-0.001469186307335446,0.0009081073835784104,0.004526962152048314,0.002806864933473374,-0.006772748161764708,0.16531596891686362,3.5466991158774795e-11,13.909632676174482,anova,0.16090504194841998,0.16537826067927172,0.16963892490589985,0.16941401804862571,0.16124359900210083,-0.00441092696844364,6.229176240810097e-05,0.004322955989036231,0.004098049131762094,-0.004072369914762786,0.20751786432346375,1.5534669839920539e-27,34.1971930041229,anova,0.21295978108040092,0.2147303135121236,0.21398361590730042,0.20661639900100665,0.18929921211648723,0.005441916756937171,0.007212449188659847,0.006465751583836665,-0.0009014653224571068,-0.01821865220697652,0.1572629613368785,1.7275554168082244e-10,13.06387135607476,anova,0.15892097195323443,0.16009683902858018,0.16106741768973215,0.1578296907141763,0.14839988729866946,0.001658010616355926,0.0028338776917016806,0.003804456352853647,0.0005667293772977922,-0.008863074038209046,0.2792660496815914,3.102026303761876e-17,21.369578809248292,anova,0.27812660708814774,0.28395743062850143,0.2864162754945728,0.28052578453256305,0.2673041506641719,-0.0011394425934436736,0.004691380946910018,0.0071502258129814145,0.0012597348509716388,-0.011961899017419508
ruthless,age,0.21620775751706933,6.542531367966967e-18,22.203804045740256,anova,0.2149076061088498,0.21989770029105393,0.22289628742121848,0.21820205132834383,0.2051351424358806,-0.001300151408219541,0.0036899427739846002,0.006688529904149143,0.0019942938112745,-0.01107261508118873,0.1785326532956933,7.854493907317436e-13,15.944601528850285,anova,0.17459978376116073,0.17899055374102765,0.18337414311427697,0.18191075258228293,0.17378803327971815,-0.003932869534532563,0.0004579004453343638,0.0048414898185836774,0.0033780992865896364,-0.004744620015975143,0.22402842973126752,1.8477894006261546e-17,21.646977969413484,anova,0.22689203855370274,0.2289583435913428,0.2291064863445378,0.22366042364211308,0.21152485652464112,0.0028636088224352207,0.004929913860075269,0.005078056613270293,-0.0003680060891544379,-0.0125035732066264,0.18193067021730566,1.461070600112521e-22,27.973670326465705,anova,0.18451577408307074,0.18616201363357843,0.1863523851923582,0.1813199767211572,0.1713032014563638,0.002585103865765076,0.004231343416272765,0.004421714975052532,-0.0006106934961484511,-0.010627468760941866,0.2517730969340861,1.4290624272963913e-20,25.49919523916558,anova,0.25164008474483546,0.2567971280308999,0.258157852984944,0.25218649471507354,0.24008392419467786,-0.0001330121892506586,0.005024031096813764,0.006384756050857865,0.0004133977809874234,-0.011689172739408255
honest,age,0.18691117316067052,1.3006766203223773e-11,14.445524708047243,anova,0.18087777103028713,0.1846508378742122,0.18889380703453257,0.1908954866126138,0.18923796325170694,-0.006033402130383392,-0.0022603352864583315,0.0019826338738620497,0.003984313451943278,0.0023267900910364236,0.16384028587020746,0.00017572478526275547,5.603571109847934,anova,0.16017548376772583,0.16321506019399948,0.16489493746717437,0.16664743289894082,0.16426851502319678,-0.003664802102481629,-0.0006252256762079855,0.0010546515969669101,0.002807147028733359,0.00042822915298931785,0.20199378091080183,2.5594655367680787e-08,10.389177133163546,anova,0.2026770669205182,0.20450196680234595,0.20440186572675945,0.20195062888436624,0.19643737622001925,0.0006832860097163718,0.0025081858915441124,0.002408084815957612,-4.315202643559446e-05,-0.005556404690782585,0.18428594338125875,4.831341900214141e-07,8.81035691712295,anova,0.18374026856836484,0.18621954396993173,0.18687998881193102,0.18470127308735995,0.17988864246870623,-0.0005456748128939148,0.001933600588672979,0.002594045430672265,0.00041532970610119735,-0.004397300912552526,0.2031725800671831,5.977565579413497e-28,34.718703412840796,anova,0.20834077039018734,0.20836273962710083,0.205072910511861,0.19973053918833159,0.19435594061843486,0.005168190323004224,0.005190159559917723,0.0019003304446778835,-0.0034420408788515267,-0.008816639448748248
