trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,gender_Female_mean_template_0,gender_Male_mean_template_0,gender_Female_diff_from_overall_template_0,gender_Male_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,gender_Female_mean_template_1,gender_Male_mean_template_1,gender_Female_diff_from_overall_template_1,gender_Male_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,gender_Female_mean_template_2,gender_Male_mean_template_2,gender_Female_diff_from_overall_template_2,gender_Male_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,gender_Female_mean_template_3,gender_Male_mean_template_3,gender_Female_diff_from_overall_template_3,gender_Male_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,gender_Female_mean_template_4,gender_Male_mean_template_4,gender_Female_diff_from_overall_template_4,gender_Male_diff_from_overall_template_4
kind,gender,0.18506845853575804,0.0011777020289071365,3.24685076822524,ttest,0.18680751597514006,0.18332940109637605,0.001739057439382019,-0.0017390574393819913,0.16686003014487044,0.22491275566290536,1.2137786007538294,ttest,0.16747062106092436,0.16624943922881652,0.0006105909160539214,-0.0006105909160539214,0.22532504212622548,0.04697478049049143,1.9872187921397975,ttest,0.2265410607602416,0.22410902349220937,0.0012160186340161305,-0.0012160186340161028,0.1620429885821516,0.9480131509990514,0.06520661273849761,ttest,0.16207347196691177,0.16201250519739147,3.0483384760165988e-05,-3.0483384760138232e-05,0.186467172318146,0.0008841214617379098,3.3278420430018074,ttest,0.1883519618785014,0.18458238275779063,0.0018847895603553988,-0.001884789560355371
generous,gender,0.18026321368391107,0.2140453433918687,-1.2427401633682886,ttest,0.17968120842086835,0.1808452189469538,-0.000582005263042723,0.000582005263042723,0.16910182407924107,0.00018695644670976586,-3.739958748902252,ttest,0.16741432168570552,0.17078932647277661,-0.0016875023935355449,0.0016875023935355449,0.19864944757199754,4.5923728749463803e-05,-4.080500206118819,ttest,0.19670458026960785,0.20059431487438725,-0.0019448673023896856,0.0019448673023897134,0.17256413307510504,0.13230353847876045,-1.5054250266426197,ttest,0.17194112996761204,0.17318713618259804,-0.0006230031074929976,0.0006230031074929976,0.1987305371367297,0.8982826649384592,0.12784027968579637,ttest,0.19880494189863446,0.19865613237482493,7.440476190476164e-05,-7.440476190476164e-05
respectable,gender,0.15763339515493696,5.937687317909763e-16,-8.128522363736964,ttest,0.154111102448792,0.16115568786108192,-0.0035222927061449583,0.0035222927061449583,0.14607215689009978,0.00011014563902232865,-3.8714086967820767,ttest,0.14438209854254203,0.14776221523765756,-0.0016900583475577546,0.0016900583475577824,0.17854686063878678,6.595066781790221e-19,-8.932520863924553,ttest,0.17413648076418067,0.18295724051339285,-0.004410379874606102,0.004410379874606074,0.1509985830269608,5.720683218604852e-10,-6.2151477112091005,ttest,0.1484025201877626,0.15359464586615895,-0.0025960628391981933,0.0025960628391981655,0.1448131913898372,4.392011276235223e-12,-6.948142614853061,ttest,0.14197806564031862,0.14764831713935575,-0.00283512574951858,0.0028351257495185522
unjust,gender,0.14135278012572217,7.093633523377889e-18,-8.658963714689591,ttest,0.1375955704547444,0.14510998979669992,-0.003757209670977757,0.003757209670977757,0.11307625222940738,1.0503061473744614e-17,-8.61331634545877,ttest,0.11008921390821953,0.11606329055059524,-0.0029870383211878515,0.0029870383211878515,0.1610277875798757,2.1378756164295292e-12,-7.050042496823157,ttest,0.15715258515515582,0.1649029900045956,-0.0038752024247198924,0.0038752024247198924,0.12675093108532476,1.1884721919507691e-24,-10.326332149154881,ttest,0.12262657015931372,0.1308752920113358,-0.004124360926011039,0.004124360926011039,0.16495315167082458,0.6648155614884019,-0.43331033473979497,ttest,0.16471979905243347,0.1651865042892157,-0.00023335261839110832,0.00023335261839110832
open-hearted,gender,0.1893892688911502,2.6609771241691624e-09,5.966509387638644,ttest,0.19240780784970238,0.18637072993259804,0.0030185389585521694,-0.0030185389585521694,0.1627522615491509,0.3852102914053559,-0.8684430002106119,ttest,0.16238846124387254,0.16311606185442928,-0.0003638003052783556,0.00036380030527838336,0.1926719857865021,0.00011374797841043819,3.863553649474925,ttest,0.1945462950805322,0.19079767649247198,0.0018743092940300965,-0.0018743092940301243,0.17944031616552872,0.041704941531050366,-2.03718979837089,ttest,0.1784957586550245,0.18038487367603293,-0.000944557510504207,0.000944557510504207,0.19896689877122725,1.253636782370746e-14,7.743817712176363,ttest,0.20362918116465337,0.1943046163778011,0.004662282393426115,-0.004662282393426143
hateful,gender,0.16608284915528712,2.4851241996399992e-14,-7.6543381728414515,ttest,0.1618641059939601,0.17030159231661415,-0.004218743161327032,0.004218743161327032,0.12570452863762693,1.0611361186204997e-17,-8.61205683121944,ttest,0.12182478704372374,0.1295842702315301,-0.0038797415939031965,0.0038797415939031688,0.19824370910473565,9.344619850742066e-17,-8.353920434752705,ttest,0.19214383507309174,0.20434358313637954,-0.006099874031643915,0.006099874031643887,0.1436358881931679,1.2432775994368102e-29,-11.407567714416519,ttest,0.1377968326002276,0.1494749437861082,-0.00583905559294029,0.005839055592940318,0.24145971132593663,0.7354733303272913,0.33788026965479423,ttest,0.24166926536239497,0.2412501572894783,0.00020955403645833703,-0.00020955403645833703
open-minded,gender,0.16109051530768556,0.3025305352836881,1.0311719094861667,ttest,0.16155944311318277,0.16062158750218838,0.0004689278054972046,-0.00046892780549717683,0.14445946103050594,4.967769333861367e-10,-6.237554797670773,ttest,0.1419630889465161,0.1469558331144958,-0.0024963720839898396,0.0024963720839898673,0.18317747997636555,0.8172781411375811,0.23106457539898648,ttest,0.18329531031162466,0.18305964964110644,0.00011783033525911146,-0.00011783033525911146,0.15238278172597164,0.12284399184641298,-1.5433124326940098,ttest,0.15175329897584033,0.15301226447610294,-0.000629482750131305,0.000629482750131305,0.17469434551164215,6.244377321636774e-09,5.82457100546409,ttest,0.17767887916885505,0.17170981185442927,0.0029845336572129066,-0.002984533657212879
brave,gender,0.18469674246651785,0.0040106419202043326,-2.8792006012204285,ttest,0.18325585116859244,0.18613763376444328,-0.0014408912979254063,0.001440891297925434,0.17239557688309698,0.0630532145831289,-1.8593968515483337,ttest,0.17162453360250352,0.17316662016369047,-0.0007710432805934642,0.0007710432805934919,0.208177821910014,4.926811633038554e-07,-5.03852860755491,ttest,0.20568085144213935,0.21067479237788866,-0.002496970467874643,0.0024969704678746707,0.1701208974800858,9.525801990859016e-21,-9.399555998729962,ttest,0.16647357673538166,0.1737682182247899,-0.003647320744704141,0.0036473207447041134,0.1969399844898897,0.7511582282079595,0.3171377183881785,ttest,0.1971137722667192,0.19676619671306023,0.0001737877768294982,-0.00017378777682947044
courteous,gender,0.1573135675168505,0.0011262844518922111,-3.2595772195827313,ttest,0.15581242751006652,0.15881470752363444,-0.0015011400067839742,0.0015011400067839464,0.1552488097289697,0.0030638079716218004,-2.9632907939070834,ttest,0.15393074954591213,0.1565668699120273,-0.0013180601830575789,0.0013180601830576066,0.1826478418515844,0.01171881560793906,-2.5218026316013034,ttest,0.18144250864408262,0.18385317505908613,-0.0012053332075017686,0.0012053332075017409,0.15261849368653713,1.1282414932382826e-06,-4.876277680738189,ttest,0.15027344433867296,0.15496354303440127,-0.00234504934786417,0.002345049347864142,0.16351383326768207,0.6035047588099494,-0.5194141196700764,ttest,0.16322089871104692,0.16380676782431722,-0.00029293455663514933,0.00029293455663514933
thankful,gender,0.16708097057182247,0.2589181721946456,1.1291317486459402,ttest,0.16761495125393908,0.16654698988970587,0.0005339806821166027,-0.0005339806821166027,0.11871592631193102,0.14529754018474375,-1.4566626153636633,ttest,0.11825305073201156,0.1191788018918505,-0.00046287557991946116,0.00046287557991947503,0.2092458516609769,0.31091718630846354,-1.0134436974722592,ttest,0.20869509913340337,0.20979660418855042,-0.0005507525275735281,0.0005507525275735281,0.1666115298658526,0.01656716802045539,2.3973078681442117,ttest,0.16768371411064426,0.16553934562106093,0.001072184244791663,-0.001072184244791663,0.1779096501882003,1.934005720981173e-06,4.768231491393444,ttest,0.1804144851299895,0.17540481524641108,0.0025048349417892135,-0.0025048349417892135
