trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,race_Black_mean_template_0,race_East Asian_mean_template_0,race_Indian_mean_template_0,race_Latino_Hispanic_mean_template_0,race_Middle Eastern_mean_template_0,race_Southeast Asian_mean_template_0,race_White_mean_template_0,race_Black_diff_from_overall_template_0,race_East Asian_diff_from_overall_template_0,race_Indian_diff_from_overall_template_0,race_Latino_Hispanic_diff_from_overall_template_0,race_Middle Eastern_diff_from_overall_template_0,race_Southeast Asian_diff_from_overall_template_0,race_White_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,race_Black_mean_template_1,race_East Asian_mean_template_1,race_Indian_mean_template_1,race_Latino_Hispanic_mean_template_1,race_Middle Eastern_mean_template_1,race_Southeast Asian_mean_template_1,race_White_mean_template_1,race_Black_diff_from_overall_template_1,race_East Asian_diff_from_overall_template_1,race_Indian_diff_from_overall_template_1,race_Latino_Hispanic_diff_from_overall_template_1,race_Middle Eastern_diff_from_overall_template_1,race_Southeast Asian_diff_from_overall_template_1,race_White_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,race_Black_mean_template_2,race_East Asian_mean_template_2,race_Indian_mean_template_2,race_Latino_Hispanic_mean_template_2,race_Middle Eastern_mean_template_2,race_Southeast Asian_mean_template_2,race_White_mean_template_2,race_Black_diff_from_overall_template_2,race_East Asian_diff_from_overall_template_2,race_Indian_diff_from_overall_template_2,race_Latino_Hispanic_diff_from_overall_template_2,race_Middle Eastern_diff_from_overall_template_2,race_Southeast Asian_diff_from_overall_template_2,race_White_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,race_Black_mean_template_3,race_East Asian_mean_template_3,race_Indian_mean_template_3,race_Latino_Hispanic_mean_template_3,race_Middle Eastern_mean_template_3,race_Southeast Asian_mean_template_3,race_White_mean_template_3,race_Black_diff_from_overall_template_3,race_East Asian_diff_from_overall_template_3,race_Indian_diff_from_overall_template_3,race_Latino_Hispanic_diff_from_overall_template_3,race_Middle Eastern_diff_from_overall_template_3,race_Southeast Asian_diff_from_overall_template_3,race_White_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,race_Black_mean_template_4,race_East Asian_mean_template_4,race_Indian_mean_template_4,race_Latino_Hispanic_mean_template_4,race_Middle Eastern_mean_template_4,race_Southeast Asian_mean_template_4,race_White_mean_template_4,race_Black_diff_from_overall_template_4,race_East Asian_diff_from_overall_template_4,race_Indian_diff_from_overall_template_4,race_Latino_Hispanic_diff_from_overall_template_4,race_Middle Eastern_diff_from_overall_template_4,race_Southeast Asian_diff_from_overall_template_4,race_White_diff_from_overall_template_4
kind,race,0.18506845853575804,4.665369454372915e-10,9.313439520033905,anova,0.1856097053079044,0.18071648092830883,0.19114858589920344,0.1797463809742647,0.18728326535692402,0.18209276386335785,0.18888202742034313,0.0005412467721463698,-0.004351977607449209,0.006080127363445403,-0.0053220775614933324,0.002214806821165982,-0.002975694672400192,0.003813568884585089,0.16686003014487044,9.685997126198806e-09,8.18624390498807,anova,0.16300371955422793,0.16800058402267157,0.1697777841605392,0.1607953239889706,0.16778085746017157,0.17179912492340688,0.1668628169041054,-0.003856310590642509,0.001140553877801126,0.0029177540156687665,-0.006064706155899852,0.0009208273153011315,0.004939094778536435,2.7867592349573034e-06,0.22532504212622548,3.920252550481022e-17,15.319752253886174,anova,0.22764425838694852,0.22405263863357844,0.21601203469669117,0.2218740425857843,0.22502824371936275,0.22594652362898285,0.2367175532322304,0.0023192162607230393,-0.0012724034926470396,-0.009313007429534309,-0.003450999540441174,-0.00029679840686272496,0.0006214815027573706,0.011392511106004921,0.1620429885821516,1.5733255488401933e-15,13.960191566112963,anova,0.1602840647977941,0.15601878446691175,0.16764622108609067,0.15872994217218137,0.16364063936121323,0.16012034696691177,0.16786092122395832,-0.0017589237843574912,-0.006024204115239851,0.005603232503939071,-0.0033130464099702384,0.0015976507790616268,-0.001922641615239834,0.005817932641806717,0.186467172318146,6.309751728191007e-16,14.296546473958053,anova,0.18759262982536765,0.18318086511948528,0.18376536649816178,0.18421858245251224,0.18873506433823528,0.18046934838388481,0.197308349609375,0.00112545750722165,-0.003286307198660715,-0.002701805819984221,-0.0022485898656337544,0.002267892020089285,-0.005997823934261182,0.010841177291228993
generous,race,0.18026321368391107,2.929132394302089e-10,9.485945757583357,anova,0.1818050608915441,0.1759671080346201,0.1862769033394608,0.17636587105545343,0.18257494159773285,0.1787664675245098,0.18008614334405637,0.0015418472076330347,-0.004296105649290977,0.006013689655549714,-0.003897342628457645,0.0023117279138217817,-0.0014967461594012632,-0.00017707033985470133,0.16910182407924107,1.0165785282213496e-25,22.6393727598355,anova,0.16690362668504902,0.1723461674708946,0.1737658930759804,0.16190502690333947,0.17029909620098038,0.17647812787224265,0.16201483034620098,-0.002198197394192053,0.003244343391653526,0.004664068996739323,-0.007196797175901604,0.0011972721217393123,0.007376303793001582,-0.007086993733040087,0.19864944757199754,1.1061854655560994e-38,33.91993682470515,anova,0.19987410003063724,0.20166721717984068,0.184133970971201,0.19721380495557597,0.19971086090686274,0.2003976859298407,0.2075484930300245,0.0012246524586397023,0.0030177696078431404,-0.01451547660079655,-0.0014356426164215674,0.0010614133348652022,0.001748238357843157,0.008899045458026972,0.17256413307510504,4.4993146418443115e-08,7.612655138181546,anova,0.16937890146292892,0.17184436274509804,0.17694079829197304,0.1689165900735294,0.17362132352941176,0.17561477960324756,0.17163217581954657,-0.003185231612176126,-0.0007197703300070024,0.004376665216867998,-0.0036475430015756316,0.0010571904543067168,0.00305064652814252,-0.0009319572555584743,0.1987305371367297,6.081258881134462e-08,7.499850367120418,anova,0.2007422353707108,0.19630581724877452,0.19750210631127452,0.1948031556372549,0.20026113472732843,0.19520335477941175,0.20629595588235294,0.0020116982339810907,-0.0024247198879551735,-0.001228430825455179,-0.003927381499474802,0.0015305975905987312,-0.003527182357317943,0.007565418745623248
respectable,race,0.15763339515493696,1.946695824595028e-30,26.70704609595514,anova,0.15268686331954656,0.15807519052542893,0.16728539560355393,0.14947533700980392,0.15899849685968137,0.16137551700367647,0.15553696576286766,-0.0049465318353904,0.00044179537049196527,0.00965200044861697,-0.00815805814513304,0.0013651017047444092,0.0037421218487395103,-0.0020964293920693045,0.14607215689009978,9.222228415691496e-37,32.2272677929236,anova,0.14087847541360293,0.1516894770603554,0.15162628772212008,0.13772882199754902,0.14236162971047794,0.15480298808976717,0.143417418236826,-0.0051936814764968475,0.005617320170255624,0.005554130832020304,-0.008343334892550763,-0.0037105271796218364,0.008730831199667388,-0.002654738653273786,0.17854686063878678,1.5824645897701784e-30,26.785017630645676,anova,0.17303239410998775,0.18134262982536764,0.16970322552849265,0.17414802102481616,0.18109418083639706,0.18071145450367648,0.1897961186427696,-0.005514466528799028,0.0027957691865808654,-0.008843635110294124,-0.004398839613970612,0.002547320197610281,0.002164593864889708,0.011249258003982826,0.1509985830269608,4.4213439052990136e-11,10.185471968392944,anova,0.14643111883425244,0.1513491163066789,0.15344800762101715,0.1464282465916054,0.15126247032015933,0.15619004193474265,0.1518810795802696,-0.004567464192708343,0.00035053327971812376,0.0024494245940563653,-0.004570336435355399,0.0002638872931985392,0.00519145890778186,0.0008824965533088258,0.1448131913898372,9.61821178995775e-31,26.972416356816254,anova,0.14382036994485295,0.1472695743336397,0.1366858388863358,0.1401391122855392,0.14757642558976716,0.14439697265625,0.1538040460324755,-0.0009928214449842487,0.0024563829438025153,-0.008127352503501412,-0.0046740791042979846,0.0027632341999299648,-0.000416218733587187,0.008990854642638296
unjust,race,0.14135278012572217,3.521984271932522e-36,31.715982922214963,anova,0.14637738396139705,0.13289256376378678,0.14519725126378677,0.13900744868259804,0.14791642731311275,0.13352523504518996,0.14455315085018383,0.005024603835674879,-0.008460216361935391,0.0038444711380646035,-0.0023453314431241268,0.006563647187390581,-0.007827545080532211,0.0032003707244616653,0.11307625222940738,6.249161376620905e-24,21.106694673659327,anova,0.11579990760952819,0.10717911065793505,0.11320136575137868,0.11277328192018996,0.11869614545036765,0.10863964604396446,0.11524430817248775,0.0027236553801208013,-0.005897141571472336,0.00012511352197129566,-0.00030297030921742907,0.005619893220960265,-0.004436606185442921,0.002168055943080366,0.1610277875798757,4.575142456385928e-33,28.992255820175398,anova,0.16578596526501224,0.15395124846813726,0.1520233154296875,0.1624895881204044,0.16759140912224266,0.15384300082337624,0.1715099858302696,0.004758177685136533,-0.007076539111738445,-0.009004472150188209,0.0014618005405286905,0.006563621542366949,-0.007184786756499473,0.010482198250393898,0.12675093108532476,5.754237477616157e-67,59.84911874847049,anova,0.13137524174708945,0.11697076535692402,0.12446749818091299,0.1279891668581495,0.1340478036917892,0.11644795735677084,0.13595808440563725,0.004624310661764691,-0.009780165728400736,-0.0022834329044117696,0.0012382357728247528,0.007296872606464444,-0.010302973728553919,0.009207153320312494,0.16495315167082458,4.985726509363605e-34,29.832381660420076,anova,0.1717058967141544,0.16099578259037992,0.15142403396905638,0.1664107977175245,0.16742350260416666,0.16173598345588236,0.17497606464460785,0.006752745043329816,-0.003957369080444667,-0.013529117701768206,0.0014576460466999286,0.0024703509333420803,-0.003217168214942223,0.010022912973783271
open-hearted,race,0.1893892688911502,2.657360151021344e-49,43.42837856955452,anova,0.19412542604932598,0.17554117838541666,0.19406570733762254,0.18668165019914215,0.19877594592524508,0.18254191080729168,0.19399306353400736,0.004736157158175769,-0.013848090505733546,0.004676438446472336,-0.002707618692008057,0.009386677034094876,-0.006847358083858529,0.004603794642857151,0.1627522615491509,1.255798346678456e-27,24.279898992780566,anova,0.16067145852481618,0.1595126282935049,0.17095181334252452,0.15685101677389707,0.16867137235753676,0.163894593481924,0.15871294806985295,-0.002080803024334721,-0.003239633255645996,0.008199551793373616,-0.005901244775253833,0.0059191108083858635,0.0011423319327731052,-0.004039313479297951,0.1926719857865021,9.550421029585925e-36,31.335565886229123,anova,0.19622240253523285,0.18676326976102942,0.18417729396446078,0.1909618901271446,0.1964749205346201,0.18948436063878676,0.2046197629442402,0.0035504167487307448,-0.005908716025472688,-0.008494691822041323,-0.0017100956593575078,0.003802934748117992,-0.0031876251477153394,0.011947777157738093,0.17944031616552872,1.1936632907174434e-58,52.01953390746277,anova,0.18145033892463236,0.16579518037683824,0.18291865330116422,0.17823067459405637,0.18726722866881126,0.17192095588235295,0.1884991814108456,0.0020100227591036413,-0.013645135788690477,0.003478337135635501,-0.001209641571472353,0.007826912503282546,-0.007519360283175763,0.009058865245316877,0.19896689877122725,7.476372370767334e-17,15.082065976054615,anova,0.20168756223192402,0.19037248200061274,0.2061580882352941,0.19462998334099266,0.19960793887867648,0.19461131376378676,0.2057009229473039,0.0027206634606967706,-0.00859441677061451,0.007191189464066855,-0.004336915430234595,0.0006410401074492256,-0.004355585007440488,0.006734024176076658
hateful,race,0.16608284915528712,4.786475026382567e-55,48.681554800331945,anova,0.17596854415594362,0.15444599226409314,0.16440992168351715,0.16743140127144607,0.177569580078125,0.15242369408700981,0.170330810546875,0.009885695000656503,-0.01163685689119398,-0.001672927471769975,0.0013485521161589464,0.01148673092283789,-0.013659155068277307,0.004247961391587868,0.12570452863762693,4.068594299781685e-61,54.324878229108485,anova,0.13211101457184438,0.11560998056449143,0.12192574295343138,0.12746605966605393,0.1355495677274816,0.11502912932751226,0.13224020565257352,0.006406485934217443,-0.010094548073135506,-0.003778785684195554,0.0017615310284269936,0.009845039089854679,-0.010675399310114672,0.006535677014946589,0.19824370910473565,7.99632668090331e-55,48.47702410049686,anova,0.21012489468443626,0.18983956131280638,0.17948488721660538,0.20310992072610295,0.20777815276501224,0.18494035309436274,0.21242819393382353,0.01188118557970061,-0.008404147791929273,-0.018758821888130273,0.0048662116213673,0.009534443660276587,-0.013303356010372913,0.014184484829087879,0.1436358881931679,4.661797834360053e-53,46.85468516396398,anova,0.1502606560202206,0.13276720233992034,0.1447189031862745,0.14488190295649508,0.1543658088235294,0.13024339862898285,0.14821334539675246,0.006624767827052708,-0.010868685853247545,0.001083014993106618,0.0012460147633271967,0.010729920630361517,-0.01339248956418504,0.004577457203584573,0.24145971132593663,2.2434937969621812e-46,40.78226044667433,anova,0.24967603496476715,0.23208642099417892,0.22956590839460783,0.24515332988664215,0.25106081495098037,0.2308089910768995,0.2518664790134804,0.008216323638830514,-0.009373290331757711,-0.0118938029313288,0.0036936185607055194,0.009601103625043739,-0.010650720249037127,0.010406767687543783
open-minded,race,0.16109051530768556,6.182943493351973e-39,34.143958911869994,anova,0.1600698433670343,0.15410287894454658,0.1662756826363358,0.15557538200827206,0.16862589518229168,0.1537668265548407,0.16921709846047794,-0.001020671940651252,-0.006987636363138983,0.0051851673286502364,-0.005515133299413499,0.0075353798746061185,-0.007323688752844865,0.008126583152792383,0.14445946103050594,9.296025843062076e-18,15.850005561830383,anova,0.14323479147518384,0.14194084616268382,0.14919720818014706,0.13825611787683822,0.1491568771063113,0.14170412549785538,0.14772626091452207,-0.0012246695553221054,-0.002518614867822122,0.004737747149641119,-0.0062033431536677175,0.004697416075805344,-0.00275533553265056,0.003266799884016125,0.18317747997636555,7.979816508058618e-28,24.449514340188827,anova,0.18164086435355392,0.18055180568321078,0.17846966911764706,0.18053265739889707,0.18724018171721812,0.1777349733838848,0.19607220818014706,-0.0015366156228116268,-0.0026256742931547727,-0.004707810858718492,-0.002644822577468481,0.004062701740852576,-0.005442506592480745,0.012894728203781514,0.15238278172597164,1.04060351456614e-28,25.21261097249794,anova,0.1481961119408701,0.14803359087775736,0.1569678213082108,0.14785287894454657,0.15752240349264707,0.14867182712928922,0.15943483838848038,-0.004186669785101543,-0.004349190848214279,0.004585039582239159,-0.004529902781425066,0.0051396217666754285,-0.0037109545966824142,0.007052056662508743,0.17469434551164215,6.785027309849221e-15,13.422253939560274,anova,0.17672681621476716,0.17163217581954657,0.17731191597732843,0.16920333563112744,0.17606847426470587,0.16943706437653186,0.18248063629748776,0.002032470703125011,-0.0030621696920955788,0.002617570465686281,-0.005491009880514708,0.0013741287530637247,-0.005257281135110287,0.007786290785845612
brave,race,0.18469674246651785,1.1517390482355304e-31,27.77320866072579,anova,0.18031448663449756,0.18136955710018382,0.1981466854319853,0.1787081849341299,0.1885397518382353,0.18437272614123776,0.1814258051853554,-0.004382255832020288,-0.003327185366334029,0.013449942965467448,-0.005988557532387945,0.003843009371717443,-0.00032401632528009094,-0.003270937281162456,0.17239557688309698,1.3743763756414664e-17,15.70586233076791,anova,0.16845284256280638,0.172589111328125,0.17513595281862746,0.1662420534620098,0.17434070063572304,0.1793433095894608,0.17066506778492646,-0.003942734320290603,0.00019353444502800965,0.0027403759355304758,-0.006153523421087187,0.0019451237526260656,0.006947732706363813,-0.0017305090981705185,0.208177821910014,8.813583822729123e-56,49.360394006617604,anova,0.20984987745098038,0.20534117455575981,0.19323311600030638,0.20965564204197304,0.21166405771292893,0.2041543399586397,0.22334654564950981,0.0016720555409663884,-0.0028366473542541792,-0.014944705909707617,0.0014778201319590456,0.003486235802914933,-0.00402348195137428,0.01516872373949582,0.1701208974800858,5.805791192735862e-16,14.327244677411576,anova,0.1652441884957108,0.1672686408547794,0.17284474092371324,0.16729377297794118,0.17586406632965687,0.16941564223345587,0.17291523054534313,-0.0048767089843750056,-0.0028522566253063875,0.002723843443627444,-0.002827124502144618,0.005743168849571073,-0.0007052552466299267,0.0027943330652573373,0.1969399844898897,2.524291336359178e-15,13.786284082169606,anova,0.1956200693167892,0.19658777573529412,0.19660536822150734,0.19220329733455882,0.1978710698146446,0.19207500382965687,0.20761730717677696,-0.0013199151731004832,-0.0003522087545955732,-0.0003346162683823539,-0.0047366871553308765,0.0009310853247549156,-0.004864980660232832,0.010677322686887258
courteous,race,0.1573135675168505,2.074388669184159e-09,8.759751480689566,anova,0.15351000019148284,0.1586529900045956,0.15980140835631126,0.15172861136642157,0.15689158720128676,0.1583984375,0.16221193799785538,-0.003803567325367657,0.001339422487745101,0.00248784083946077,-0.005584956150428921,-0.0004219803155637303,0.0010848699831494946,0.004898370481004888,0.1552488097289697,3.014623299030193e-10,9.475215389435474,anova,0.15329410328584558,0.15820180855545343,0.156494140625,0.1493338192210478,0.15324766869638481,0.1602856205958946,0.15588450712316176,-0.0019547064431241212,0.002952998826483727,0.0012453308960302945,-0.005914990507921908,-0.002001141032584891,0.005036810866924896,0.0006356973941920585,0.1826478418515844,3.7858159417854697e-25,22.149132826426584,anova,0.18445841471354166,0.18473917643229168,0.1725650562959559,0.17951468673406862,0.1805658078661152,0.18461459290747548,0.19207715801164216,0.0018105728619572659,0.002091334580707288,-0.010082785555628498,-0.0031331551175157735,-0.0020820339854691894,0.001966751055891086,0.009429316160057766,0.15261849368653713,1.8696441661361627e-08,7.9409014586923075,anova,0.1470049689797794,0.1520651424632353,0.15620392444087008,0.14982347675398283,0.151388609643076,0.15546492034313725,0.15637841318167892,-0.0056135247067577165,-0.000553351223301829,0.0035854307543329578,-0.002795016932554295,-0.001229884043461138,0.0028464266566001206,0.003759919495141789,0.16351383326768207,7.237067030891864e-20,17.640990907578733,anova,0.16408069087009805,0.1654995787377451,0.15609573663449755,0.15996596392463236,0.163128662109375,0.16023164636948528,0.17559455422794118,0.0005668576024159822,0.0019857454700630273,-0.007418096633184518,-0.003547869343049709,-0.0003851711583070794,-0.0032821868981967872,0.012080720960259111
thankful,race,0.16708097057182247,2.2716680559100644e-12,11.281153611295695,anova,0.1733205757889093,0.1648614621629902,0.16465430166207107,0.16051109164368874,0.16832466873468138,0.1675330068550858,0.17036168715533087,0.00623960521708683,-0.0022195084088322825,-0.002426668909751406,-0.006569878928133738,0.0012436981628589083,0.00045203628326331846,0.0032807165835083973,0.11871592631193102,3.5118626414257714e-22,19.611627851779843,anova,0.1196377623314951,0.11923385320925245,0.11679861031326594,0.11293568330652573,0.11820176068474264,0.1254562078737745,0.11874760646446078,0.0009218360195640818,0.0005179268973214274,-0.001917315998665084,-0.005780243005405292,-0.0005141656271883815,0.006740281561843489,3.1680152529758865e-05,0.2092458516609769,6.142683292008142e-106,99.06142646104611,anova,0.2214422487745098,0.2072076535692402,0.18216504863664215,0.21005153282015931,0.21070496802236519,0.20785965265012254,0.225289857153799,0.012196397113532903,-0.0020381980917366926,-0.027080803024334743,0.0008056811591824198,0.0014591163613882907,-0.0013861990108543498,0.016044005492822117,0.1666115298658526,1.0860834194920013e-26,23.47327647589119,anova,0.1716015385646446,0.16098704618566176,0.1590355966605392,0.16575544768688724,0.16942401960784315,0.1649892769607843,0.17448778339460785,0.0049900086987920145,-0.005624483680190834,-0.007575933205313384,-0.0008560821789653505,0.0028124897419905537,-0.0016222529050682888,0.007876253528755262,0.1779096501882003,9.945920768733668e-16,14.129044231316378,anova,0.17998896580116422,0.17442830403645834,0.17742261699601716,0.17206947476256126,0.17831767961090686,0.17540067784926472,0.18773983226102942,0.002079315612963928,-0.0034813461517419486,-0.00048703319218312835,-0.005840175425639027,0.0004080294227065684,-0.0025089723389355723,0.009830182072829124
