trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,Skin Tone_1_mean_template_0,Skin Tone_2_mean_template_0,Skin Tone_3_mean_template_0,Skin Tone_4_mean_template_0,Skin Tone_5_mean_template_0,Skin Tone_6_mean_template_0,Skin Tone_7_mean_template_0,Skin Tone_8_mean_template_0,Skin Tone_9_mean_template_0,Skin Tone_10_mean_template_0,Skin Tone_1_diff_from_overall_template_0,Skin Tone_2_diff_from_overall_template_0,Skin Tone_3_diff_from_overall_template_0,Skin Tone_4_diff_from_overall_template_0,Skin Tone_5_diff_from_overall_template_0,Skin Tone_6_diff_from_overall_template_0,Skin Tone_7_diff_from_overall_template_0,Skin Tone_8_diff_from_overall_template_0,Skin Tone_9_diff_from_overall_template_0,Skin Tone_10_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,Skin Tone_1_mean_template_1,Skin Tone_2_mean_template_1,Skin Tone_3_mean_template_1,Skin Tone_4_mean_template_1,Skin Tone_5_mean_template_1,Skin Tone_6_mean_template_1,Skin Tone_7_mean_template_1,Skin Tone_8_mean_template_1,Skin Tone_9_mean_template_1,Skin Tone_10_mean_template_1,Skin Tone_1_diff_from_overall_template_1,Skin Tone_2_diff_from_overall_template_1,Skin Tone_3_diff_from_overall_template_1,Skin Tone_4_diff_from_overall_template_1,Skin Tone_5_diff_from_overall_template_1,Skin Tone_6_diff_from_overall_template_1,Skin Tone_7_diff_from_overall_template_1,Skin Tone_8_diff_from_overall_template_1,Skin Tone_9_diff_from_overall_template_1,Skin Tone_10_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,Skin Tone_1_mean_template_2,Skin Tone_2_mean_template_2,Skin Tone_3_mean_template_2,Skin Tone_4_mean_template_2,Skin Tone_5_mean_template_2,Skin Tone_6_mean_template_2,Skin Tone_7_mean_template_2,Skin Tone_8_mean_template_2,Skin Tone_9_mean_template_2,Skin Tone_10_mean_template_2,Skin Tone_1_diff_from_overall_template_2,Skin Tone_2_diff_from_overall_template_2,Skin Tone_3_diff_from_overall_template_2,Skin Tone_4_diff_from_overall_template_2,Skin Tone_5_diff_from_overall_template_2,Skin Tone_6_diff_from_overall_template_2,Skin Tone_7_diff_from_overall_template_2,Skin Tone_8_diff_from_overall_template_2,Skin Tone_9_diff_from_overall_template_2,Skin Tone_10_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,Skin Tone_1_mean_template_3,Skin Tone_2_mean_template_3,Skin Tone_3_mean_template_3,Skin Tone_4_mean_template_3,Skin Tone_5_mean_template_3,Skin Tone_6_mean_template_3,Skin Tone_7_mean_template_3,Skin Tone_8_mean_template_3,Skin Tone_9_mean_template_3,Skin Tone_10_mean_template_3,Skin Tone_1_diff_from_overall_template_3,Skin Tone_2_diff_from_overall_template_3,Skin Tone_3_diff_from_overall_template_3,Skin Tone_4_diff_from_overall_template_3,Skin Tone_5_diff_from_overall_template_3,Skin Tone_6_diff_from_overall_template_3,Skin Tone_7_diff_from_overall_template_3,Skin Tone_8_diff_from_overall_template_3,Skin Tone_9_diff_from_overall_template_3,Skin Tone_10_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,Skin Tone_1_mean_template_4,Skin Tone_2_mean_template_4,Skin Tone_3_mean_template_4,Skin Tone_4_mean_template_4,Skin Tone_5_mean_template_4,Skin Tone_6_mean_template_4,Skin Tone_7_mean_template_4,Skin Tone_8_mean_template_4,Skin Tone_9_mean_template_4,Skin Tone_10_mean_template_4,Skin Tone_1_diff_from_overall_template_4,Skin Tone_2_diff_from_overall_template_4,Skin Tone_3_diff_from_overall_template_4,Skin Tone_4_diff_from_overall_template_4,Skin Tone_5_diff_from_overall_template_4,Skin Tone_6_diff_from_overall_template_4,Skin Tone_7_diff_from_overall_template_4,Skin Tone_8_diff_from_overall_template_4,Skin Tone_9_diff_from_overall_template_4,Skin Tone_10_diff_from_overall_template_4
confident,Skin Tone,0.7865833706325955,2.563859848570094e-18,12.556183679779375,anova,0.7767656114366319,0.8303968641493056,0.8237474229600694,0.8342251247829862,0.8310029771592882,0.8071712917751737,0.7649798923068576,0.7369037204318576,0.7409922281901041,0.7196485731336806,-0.009817759195963616,0.043813493516710045,0.037164052327473884,0.047641754150390625,0.044419606526692634,0.020587921142578125,-0.021603478325737946,-0.049679650200737946,-0.045591142442491406,-0.06693479749891496,0.7758928934733073,1.307189985726604e-19,13.399726333262134,anova,0.7681867811414931,0.8183458116319444,0.8124067518446181,0.8210228814019097,0.8174489339192709,0.7964613172743056,0.7546632554796007,0.7270372178819444,0.7304399278428819,0.7129160563151041,-0.007706112331814174,0.042452918158637165,0.036513858371310826,0.045129987928602455,0.041556040445963616,0.020568423800998326,-0.021229637993706585,-0.048855675591362835,-0.045452965630425335,-0.06297683715820312,0.7304058922661676,7.40500979163302e-21,14.218930531711807,anova,0.7281053331163194,0.7834506564670138,0.7731509738498263,0.7849604288736979,0.7841440836588541,0.754188961452908,0.7003470526801215,0.6686147054036459,0.6704474555121528,0.6566492716471354,-0.0023005591498481692,0.05304476420084625,0.04274508158365875,0.05455453660753029,0.05373819139268654,0.023783069186740446,-0.03005883958604605,-0.06179118686252172,-0.0599584367540148,-0.07375662061903221,0.7500064425998264,3.477685893333776e-21,14.435502167169174,anova,0.7406556871202257,0.7973615858289931,0.7918955485026041,0.8048943413628472,0.7996105617947049,0.7743725246853299,0.724684821234809,0.6932042439778646,0.697493659125434,0.6758914523654513,-0.009350755479600736,0.047355143229166674,0.041889105902777724,0.054887898763020804,0.049604119194878504,0.024366082085503504,-0.025321621365017366,-0.056802198621961786,-0.052512783474392366,-0.07411499023437507,0.7409028795030382,3.2765456211476445e-17,11.838457919462055,anova,0.7343054877387153,0.7878926595052084,0.7811414930555556,0.7905951605902778,0.7904256184895834,0.7647637261284722,0.7141070895724826,0.6840218438042535,0.6901889377170138,0.6715867784288194,-0.006597391764322946,0.046989780002170134,0.040238613552517344,0.049692281087239554,0.049522738986545134,0.023860846625433974,-0.026795789930555647,-0.056881035698784776,-0.0507139417860244,-0.06931610107421882
stupid,Skin Tone,0.3554246690538194,8.765363791128412e-15,10.276664129895716,anova,0.3651292588975694,0.3481716579861111,0.3490736219618056,0.3437313503689236,0.3395250108506944,0.3433888753255208,0.3586324055989583,0.3617808024088542,0.3728773328993056,0.3719363742404514,0.00970458984375,-0.007253011067708315,-0.0063510470920138395,-0.011693318684895815,-0.015899658203125,-0.012035793728298605,0.003207736545138895,0.006356133355034765,0.01745266384548616,0.016511705186631975,0.3504857381184896,1.7810342431456876e-14,10.07972098072449,anova,0.3594326443142361,0.3437957763671875,0.3437466091579861,0.3407474093967014,0.3364902072482639,0.3402777777777778,0.351318359375,0.3563791910807292,0.3657989501953125,0.3668704562717014,0.008946906195746507,-0.006689961751302098,-0.006739128960503493,-0.009738328721788203,-0.013995530870225703,-0.010207960340711808,0.0008326212565104019,0.005893452962239587,0.015313212076822902,0.016384718153211797,0.4362796359592014,1.3599770257127658e-15,10.795500734968119,anova,0.4497578938802083,0.4184841579861111,0.4238637288411458,0.4153696695963542,0.4101274278428819,0.4183603922526042,0.4452955457899306,0.4477878146701389,0.4662306043836806,0.4675191243489583,0.013478257921006931,-0.01779547797309028,-0.012415907118055569,-0.0209099663628472,-0.026152208116319464,-0.0179192437065972,0.009015909830729196,0.011508178710937511,0.029950968424479196,0.03123948838975693,0.3142942640516493,4.664655928290829e-13,9.174929138123582,anova,0.3241305881076389,0.3091837565104167,0.3099822998046875,0.3049892849392361,0.30116187201605904,0.3036159939236111,0.315948486328125,0.31802283393012154,0.32762569851345485,0.32828182644314235,0.00983632405598961,-0.005110507541232601,-0.004311964246961786,-0.009304979112413181,-0.013132392035590246,-0.010678270128038181,0.0016542222764757142,0.0037285698784722543,0.013331434461805569,0.013987562391493069,0.3181001451280382,4.561787333840689e-16,11.100510191018074,anova,0.32883792453342015,0.30982377794053817,0.31072743733723956,0.30465952555338544,0.30259619818793404,0.3085072835286458,0.319915771484375,0.3250698513454861,0.33427005343967015,0.3365936279296875,0.010737779405381953,-0.008276367187500022,-0.007372707790798627,-0.013440619574652757,-0.015503946940104152,-0.009592861599392377,0.001815626356336808,0.006969706217447913,0.016169908311631953,0.018493482801649308
thankful,Skin Tone,0.5477686564127604,1.0770227048430068e-16,11.50419942212311,anova,0.5367236667209201,0.5822465684678819,0.5938008626302084,0.6150521172417535,0.6018600463867188,0.5783954196506076,0.5287382337782118,0.4834679497612847,0.47976599799262154,0.4776357014973958,-0.011044989691840312,0.03447791205512152,0.04603220621744797,0.06728346082899306,0.05409138997395835,0.030626763237847188,-0.01903042263454857,-0.06430070665147569,-0.06800265842013886,-0.07013295491536459,0.5609157986111111,1.1278133431720855e-15,10.847533361446157,anova,0.5478752983940972,0.5848880343967013,0.5974324544270834,0.6158803304036459,0.6075998942057291,0.58587646484375,0.5456678602430556,0.5104115804036459,0.5045149061414931,0.5090111626519097,-0.013040500217013862,0.023972235785590268,0.0365166558159723,0.0549645317925348,0.04668409559461806,0.02496066623263893,-0.015247938368055491,-0.0505042182074652,-0.05640089246961799,-0.05190463595920136,0.5285566965738933,1.135577471669253e-17,12.13605394386635,anova,0.5195982191297743,0.5717824300130209,0.5800959269205729,0.5997297498914931,0.5880160861545138,0.5582360161675347,0.5048802693684896,0.4603072272406684,0.4508853488498264,0.45203569200303817,-0.008958477444118929,0.04322573343912761,0.05153923034667962,0.07117305331759982,0.05945938958062058,0.02967931959364145,-0.02367642720540364,-0.06824946933322484,-0.07767134772406686,-0.07652100457085509,0.47357652452256943,3.8452944530813094e-15,10.505727107493383,anova,0.4581570095486111,0.502059088812934,0.5167558458116319,0.5438961452907987,0.5297156439887153,0.5039791531032987,0.4545949300130208,0.4108564588758681,0.41133880615234375,0.4044121636284722,-0.015419514973958326,0.02848256429036461,0.04317932128906249,0.07031962076822923,0.05613911946614586,0.03040262858072923,-0.018981594509548616,-0.06272006564670135,-0.06223771837022568,-0.06916436089409722,0.45704769558376734,4.197539567622245e-12,8.56800551868406,anova,0.44768693712022567,0.47778235541449654,0.49291398790147567,0.5075836181640625,0.49791039360894096,0.4813503689236111,0.44014909532335067,0.40939246283637154,0.4117753770616319,0.4039323594835069,-0.009360758463541674,0.020734659830729196,0.035866292317708326,0.050535922580295156,0.040862698025173616,0.02430267333984376,-0.016898600260416674,-0.047655232747395804,-0.045272318522135424,-0.053115336100260424
grateful,Skin Tone,0.5583508809407552,5.492056990969582e-18,12.340715105565021,anova,0.5485941569010416,0.5999433729383681,0.6102303398980035,0.6291868421766493,0.6172892252604166,0.5897937350802951,0.5355343288845487,0.4882066514756944,0.48305172390407985,0.48167843288845485,-0.009756724039713616,0.041592491997612835,0.051879458957248215,0.07083596123589408,0.058938344319661384,0.031442854139539844,-0.022816552056206585,-0.07014422946506083,-0.07529915703667539,-0.07667244805230039,0.5669398837619357,2.5668013494353165e-16,11.261041015571669,anova,0.5556081136067709,0.5983852810329862,0.6090494791666666,0.628021240234375,0.6173799302842882,0.5927624172634549,0.5480990939670138,0.5092900594075521,0.5046268039279513,0.5061764187282987,-0.011331770155164844,0.031445397271050446,0.042109595404730915,0.061081356472439285,0.050440046522352455,0.025822533501519196,-0.018840789794921875,-0.057649824354383594,-0.062313079833984375,-0.060763465033637054,0.5236312018500434,6.265605514724875e-19,12.954312840167807,anova,0.5174128214518229,0.5755962795681424,0.5794592963324653,0.600144280327691,0.5875159369574653,0.5548917982313368,0.4959648980034722,0.44671630859375,0.43943871392144096,0.4391716851128472,-0.0062183803982205355,0.051965077718098995,0.055828094482421875,0.07651307847764754,0.06388473510742188,0.031260596381293415,-0.027666303846571205,-0.07691489325629342,-0.08419248792860246,-0.0844595167371962,0.4777420891655816,3.6546882355226473e-16,11.162233181053061,anova,0.46647389729817706,0.5158157348632812,0.5289323594835069,0.5540025499131944,0.5387768215603299,0.5093680487738715,0.45392269558376735,0.4055633544921875,0.40526580810546875,0.39929962158203125,-0.01126819186740452,0.038073645697699665,0.051190270317925335,0.07626046074761283,0.061034732394748326,0.031625959608289955,-0.02381939358181423,-0.07217873467339408,-0.07247628106011283,-0.07844246758355033,0.4373007032606337,7.442332364238457e-14,9.682840333905432,anova,0.42940012613932294,0.4649437798394097,0.4751637776692708,0.4923570421006944,0.48292117648654515,0.45912424723307294,0.4178042941623264,0.3851860894097222,0.38435278998480904,0.38175370958116317,-0.007900577121310759,0.027643076578776016,0.03786307440863712,0.055056338840060726,0.04562047322591145,0.02182354397243924,-0.0194964090983073,-0.052114613850911484,-0.052947913275824654,-0.055546993679470524
rude,Skin Tone,0.39673216078016493,7.54432512125963e-23,15.539978669286505,anova,0.3938446044921875,0.35270267062717015,0.35247887505425346,0.3519287109375,0.3512776692708333,0.36048634847005206,0.4139760335286458,0.4411434597439236,0.4812452528211806,0.4682379828559028,-0.002887556287977433,-0.04402949015299479,-0.04425328572591147,-0.04480344984266493,-0.04545449150933162,-0.03624581231011287,0.017243872748480882,0.04441129896375867,0.08451309204101565,0.07150582207573786,0.38176083034939234,1.5269793959213008e-22,15.335877052425317,anova,0.38201480441623265,0.3462558322482639,0.34588368733723956,0.3460201687282986,0.3403795030381944,0.3512861463758681,0.39220428466796875,0.4182332356770833,0.4520144992404514,0.44331614176432294,0.0002539740668403012,-0.03550499810112845,-0.03587714301215278,-0.03574066162109374,-0.041381327311197924,-0.030474683973524264,0.010443454318576406,0.03647240532769097,0.07025366889105905,0.06155531141493059,0.43551813761393227,2.722381852846557e-25,17.182483838117765,anova,0.43485429551866317,0.3889533148871528,0.38888125949435765,0.3828938802083333,0.38147396511501735,0.39756859673394096,0.45451270209418404,0.48648664686414933,0.5228271484375,0.5167295667860243,-0.000663842095269096,-0.046564822726779476,-0.04663687811957462,-0.05262425740559895,-0.05404417249891491,-0.037949540879991306,0.018994564480251774,0.050968509250217064,0.08730901082356773,0.08121142917209206,0.3842247856987847,1.1478613514882521e-21,14.753920351438932,anova,0.3814900716145833,0.3492397732204861,0.34716033935546875,0.35089111328125,0.34781985812717015,0.35240258110894096,0.3964504665798611,0.4190758599175347,0.45576561821831596,0.4419521755642361,-0.002734714084201395,-0.034985012478298605,-0.03706444634331596,-0.03333367241753471,-0.036404927571614565,-0.03182220458984375,0.012225680881076395,0.03485107421875,0.07154083251953125,0.057727389865451395,0.3553370157877604,1.391830170010649e-20,14.038160535680234,anova,0.3560333251953125,0.3154551188151042,0.31640031602647567,0.31731753879123265,0.3139885796440972,0.3213009304470486,0.36650678846571183,0.39396243625217015,0.4321424696180556,0.4202626546223958,0.0006963094075521092,-0.039881896972656206,-0.03893669976128472,-0.038019476996527746,-0.04134843614366318,-0.034036085340711786,0.01116977267795144,0.038625420464409754,0.07680545383029519,0.06492563883463542
creative,Skin Tone,0.5958658854166666,1.7034106433615456e-09,6.91237361572373,anova,0.5965440538194444,0.6232011583116319,0.6114179823133681,0.6063774956597222,0.6222652859157987,0.5945078531901041,0.579345703125,0.5719740125868056,0.5698530409071181,0.5831722683376737,0.0006781684027777901,0.02733527289496529,0.01555209689670145,0.01051161024305558,0.02639940049913203,-0.0013580322265625,-0.01652018229166663,-0.02389187282986105,-0.02601284450954855,-0.01269361707899297,0.6107793172200521,2.4851280093357034e-09,6.808183882935558,anova,0.6134863959418403,0.6310458713107638,0.6229621039496528,0.6189897325303819,0.6306186252170138,0.6112569173177084,0.5983920627170138,0.5901913113064237,0.5892757839626737,0.6015743679470487,0.002707078721788214,0.020266554090711764,0.012182786729600714,0.008210415310329844,0.019839307996961764,0.0004776000976562944,-0.012387254503038236,-0.020588005913628415,-0.021503533257378415,-0.009204949273003415,0.6610548231336806,1.614546697068764e-10,7.561897824535769,anova,0.6591983371310763,0.6866183810763888,0.6770528157552084,0.6717936197916666,0.6836683485243056,0.6590915256076388,0.6487901475694444,0.6403486463758681,0.6379360622829862,0.6460503472222222,-0.0018564860026042407,0.02556355794270826,0.01599799262152779,0.01073879665798605,0.022613525390625,-0.0019632975260417407,-0.01226467556423616,-0.0207061767578125,-0.02311876085069442,-0.01500447591145837,0.5580423990885417,4.159529912267741e-09,6.666022236937044,anova,0.5608876546223959,0.5850999620225694,0.5741119384765625,0.5687391493055556,0.5834028455946181,0.5566491021050347,0.5433570014105903,0.5302056206597222,0.5323740641276041,0.5455966525607638,0.002845255533854174,0.027057562934027724,0.016069539388020804,0.010696750217013884,0.025360446506076384,-0.0013932969835069864,-0.014685397677951406,-0.027836778428819486,-0.025668334960937567,-0.012445746527777857,0.5707244873046875,1.0411817340665587e-06,5.132345071178598,anova,0.5777197943793403,0.5962049696180556,0.5859307183159722,0.575836181640625,0.5908796522352431,0.5675065782335069,0.5582868787977431,0.5463358561197916,0.5458340115017362,0.5627102322048612,0.00699530707465279,0.02548048231336808,0.01520623101128471,0.0051116943359375,0.02015516493055558,-0.0032179090711805802,-0.01243760850694442,-0.02438863118489587,-0.02489047580295134,-0.00801425509982634
cold-hearted,Skin Tone,0.3730194091796875,6.194241393556495e-20,13.6122706528347,anova,0.37661997477213544,0.3551262749565972,0.3412187364366319,0.3447435167100694,0.3469662136501736,0.35166168212890625,0.37312571207682294,0.39681074354383683,0.4257592095269097,0.4181620279947917,0.003600565592447924,-0.0178931342230903,-0.03180067274305559,-0.02827589246961809,-0.026053195529513906,-0.02135772705078126,0.00010630289713542407,0.02379133436414932,0.0527398003472222,0.045142618815104174,0.3713412814670139,2.490653561493925e-21,14.53139204107427,anova,0.37612491183810765,0.35568661159939235,0.34232330322265625,0.3448605007595486,0.34398990207248265,0.35080549452039933,0.36939578586154515,0.39329613579644096,0.41924116346571183,0.4176890055338542,0.00478363037109375,-0.01565466986762154,-0.029017978244357645,-0.02648078070746529,-0.02735137939453125,-0.020535786946614565,-0.00194549560546875,0.021954854329427065,0.047899881998697935,0.04634772406684029,0.4343861050075955,1.3698646548231364e-23,16.035472714451515,anova,0.4391767713758681,0.4083930121527778,0.3886803521050347,0.39069366455078125,0.3937513563368056,0.4054904513888889,0.43988460964626735,0.47527482774522567,0.5038672553168403,0.4986487494574653,0.004790666368272578,-0.025993092854817712,-0.04570575290256079,-0.04369244045681425,-0.04063474867078992,-0.028895653618706607,0.005498504638671853,0.04088872273763017,0.06948115030924479,0.06426264444986979,0.3403569539388021,1.097798722803829e-19,13.449404370791315,anova,0.34247758653428817,0.3255208333333333,0.3113301595052083,0.3166249593098958,0.31777021620008683,0.32123565673828125,0.33916473388671875,0.36153920491536456,0.38803185356987846,0.3798743353949653,0.0021206325954860605,-0.014836120605468794,-0.029026794433593794,-0.023731994628906294,-0.02258673773871528,-0.01912129720052086,-0.0011922200520833592,0.021182250976562456,0.04767489963107635,0.03951738145616318,0.35481109619140627,3.9378413597989097e-22,15.062543107931672,anova,0.35800933837890625,0.3318634033203125,0.3113742404513889,0.31204138861762154,0.31795332166883683,0.3279774983723958,0.35399966769748265,0.3893907335069444,0.4249284532335069,0.4205729166666667,0.003198242187499978,-0.022947692871093772,-0.04343685574001738,-0.04276970757378473,-0.03685777452256944,-0.026833597819010457,-0.0008114284939236271,0.03457963731553815,0.07011735704210065,0.06576182047526041
unstable,Skin Tone,0.3698766072591146,1.0375877064268862e-16,11.514894290230346,anova,0.3733639187282986,0.3561113145616319,0.3467051188151042,0.33932071261935765,0.33923933241102433,0.34387461344401044,0.38410356309678817,0.3935072157118056,0.4149949815538194,0.4075453016493056,0.003487311469184018,-0.013765292697482667,-0.023171488444010402,-0.030555894639756942,-0.030637274848090257,-0.026001993815104152,0.014226955837673583,0.023630608452690993,0.04511837429470483,0.03766869439019099,0.3881099277072483,1.6669073709695633e-18,12.677584721001251,anova,0.3928731282552083,0.3750729031032986,0.3666788736979167,0.3604278564453125,0.36189185248480904,0.3644036187065972,0.3981408013237847,0.4089033338758681,0.4269561767578125,0.425750732421875,0.004763200547960034,-0.013037024603949676,-0.021431054009331596,-0.02768207126193578,-0.02621807522243924,-0.02370630900065107,0.010030873616536429,0.0207934061686198,0.03884624905056422,0.03764080471462672,0.4215972900390625,1.876650134009667e-20,13.952694249559462,anova,0.4288414849175347,0.4067399766710069,0.3975728352864583,0.3909335666232639,0.3890007866753472,0.3943650987413194,0.4328070746527778,0.4463144938151042,0.4656473795572917,0.4637502034505208,0.007244194878472221,-0.014857313368055569,-0.024024454752604174,-0.030663723415798594,-0.03259650336371528,-0.02723219129774307,0.011209784613715301,0.024717203776041696,0.044050089518229196,0.042152913411458326,0.3445592244466146,6.621839207224316e-14,9.715461093387024,anova,0.3466576470269097,0.33644527859157985,0.32474348280164933,0.3200225830078125,0.3221571180555556,0.3235710991753472,0.35475413004557294,0.3623165554470486,0.38018714057074654,0.3747372097439236,0.002098422580295134,-0.008113945855034721,-0.019815741644965246,-0.024536641438802076,-0.022402106391058996,-0.020988125271267366,0.01019490559895836,0.01775733100043403,0.035627916124131964,0.03017798529730903,0.40507481892903646,3.2743323992390443e-19,13.138602726993366,anova,0.4061024983723958,0.384979248046875,0.3748440212673611,0.3678860134548611,0.3765140109592014,0.3764614529079861,0.41935475667317706,0.4358757866753472,0.4556003146701389,0.4531300862630208,0.0010276794433593528,-0.020095570882161462,-0.030230797661675357,-0.03718880547417536,-0.028560807969835067,-0.028613366021050357,0.014279937744140603,0.030800967746310748,0.05052549574110243,0.04805526733398435
educated,Skin Tone,0.7000489976671007,1.9176067705656552e-13,9.420756754873395,anova,0.6701219346788194,0.7083231608072916,0.6974826388888888,0.7227545844184028,0.7361806233723959,0.7269066704644097,0.700286865234375,0.6884562174479166,0.6806691487630209,0.6693081325954862,-0.029927062988281294,0.008274163140190915,-0.0025663587782118746,0.022705586751302076,0.036131625705295156,0.026857672797308996,0.00023786756727428582,-0.011592780219184085,-0.019379848904079844,-0.030740865071614554,0.7105967203776041,2.1601009832376283e-13,9.387798273942654,anova,0.6847381591796875,0.7182447645399306,0.7082773844401041,0.7305569118923612,0.7411261664496528,0.7352074517144097,0.7102423773871528,0.6988864474826388,0.6949445936414931,0.6837429470486112,-0.02585856119791663,0.007648044162326451,-0.0023193359375,0.01996019151475703,0.03052944607204866,0.02461073133680558,-0.00035434299045133955,-0.01171027289496529,-0.01565212673611105,-0.02685377332899297,0.7729015774197049,7.205621224812072e-14,9.692072354412874,anova,0.7435116238064237,0.7850748697916666,0.7730509440104166,0.7978583441840278,0.8107011583116319,0.7978176540798612,0.7704247368706597,0.7592281765407987,0.750152587890625,0.7411956787109375,-0.029389953613281228,0.012173292371961741,0.0001493665907117414,0.024956766764322902,0.03779958089192703,0.024916076660156272,-0.0024768405490451784,-0.013673400878906228,-0.022748989529079888,-0.03170589870876739,0.7077546861436632,4.0080420400976625e-15,10.494255722471813,anova,0.676849365234375,0.71905517578125,0.7040778266059028,0.733642578125,0.7491692437065972,0.7381608751085069,0.7061852349175347,0.6925523546006944,0.6843736436631944,0.6734805636935763,-0.030905320909288214,0.011300489637586786,-0.003676859537760424,0.025887891981336786,0.041414557562933996,0.030406188964843706,-0.0015694512261285043,-0.015202331542968794,-0.023381042480468794,-0.034274122450086875,0.6721177842881945,2.9758252089281917e-13,9.299186678774966,anova,0.6368882921006944,0.6859283447265625,0.6714765760633681,0.6994849310980903,0.717803955078125,0.7071058485243056,0.6694488525390625,0.6541222466362847,0.6454264322916666,0.6334923638237847,-0.035229492187500044,0.013810560438368036,-0.000641208224826384,0.027367146809895826,0.045686170789930536,0.034988064236111116,-0.002668931749131964,-0.017995537651909754,-0.026691351996527835,-0.038625420464409754
cruel,Skin Tone,0.29094373914930555,2.1825863638066174e-16,11.307583818647169,anova,0.30036163330078125,0.2786899142795139,0.27055613199869794,0.2694142659505208,0.26549530029296875,0.26739501953125,0.2889879014756944,0.30481889512803817,0.33461591932508683,0.32910241021050346,0.009417894151475703,-0.012253824869791652,-0.020387607150607612,-0.021529473198784732,-0.025448438856336797,-0.023548719618055547,-0.001955837673611127,0.013875155978732623,0.04367218017578128,0.03815867106119791,0.313677724202474,4.099901803065804e-17,11.775898260213477,anova,0.32101525200737846,0.30074988471137154,0.29577212863498265,0.29412757025824654,0.2899068196614583,0.2934824625651042,0.31115976969401044,0.3280283610026042,0.35255686442057294,0.34997812906901044,0.007337527804904487,-0.012927839491102433,-0.017905595567491328,-0.019550153944227433,-0.02377090454101566,-0.020195261637369788,-0.002517954508463538,0.014350636800130212,0.03887914021809896,0.03630040486653646,0.37467159695095487,4.709386792643173e-22,15.010802581388116,anova,0.37993791368272567,0.34802161322699654,0.33627404106987846,0.3378753662109375,0.3349270290798611,0.34320068359375,0.37885453965928817,0.40514543321397567,0.44244299994574654,0.4400363498263889,0.005266316731770804,-0.026649983723958326,-0.038397555881076406,-0.036796230740017366,-0.03974456787109376,-0.031470913357204866,0.004182942708333304,0.030473836263020804,0.06777140299479167,0.06536475287543403,0.2545008341471354,2.8684300021792587e-13,9.310318484243792,anova,0.26301659478081596,0.24627855088975695,0.2406192355685764,0.2415618896484375,0.23742251925998265,0.2365960015190972,0.25148773193359375,0.2625630696614583,0.2854461669921875,0.28001658121744794,0.008515760633680536,-0.008222283257378477,-0.013881598578559029,-0.012938944498697924,-0.01707831488715278,-0.017904832628038214,-0.003013102213541674,0.00806223551432289,0.030945332845052076,0.02551574707031251,0.2791191948784722,2.8782343134306475e-15,10.58762036502428,anova,0.28876325819227433,0.26655493842230904,0.25989362928602433,0.258636474609375,0.2554406060112847,0.25721995035807294,0.277313232421875,0.2916581895616319,0.3203718397352431,0.3153398301866319,0.009644063313802131,-0.012564256456163159,-0.01922556559244787,-0.0204827202690972,-0.02367858886718749,-0.021899244520399264,-0.0018059624565971988,0.012538994683159721,0.04125264485677088,0.03622063530815972
