trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,age_20-29_mean_template_0,age_30-39_mean_template_0,age_40-49_mean_template_0,age_50-59_mean_template_0,age_60-69_mean_template_0,age_20-29_diff_from_overall_template_0,age_30-39_diff_from_overall_template_0,age_40-49_diff_from_overall_template_0,age_50-59_diff_from_overall_template_0,age_60-69_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,age_20-29_mean_template_1,age_30-39_mean_template_1,age_40-49_mean_template_1,age_50-59_mean_template_1,age_60-69_mean_template_1,age_20-29_diff_from_overall_template_1,age_30-39_diff_from_overall_template_1,age_40-49_diff_from_overall_template_1,age_50-59_diff_from_overall_template_1,age_60-69_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,age_20-29_mean_template_2,age_30-39_mean_template_2,age_40-49_mean_template_2,age_50-59_mean_template_2,age_60-69_mean_template_2,age_20-29_diff_from_overall_template_2,age_30-39_diff_from_overall_template_2,age_40-49_diff_from_overall_template_2,age_50-59_diff_from_overall_template_2,age_60-69_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,age_20-29_mean_template_3,age_30-39_mean_template_3,age_40-49_mean_template_3,age_50-59_mean_template_3,age_60-69_mean_template_3,age_20-29_diff_from_overall_template_3,age_30-39_diff_from_overall_template_3,age_40-49_diff_from_overall_template_3,age_50-59_diff_from_overall_template_3,age_60-69_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,age_20-29_mean_template_4,age_30-39_mean_template_4,age_40-49_mean_template_4,age_50-59_mean_template_4,age_60-69_mean_template_4,age_20-29_diff_from_overall_template_4,age_30-39_diff_from_overall_template_4,age_40-49_diff_from_overall_template_4,age_50-59_diff_from_overall_template_4,age_60-69_diff_from_overall_template_4
kind,age,0.6415242854954482,4.392714977863841e-08,10.099445049752891,anova,0.6744507861738446,0.6534649504332983,0.6391379305628502,0.6180674662443102,0.6225002940629377,0.03292650067839642,0.011940664937850176,-0.0023863549325979783,-0.02345681925113796,-0.019023991432510434,0.6623216132155988,3.8484923297453337e-10,12.635749552000226,anova,0.6932677367822129,0.6751962015274859,0.6616216066504726,0.6412068001028537,0.6403157210149685,0.03094612356661408,0.012874588311887147,-0.0007000065651261433,-0.0211148131127451,-0.022005892200630317,0.6505706872592787,1.2009951699670749e-05,7.07188087026258,anova,0.6795864586068803,0.6581518349527311,0.6449583251269257,0.6289693367581407,0.6411874808517157,0.029015771347601582,0.007581147693452417,-0.005612362132352944,-0.021601350501137984,-0.00938320640756296,0.6087454830565039,9.403203016301343e-09,10.925868626760654,anova,0.6439405596222865,0.6228605211615896,0.6066415824142157,0.5841444854308911,0.5861402666535365,0.03519507656578258,0.014115038105085742,-0.002103900642288159,-0.02460099762561274,-0.02260521640296742,0.5853452709208683,2.0774508237429804e-10,12.965248270610651,anova,0.6215702345391282,0.6022831251641282,0.5842601444874825,0.5598477916557247,0.5587650587578782,0.03622496361825989,0.016937854243259887,-0.0010851264333857635,-0.025497479265143563,-0.026580212162990113
inconsiderate,age,0.4215295444349615,1.2386567127727708e-06,8.302539676772035,anova,0.40723100763743,0.41496212742909666,0.42269837622549017,0.43178013392857145,0.4309760769542192,-0.014298536797531514,-0.0065674170058648285,0.0011688317905286794,0.010250589493609963,0.0094465325192577,0.3908928708202031,0.04497442041879539,2.4412123844315734,anova,0.3832840265012255,0.3887990743172269,0.39227842015712533,0.39668372231705185,0.3934191108083859,-0.00760884431897757,-0.0020937965029761973,0.0013855493369222538,0.00579085149684877,0.002526239988182799,0.4788826565782563,1.0350731919112017e-07,9.63921255971501,anova,0.46119976310836835,0.4706231125262605,0.48017879026610644,0.4915846709777661,0.4908269460127801,-0.01768289346988794,-0.008259544051995804,0.0012961336878501428,0.012702014399509798,0.011944289434523803,0.3790213790594363,0.13430728445575235,1.7600013992795651,anova,0.3723951494660364,0.37707741788121496,0.38053727350315125,0.38367827599789917,0.38141877844887956,-0.006626229593399868,-0.0019439611782213206,0.0015158944437149713,0.0046568969384628844,0.0023973993894432777,0.3830317136620273,0.019254262503590636,2.947264142132683,anova,0.3739870215664391,0.3810036709996499,0.38524929014574577,0.39035521435136555,0.3845633712469363,-0.009044692095588225,-0.0020280426623774384,0.002217576483718453,0.007323500689338236,0.0015316575849089742
hardworking,age,0.5659540085565476,8.121293083197757e-22,27.047145839365662,anova,0.5430186723126751,0.563821915484944,0.580650521927521,0.5803038012079832,0.5619751318496149,-0.02293533624387256,-0.002132093071603669,0.01469651337097333,0.014349792651435544,-0.003978876706932755,0.582403684129902,8.0339212732935e-13,15.933231650457653,anova,0.5776124414609594,0.5868391790309874,0.5926161480217087,0.5864917744441527,0.5684588776917017,-0.004791242668942597,0.004435494901085413,0.010212463891806745,0.004088090314250725,-0.013944806438200286,0.5610307111125701,2.9664172817731254e-27,33.8444058640499,anova,0.5317584553352591,0.5551094461221989,0.5738969904367998,0.5781297870710784,0.5662588765975141,-0.029272255777310963,-0.005921264990371156,0.012866279324229679,0.017099075958508347,0.005228165484943981,0.4958082354035364,3.1197545687473703e-26,32.56280691429702,anova,0.4745939879858193,0.49338871290703784,0.509849740677521,0.5092332343093487,0.4919755011379552,-0.021214247417717103,-0.0024195224964985718,0.014041505273984567,0.013424998905812335,-0.003832734265581228,0.5277158421962534,9.177534112704555e-17,20.78912453639966,anova,0.5188231054140406,0.5336920901172969,0.5418878977372199,0.534979812237395,0.5091963054753151,-0.008892736782212807,0.005976247921043454,0.014172055540966455,0.007263970041141543,-0.018519536720938312
talented,age,0.5176358433998599,1.977995030626636e-77,100.79569632918849,anova,0.56005859375,0.5457004579175421,0.5246742740064776,0.4940388997395833,0.4637069915856968,0.04242275035014009,0.028064614517682163,0.007038430606617685,-0.023596943660276593,-0.053928851814163126,0.5156658952643557,1.0362535130291834e-83,109.77943657712669,anova,0.5506024187018558,0.5391678155637255,0.5223675896139706,0.4963095101321779,0.46988214231004904,0.03493652343750009,0.023501920299369816,0.006701694349614873,-0.0193563851321778,-0.045783752954306645,0.5278418105523459,6.16706126303146e-87,114.4644730594375,anova,0.5755505815607493,0.5567762016916141,0.5335065911130077,0.5021355466014531,0.4712401317949055,0.04770877100840343,0.028934391139268212,0.005664780560661775,-0.025706263950892816,-0.05660167875744043,0.44396056274072127,4.3813727648285006e-94,124.924246662678,anova,0.4913911365327381,0.4742561575411415,0.45110810437456234,0.41700159067533266,0.38604582457983194,0.04743057379201682,0.03029559480042021,0.00714754163384107,-0.02695897206538861,-0.05791473816088932,0.43247706309086137,6.667670831803277e-115,156.57815886475922,anova,0.4818419555322129,0.46475843755470936,0.43904331752232145,0.4045940153405112,0.37214758950455185,0.049364892441351504,0.03228137446384799,0.0065662544314600835,-0.027883047750350165,-0.06032947358630952
rude,age,0.4048095019257703,1.2105846828864091e-23,29.322109238044458,anova,0.3660579221923144,0.3863691228444503,0.40863926136860995,0.42970442571559875,0.43327677750787813,-0.03875157973345589,-0.018440379081320013,0.003829759442839642,0.024894923789828438,0.02846727558210782,0.3874524370294993,1.0588802090715582e-13,17.015074841327756,anova,0.3616233847054447,0.3761817226890756,0.39152069519213933,0.40450306099002103,0.40343332157081585,-0.02582905232405458,-0.011270714340423649,0.004068258162640059,0.01705062396052176,0.015980884541316576,0.44620990486038165,1.510765963779439e-20,25.46870183881934,anova,0.4083522080707283,0.42706692051820727,0.44841623172706585,0.4708568241749825,0.4763573398109244,-0.03785769678965334,-0.019142984342174374,0.002206326866684205,0.024646919314600835,0.03014743495054273,0.380528007101278,7.207211890520894e-19,23.38888865152422,anova,0.35200923631171216,0.36723896101409315,0.3847765668767507,0.3989129587381828,0.39970231256565125,-0.028518770789565828,-0.013289046087184841,0.004248559775472727,0.01838495163690479,0.019174305464373265,0.3632299599527311,1.6572645352018228e-12,15.545781684172491,anova,0.3350430015756303,0.3516999573266807,0.3685338637408088,0.38243380848433123,0.37843916863620447,-0.028186958377100835,-0.011530002626050417,0.005303903788077713,0.01920384853160012,0.015209208683473363
pleasant,age,0.6663108847054446,5.29770164343445e-31,38.57504316675375,anova,0.7337832838213411,0.6942820829503676,0.6643221986060049,0.625919288613883,0.6132475695356268,0.06747239911589642,0.027971198244923,-0.001988686099439696,-0.04039159609156162,-0.05306331516981788,0.6748205190279236,5.02526510692883e-35,43.6968008705388,anova,0.7431650883009454,0.7043209129354867,0.6716014530812325,0.6340080710018382,0.6210070698201156,0.0683445692730218,0.029500393907563094,-0.00321906594669108,-0.04081244802608541,-0.05381344920780806,0.652898605731355,2.1813502168761826e-33,41.605559133306336,anova,0.7220973594515931,0.6827023289784664,0.6509946507900035,0.6122910101540616,0.5964076792826506,0.0691987537202381,0.029803723247111336,-0.0019039549413515378,-0.04060759557729343,-0.05649092644870446,0.6450437743456757,1.1856540220553786e-33,41.94305167211268,anova,0.7163050034466911,0.6760580452884278,0.6434878394717262,0.6027149873621324,0.5866529961594013,0.0712612291010154,0.03101427094275211,-0.0015559348739495604,-0.042328786983543365,-0.05839077818627447,0.5816365901829482,1.484250071157729e-33,41.81839296816975,anova,0.6677386286545869,0.620640516948967,0.5802499466583508,0.5288806562664128,0.5106732023864233,0.08610203847163866,0.039003926766018826,-0.0013866435245973863,-0.052755933916535436,-0.07096338779652489
courageous,age,0.522644931996236,1.5532258299146192e-14,18.041075055881297,anova,0.5340035916710434,0.5311330586922269,0.5296584698332458,0.5167844970019257,0.5016450427827381,0.011358659674807425,0.008488126695990972,0.0070135378370098644,-0.005860434994310215,-0.020999889213497824,0.5155067593443627,1.4596682390619115e-27,34.23223128410055,anova,0.5308352344844187,0.5264328387605042,0.5228476644564075,0.5073218252144608,0.4900962338060224,0.015328475140055975,0.010926079416141432,0.007340905112044771,-0.008184934129901955,-0.025410525538340334,0.5393245579481792,4.0345815486194935e-09,11.379303614100893,anova,0.5493119611125701,0.5469028675923494,0.5461598457742471,0.5345111921721813,0.5197369230895483,0.00998740316439084,0.007578309644170167,0.006835287826067904,-0.004813365775997891,-0.01958763485863091,0.4593840270483193,2.7301957796104905e-22,27.635073941380274,anova,0.47490754114145656,0.4705237808013831,0.4678912336418943,0.4508742217590161,0.43272335789784666,0.015523514093137236,0.011139753753063752,0.008507206593574956,-0.00850980528930323,-0.02666066915047266,0.41166373287596286,1.3977640844488364e-27,34.25578145453966,anova,0.4285969026282388,0.42351645247942926,0.4186919396664916,0.4021255963322829,0.38538777327337187,0.016933169752275934,0.0118527196034664,0.007028206790528735,-0.009538136543679965,-0.026275959602590993
disrespectful,age,0.3769445766587885,4.237773413806348e-05,6.384362497262461,anova,0.363418194426208,0.3717565883775385,0.37922288055847336,0.386367413176208,0.3839578067555147,-0.013526382232580514,-0.00518798828125,0.0022783038996848637,0.009422836517419486,0.0070132300967262196,0.374172144443715,0.3067878151579193,1.2047562334213144,anova,0.3697319992450105,0.37417423023897056,0.37684969007134106,0.37842976546087187,0.37167503720238093,-0.004440145198704504,2.0857952555686232e-06,0.0026775456276260656,0.004257621017156876,-0.0024971072413340623,0.3982107637977066,0.000661458354436143,4.86890398398758,anova,0.38368699530593486,0.3931371865152311,0.4005916819852941,0.4087543220413165,0.4048836331407563,-0.014523768491771727,-0.005073577282475483,0.0023809181875875107,0.010543558243609918,0.0066728693430497255,0.3424075001094188,0.08759898706207712,2.0312062526106858,anova,0.33592672909007354,0.3408733122155112,0.3444967830882353,0.3475064830619748,0.34323419309129904,-0.006480771019345244,-0.0015341878939075793,0.002089282978816498,0.005098982952556008,0.0008266929818802615,0.33557258841036414,0.3229150328897505,1.1682594849131613,anova,0.3317611224177171,0.3365620418089111,0.33905849937631305,0.3390096028645833,0.33147167558429624,-0.003811465992647034,0.0009894533985469467,0.003485910965948913,0.0034370144542191783,-0.004100912826067893
trustworthy,age,0.5347330387233018,1.1623676946917403e-09,12.044784750847562,anova,0.5518826182816877,0.5473682392879027,0.5408099519104517,0.5240570837710085,0.5095473003654587,0.01714957955838592,0.01263520056460088,0.006076913187149868,-0.010675954952293343,-0.0251857383578431,0.5517703614648984,6.65255758441941e-19,23.431516212969548,anova,0.5723822243741247,0.5676112241771709,0.5581842844559699,0.5399188728225666,0.5207552014946604,0.02061186290922623,0.015840862712272474,0.0064139229910714635,-0.011851488642331875,-0.03101515997023807,0.5549047304468663,4.292504478038767e-18,22.429968096535305,anova,0.5821700750612745,0.5728021188944328,0.5604526722798494,0.5385203642003676,0.5205784217984069,0.027265344614408216,0.017897388447566498,0.005547941832983128,-0.01638436624649864,-0.034326308648459425,0.4755058566395308,1.0884391786608297e-14,18.231119737248488,anova,0.49344530292585786,0.48964949749431025,0.4820076223848915,0.46496547837885155,0.44746138201374297,0.017939446286327043,0.014143640854779427,0.006501765745360655,-0.010540378260679273,-0.028044474625787852,0.4939331738554797,4.902344024681709e-19,23.595742013415524,anova,0.5172233688397234,0.5125053683582809,0.5010714490874475,0.4794692779455532,0.45939640504639356,0.02329019498424373,0.018572194502801176,0.0071382752319678056,-0.014463895909926472,-0.03453676880908613
capable,age,0.7165512982536765,6.645671954924337e-36,44.82466261007277,anova,0.7342348072041317,0.7299476431197479,0.7244315695028011,0.7104984571953782,0.6836440142463235,0.01768350895045523,0.013396344866071441,0.007880271249124604,-0.006052841058298286,-0.03290728400735299,0.7010588317358193,4.6806765756048146e-42,52.76437455446034,anova,0.7212994572829131,0.7145223323704482,0.7068308768820029,0.6927189332764355,0.6699225588672969,0.020240625547093827,0.013463500634628867,0.005772045146183569,-0.008339898459383766,-0.031136272868522386,0.680416365765056,8.896716565777236e-44,55.00916073438973,anova,0.7055240064775911,0.6996150510985645,0.6895389503457633,0.6710820558692226,0.6363217650341386,0.025107640712535018,0.019198685333508436,0.00912258458070725,-0.009334309895833393,-0.04409460073091742,0.6778321680234594,1.1402614285072872e-55,70.75848604108344,anova,0.7018078715861344,0.6934701615021008,0.6844704678746498,0.6689114610688025,0.6405008780856093,0.023975703562675088,0.015637993478641476,0.006638299851190466,-0.008920706954656854,-0.037331289937850065,0.5619806711747198,6.402288245297881e-59,75.15239468342108,anova,0.596174309567577,0.5904823110884979,0.5766591304490546,0.5495706339176295,0.49701697085084034,0.03419363839285716,0.028501639913778076,0.014678459274334754,-0.012410037257090334,-0.06496370032387949
