trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,gender_Female_mean_template_0,gender_Male_mean_template_0,gender_Female_diff_from_overall_template_0,gender_Male_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,gender_Female_mean_template_1,gender_Male_mean_template_1,gender_Female_diff_from_overall_template_1,gender_Male_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,gender_Female_mean_template_2,gender_Male_mean_template_2,gender_Female_diff_from_overall_template_2,gender_Male_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,gender_Female_mean_template_3,gender_Male_mean_template_3,gender_Female_diff_from_overall_template_3,gender_Male_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,gender_Female_mean_template_4,gender_Male_mean_template_4,gender_Female_diff_from_overall_template_4,gender_Male_diff_from_overall_template_4
kind,gender,0.6415242854954482,1.8074858497482285e-51,15.33859426309218,ttest,0.6913722617953432,0.5916763091955533,0.049847976299895014,-0.0498479762998949,0.6623216132155988,4.277222625175611e-47,14.626609577918384,ttest,0.7039158241421568,0.6207274022890407,0.04159421092655802,-0.04159421092655813,0.6505706872592787,6.035742102876188e-47,14.602129365157692,ttest,0.6974084164915967,0.6037329580269608,0.04683772923231799,-0.04683772923231788,0.6087454830565039,7.856065335007565e-58,16.32467064308704,ttest,0.6640810669971113,0.5534098991158963,0.05533558394060745,-0.05533558394060756,0.5853452709208683,7.970600656957544e-41,13.55012876775293,ttest,0.6311153465292367,0.5395751953125,0.04577007560836843,-0.04577007560836832
inconsiderate,gender,0.4215295444349615,1.8409206964288655e-72,-18.423868453217434,ttest,0.39221505985206584,0.45084402901785714,-0.02931448458289565,0.02931448458289565,0.3908928708202031,6.116926687638386e-65,-17.371700654317934,ttest,0.366138584339986,0.4156471573004202,-0.024754286480217103,0.024754286480217103,0.4788826565782563,3.664425233431249e-86,-20.220394037391298,ttest,0.4421145997461485,0.5156507134103642,-0.03676805683210782,0.036768056832107876,0.3790213790594363,1.9742908285596983e-48,-14.847548808896816,ttest,0.35752445509453784,0.4005183030243347,-0.02149692396489844,0.02149692396489844,0.3830317136620273,2.241129203436768e-75,-18.825132686363748,ttest,0.3541900549282213,0.4118733723958333,-0.028841658733806008,0.028841658733806008
hardworking,gender,0.5659540085565476,2.1773987811532208e-231,-35.05278696792741,ttest,0.5233042826505602,0.608603734462535,-0.04264972590598748,0.04264972590598737,0.582403684129902,2.5825793322617265e-137,-26.073415223544448,ttest,0.5577902059261205,0.6070171623336835,-0.024613478203781458,0.02461347820378157,0.5610307111125701,0.0,-44.50737072619872,ttest,0.5076415331757703,0.6144198890493697,-0.05338917793679976,0.05338917793679965,0.4958082354035364,3.535230029494084e-167,-29.1222029089323,ttest,0.46401257768732496,0.5276038931197479,-0.031795657716211456,0.031795657716211456,0.5277158421962534,4.943925397191985e-164,-28.804495703290037,ttest,0.49437013086484594,0.5610615535276611,-0.03334571133140751,0.033345711331407624
talented,gender,0.5176358433998599,0.03853144191849241,-2.0699318334183223,ttest,0.513827659970238,0.5214440268294818,-0.0038081834296218586,0.0038081834296218586,0.5156658952643557,0.11122839079888354,-1.5930948655194173,ttest,0.5132931492909664,0.5180386412377451,-0.002372745973389323,0.002372745973389434,0.5278418105523459,0.0015574790654303778,-3.166220471157576,ttest,0.5218982514880952,0.5337853696165966,-0.005943559064250703,0.005943559064250703,0.44396056274072127,0.3775124472429957,-0.8826009405030762,ttest,0.44233186438637956,0.445589261095063,-0.0016286983543417066,0.0016286983543417621,0.43247706309086137,0.4650770684590807,-0.7305911747801498,ttest,0.4311952906162465,0.4337588355654762,-0.0012817724746148618,0.0012817724746148063
rude,gender,0.4048095019257703,1.1799496757464413e-78,-19.261552354891347,ttest,0.35919288613883055,0.4504261177127101,-0.04561661578693976,0.04561661578693976,0.3874524370294993,1.0409081559548774e-64,-17.34011650767921,ttest,0.35278887922356444,0.42211599483543416,-0.03466355780593483,0.034663557805934886,0.44620990486038165,4.460558341710203e-73,-18.50758734887722,ttest,0.39941385733981094,0.4930059523809524,-0.046796047520570705,0.04679604752057076,0.380528007101278,4.358322508145146e-74,-18.654435485604502,ttest,0.3447096709777661,0.4163463432247899,-0.035818336123511874,0.03581833612351193,0.3632299599527311,7.181620224571051e-61,-16.787245289744153,ttest,0.325497376685049,0.4009625432204132,-0.037732583267682085,0.037732583267682085
pleasant,gender,0.6663108847054446,8.064041758124767e-40,13.370721531718992,ttest,0.715484943977591,0.6171368254332983,0.04917405927214635,-0.04917405927214635,0.6748205190279236,1.4111166245339822e-42,13.858846560992614,ttest,0.7237788865546219,0.6258621515012255,0.04895836752669824,-0.04895836752669813,0.652898605731355,2.4658058445033166e-39,13.282951805025549,ttest,0.7015856831013656,0.6042115283613445,0.048687077370010545,-0.048687077370010545,0.6450437743456757,6.479603421649646e-44,14.090042853607066,ttest,0.6981033624387255,0.591984186252626,0.05305958809304978,-0.05305958809304967,0.5816365901829482,4.1161215000783175e-39,13.242495757420892,ttest,0.642482007451418,0.5207911729144783,0.060845417268469815,-0.060845417268469926
courageous,gender,0.522644931996236,3.6371052722063254e-20,9.253779055084216,ttest,0.5355887276785715,0.5097011363139006,0.012943795682335502,-0.01294379568233539,0.5155067593443627,6.7365089179483825e-09,5.8114555360793085,ttest,0.5229600238532913,0.5080534948354342,0.007453264508928581,-0.007453264508928581,0.5393245579481792,0.008962838155504003,-2.614903856173058,ttest,0.5351130979735644,0.5435360179227942,-0.004211459974614806,0.004211459974614917,0.4593840270483193,1.4251269851730362e-20,9.356048776550201,ttest,0.4733591971945028,0.44540885690213583,0.013975170146183491,-0.013975170146183491,0.41166373287596286,1.2291384920591556e-09,6.092582996691623,ttest,0.42004038920255604,0.40328707654936974,0.00837665632659318,-0.008376656326593124
disrespectful,gender,0.3769445766587885,1.3713482855550591e-77,-19.1208041348576,ttest,0.3458937188156513,0.40799543450192577,-0.031050857843137214,0.03105085784313727,0.374172144443715,2.5503065476185834e-69,-17.99291490508192,ttest,0.34890622264530813,0.39943806624212186,-0.025265921798406865,0.025265921798406865,0.3982107637977066,8.377010377693814e-79,-19.276761696001863,ttest,0.36037235206582635,0.43604917552958683,-0.03783841173188024,0.03783841173188024,0.3424075001094188,3.973126168510071e-65,-17.402288661671616,ttest,0.31950184370623247,0.36531315651260504,-0.022905656403186314,0.02290565640318626,0.33557258841036414,4.6855643940373046e-61,-16.818125851772503,ttest,0.3102206702993697,0.36092450652135855,-0.02535191811099441,0.02535191811099441
trustworthy,gender,0.5347330387233018,0.0015355146855866519,3.1703411116427094,ttest,0.5421667788209034,0.5272992986257002,0.00743374009760156,-0.00743374009760156,0.5517703614648984,0.0004169675886977125,3.532440860753367,ttest,0.5589685776654412,0.5445721452643557,0.007198216200542729,-0.007198216200542729,0.5549047304468663,0.04849010864603227,1.9737253242539825,ttest,0.5597615901829481,0.5500478707107843,0.004856859736081853,-0.004856859736081964,0.4755058566395308,1.7420847149193306e-06,4.789280051701311,ttest,0.48550823649772407,0.4655034767813375,0.010002379858193244,-0.0100023798581933,0.4939331738554797,8.058799466022871e-05,3.9472281368540916,ttest,0.5030774712228642,0.4847888764880952,0.00914429736738448,-0.00914429736738448
capable,gender,0.7165512982536765,0.2830459368102166,1.0736644920713336,ttest,0.717949875262605,0.7151527212447479,0.0013985770089285365,-0.0013985770089285365,0.7010588317358193,0.30900274299850766,1.0174630406765692,ttest,0.7023263797706583,0.6997912837009804,0.0012675480348389723,-0.0012675480348388612,0.680416365765056,1.2490424558231965e-05,-4.375066996862276,ttest,0.6731636795343138,0.6876690519957983,-0.007252686230742267,0.007252686230742267,0.6778321680234594,0.015732532627219006,2.4162237856355415,ttest,0.6808850884103641,0.6747792476365546,0.003052920386904745,-0.003052920386904745,0.5619806711747198,0.18008319852042412,1.3407617293845964,ttest,0.5647419905462185,0.5592193518032212,0.002761319371498705,-0.002761319371498594
idiotic,gender,0.3713419938287815,5.364188360290432e-118,-24.008252621270355,ttest,0.350084115677521,0.39259987198004204,-0.021257878151260512,0.021257878151260512,0.37947741596638657,2.80084560002342e-123,-24.580779721707092,ttest,0.35988967852766107,0.39906515340511206,-0.019587737438725494,0.019587737438725494,0.44499805781687674,4.629383760267309e-108,-22.861165201814515,ttest,0.4149943375787815,0.475001778054972,-0.03000372023809522,0.030003720238095277,0.3394494321165966,2.615969070211096e-106,-22.67011457489067,ttest,0.3199690618434874,0.3589298023897059,-0.019480370273109227,0.019480370273109282,0.3548202044489671,6.037816884603781e-78,-19.16574047280496,ttest,0.33716511018469886,0.3724752987132353,-0.017655094264268256,0.0176550942642682
