trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,race_Black_mean_template_0,race_East Asian_mean_template_0,race_Indian_mean_template_0,race_Latino_Hispanic_mean_template_0,race_Middle Eastern_mean_template_0,race_Southeast Asian_mean_template_0,race_White_mean_template_0,race_Black_diff_from_overall_template_0,race_East Asian_diff_from_overall_template_0,race_Indian_diff_from_overall_template_0,race_Latino_Hispanic_diff_from_overall_template_0,race_Middle Eastern_diff_from_overall_template_0,race_Southeast Asian_diff_from_overall_template_0,race_White_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,race_Black_mean_template_1,race_East Asian_mean_template_1,race_Indian_mean_template_1,race_Latino_Hispanic_mean_template_1,race_Middle Eastern_mean_template_1,race_Southeast Asian_mean_template_1,race_White_mean_template_1,race_Black_diff_from_overall_template_1,race_East Asian_diff_from_overall_template_1,race_Indian_diff_from_overall_template_1,race_Latino_Hispanic_diff_from_overall_template_1,race_Middle Eastern_diff_from_overall_template_1,race_Southeast Asian_diff_from_overall_template_1,race_White_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,race_Black_mean_template_2,race_East Asian_mean_template_2,race_Indian_mean_template_2,race_Latino_Hispanic_mean_template_2,race_Middle Eastern_mean_template_2,race_Southeast Asian_mean_template_2,race_White_mean_template_2,race_Black_diff_from_overall_template_2,race_East Asian_diff_from_overall_template_2,race_Indian_diff_from_overall_template_2,race_Latino_Hispanic_diff_from_overall_template_2,race_Middle Eastern_diff_from_overall_template_2,race_Southeast Asian_diff_from_overall_template_2,race_White_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,race_Black_mean_template_3,race_East Asian_mean_template_3,race_Indian_mean_template_3,race_Latino_Hispanic_mean_template_3,race_Middle Eastern_mean_template_3,race_Southeast Asian_mean_template_3,race_White_mean_template_3,race_Black_diff_from_overall_template_3,race_East Asian_diff_from_overall_template_3,race_Indian_diff_from_overall_template_3,race_Latino_Hispanic_diff_from_overall_template_3,race_Middle Eastern_diff_from_overall_template_3,race_Southeast Asian_diff_from_overall_template_3,race_White_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,race_Black_mean_template_4,race_East Asian_mean_template_4,race_Indian_mean_template_4,race_Latino_Hispanic_mean_template_4,race_Middle Eastern_mean_template_4,race_Southeast Asian_mean_template_4,race_White_mean_template_4,race_Black_diff_from_overall_template_4,race_East Asian_diff_from_overall_template_4,race_Indian_diff_from_overall_template_4,race_Latino_Hispanic_diff_from_overall_template_4,race_Middle Eastern_diff_from_overall_template_4,race_Southeast Asian_diff_from_overall_template_4,race_White_diff_from_overall_template_4
kind,race,0.6415242854954482,0.010745864885301545,2.7826571469539356,anova,0.6379739200367647,0.6379329905790441,0.6420941521139706,0.6554960363051471,0.6279201133578431,0.6234202665441176,0.66583251953125,-0.00355036545868348,-0.0035912949164040864,0.0005698666185224299,0.013971750809698924,-0.013604172137605008,-0.018104018951330514,0.024308234035801846,0.6623216132155988,0.010136383084684557,2.8075695280941724,anova,0.6572493010876226,0.6626225490196078,0.6591081207873775,0.6739944757199755,0.6493963503370098,0.6490655637254902,0.6848149318321078,-0.0050723121279762085,0.0003009358040090282,-0.0032134924282213317,0.011672862504376713,-0.012925262878588972,-0.013256049490108612,0.02249331861650905,0.6505706872592787,0.07780104760599842,1.898142255983371,anova,0.6387879614736519,0.659512388939951,0.6543569527420343,0.6597529392616421,0.6346569584865196,0.6414986404718137,0.6654289694393383,-0.01178272578562678,0.00894170168067232,0.003786265482755624,0.009182252002363445,-0.015913728772759095,-0.009072046787464982,0.014858282180059579,0.6087454830565039,0.03528509714060505,2.2626273372879293,anova,0.6013209922640932,0.6071908988204657,0.6097262513403799,0.6234353458180147,0.5929204005821078,0.5956593232996323,0.6309651692708333,-0.007424490792410698,-0.001554584236038159,0.0009807682838760545,0.014689862761510852,-0.01582508247439607,-0.013086159756871552,0.02221968621432946,0.5853452709208683,0.03734420973456578,2.2370836945127857,anova,0.5808584175857843,0.5854389265471813,0.5849954044117647,0.5976947859221814,0.5679517558976716,0.5727402630974264,0.6077373429840687,-0.004486853335084029,9.365562631302726e-05,-0.0003498665091036246,0.012349515001313094,-0.01739351502319675,-0.012605007823441872,0.022392072063200374
inconsiderate,race,0.4215295444349615,0.028312060055146707,2.361054523928836,anova,0.42844693053002453,0.42247673483455883,0.4142185585171569,0.41294998468137256,0.4316947189031863,0.4208783318014706,0.4200415517769608,0.006917386095063038,0.0009471903995973419,-0.007310985917804602,-0.008579559753588928,0.010165174468224791,-0.000651212633490883,-0.001487992658000703,0.3908928708202031,0.0033352562845862326,3.2735897296322913,anova,0.39628259995404413,0.3939443550857843,0.38239817899816175,0.3813122319240196,0.4007056142769608,0.3929620481004902,0.3886450674019608,0.005389729133841059,0.003051484265581217,-0.008494691822041323,-0.009580638896183491,0.0098127434567577,0.0020691772802871045,-0.002247803418242267,0.4788826565782563,0.015723218939753654,2.6189892359635945,anova,0.48861490885416664,0.4809220856311274,0.4733408011642157,0.46731483609068625,0.4887762331495098,0.4815774356617647,0.4716322954963235,0.009732252275910347,0.0020394290528711334,-0.0055418554140406195,-0.011567820487570046,0.009893576571253504,0.002694779083508403,-0.007250361081932777,0.3790213790594363,0.004541325570318858,3.1456028100229543,anova,0.38686284083946076,0.38097761565563726,0.3702122108609069,0.3698486328125,0.3873891793045343,0.37774825750612745,0.38011091643688727,0.007841461780024483,0.0019562365962009776,-0.008809168198529393,-0.009172746246936259,0.008367800245098034,-0.0012731215533088314,0.0010895373774509887,0.3830317136620273,0.013170818182544751,2.6954442547751167,anova,0.38996629901960783,0.38525558172487745,0.37538679534313724,0.374569642310049,0.3920840992647059,0.3859183517156863,0.37804122625612746,0.006934585357580514,0.0022238680628501317,-0.0076449183188900816,-0.008462071351978295,0.00905238560267857,0.002886638053658963,-0.004990487405899857
hardworking,race,0.5659540085565476,3.800398645648912e-19,17.028914112272215,anova,0.5961511948529412,0.5659198835784314,0.5664440678615196,0.5674426508884803,0.5509875727634804,0.563381778492647,0.5513509114583334,0.030197186296393563,-3.4124978116278903e-05,0.0004900593049719237,0.001488642331932688,-0.014966435793067223,-0.0025722300639006157,-0.01460309709821428,0.582403684129902,8.72833196414961e-11,9.934004451537277,anova,0.5989822686887255,0.5811513863357843,0.585195982689951,0.5840107038909313,0.5738807827818627,0.5765371285232843,0.5770675359987745,0.01657858455882355,-0.0012522977941176183,0.0027922985600490335,0.0016070197610293935,-0.008522901348039236,-0.0058665556066176405,-0.005336148131127483,0.5610307111125701,9.672976681981112e-13,11.595979955722354,anova,0.588107479319853,0.5602764054840687,0.5636948529411765,0.5561700559129902,0.5551360485600491,0.5587574678308823,0.5450726677389706,0.027076768207282886,-0.0007543056285014282,0.0026641418286064145,-0.0048606551995799,-0.005894662552521024,-0.0022732432816877646,-0.015958043373599518,0.4958082354035364,3.046608365982875e-18,16.261162419695165,anova,0.5188227634803921,0.4988779105392157,0.499691712622549,0.49593817018995096,0.48088091681985295,0.49505687040441176,0.48138930376838235,0.023014528076855723,0.003069675135679295,0.00388347721901261,0.0001299347864145428,-0.014927318583683458,-0.0007513649991246485,-0.014418931635154064,0.5277158421962534,1.9167020594003125e-14,13.040026995931706,anova,0.5542470894607843,0.5255079082414216,0.5266156364889706,0.5281929764093137,0.5179768880208333,0.5204867493872549,0.5209836473651961,0.02653124726453082,-0.0022079339548318755,-0.0011002057072828642,0.0004771342130602818,-0.009738954175420145,-0.007229092808998527,-0.006732194831057359
talented,race,0.5176358433998599,1.4431635220129125e-11,10.599001025366563,anova,0.5441882563572303,0.5185269224877451,0.5100356158088235,0.5218285654105392,0.5064843271292893,0.4944235409007353,0.5279636757046569,0.02655241295737043,0.000891079087885216,-0.0076002275910364014,0.004192722010679328,-0.01115151627057065,-0.023212302499124593,0.010327832304796947,0.5156658952643557,9.894122788965692e-13,11.58750433628428,anova,0.5383525773590686,0.5129600375306372,0.5102653952205882,0.5210209865196078,0.508371151194853,0.49504203048406864,0.5236490885416667,0.022686682094712918,-0.002705857733718453,-0.005400500043767464,0.005355091255252131,-0.007294744069502701,-0.02062386478028705,0.007983193277311007,0.5278418105523459,2.334603312139492e-09,8.715816935521683,anova,0.5458443435968138,0.5362421970741421,0.5182459214154411,0.5325855928308824,0.5207663143382353,0.5026077569699755,0.5386005476409313,0.01800253304446786,0.0084003865217962,-0.00959588913690479,0.004743782278536446,-0.0070754962141106326,-0.025234053582370408,0.010758737088585435,0.44396056274072127,3.676928929137078e-10,9.401681418404198,anova,0.4686820235906863,0.44622084673713236,0.4342514935661765,0.44790326286764703,0.43357508042279413,0.42287095013786763,0.4542202818627451,0.024721460849965016,0.0022602839964110943,-0.009709069174544782,0.003942700126925769,-0.01038548231792713,-0.021089612602853636,0.010259719122023836,0.43247706309086137,1.9647696805118985e-09,8.779927356650333,anova,0.4587143841911765,0.43623022939644607,0.4263681449142157,0.4339702531403186,0.42433938419117645,0.4117419672947304,0.4359750785079657,0.026237321100315125,0.0037531663055846987,-0.006108918176645661,0.0014931900494572492,-0.00813767889968492,-0.020735095796130976,0.0034980154171043165
rude,race,0.4048095019257703,0.05424234654382393,2.0668102097836645,anova,0.4172554764093137,0.4047140682444853,0.4000852098651961,0.3937909294577206,0.4148794136795343,0.40970506855085786,0.3932363472732843,0.012445974483543398,-9.543368128500651e-05,-0.004724292060574231,-0.011018572468049714,0.010069911753763983,0.004895566625087555,-0.011573154652485984,0.3874524370294993,0.009548728597524606,2.8330018548426046,anova,0.40018478094362747,0.38766898360906865,0.3793191348805147,0.376229798560049,0.39558943206188724,0.3942002240349265,0.37897470511642156,0.012732343914128197,0.00021654657956937662,-0.008133302148984556,-0.011222638469450263,0.008136995032387961,0.006747787005427219,-0.008477731913077713,0.44620990486038165,0.007461980132910073,2.9374833033867134,anova,0.4617611155790441,0.4446480545343137,0.4431231330422794,0.43340107038909315,0.4574462890625,0.45394694010416664,0.4291427313112745,0.015551210718662445,-0.0015618503260679262,-0.0030867718181022408,-0.0128088344712885,0.011236384202118366,0.007737035243784995,-0.01706717354910714,0.380528007101278,0.05529197800479431,2.057958468295806,anova,0.39246658624387254,0.3788205614276961,0.37422952090992645,0.3714611577052696,0.3888607249540441,0.3827402152267157,0.3751172832414216,0.011938579142594552,-0.0017074456735818866,-0.006298486191351538,-0.00906684939600838,0.008332717852766125,0.002212208125437709,-0.0054107238598564145,0.3632299599527311,0.004141276214413633,3.1839427016713926,anova,0.3792190850949755,0.3634610045189951,0.35412645526960784,0.35167379940257354,0.3711459290747549,0.37211076325061276,0.35087268305759806,0.015989125142244376,0.00023104456626399372,-0.009103504683123265,-0.011556160550157568,0.007915969122023803,0.008880803297881656,-0.012357276895133051
pleasant,race,0.6663108847054446,0.00010539624804409644,4.657299276069449,anova,0.657635378370098,0.6638573740042892,0.6590557023590686,0.6807121725643382,0.6542645622702206,0.6424337948069853,0.7062172085631128,-0.008675506335346639,-0.0024535107011554036,-0.00725518234637601,0.014401287858893608,-0.012046322435224077,-0.02387708989845938,0.039906323857668125,0.6748205190279236,7.214814315567461e-05,4.805271527219754,anova,0.6624581131280637,0.6749887503829657,0.6682011623008578,0.6883030311734069,0.6633255304074754,0.6526058421415442,0.7138612036611519,-0.01236240589985993,0.00016823135504206999,-0.006619356727065817,0.013482512145483239,-0.011494988620448177,-0.02221467688637946,0.039040684633228295,0.652898605731355,0.00041085702791983044,4.120917862331649,anova,0.6395155962775735,0.6552234126072304,0.6458563112745098,0.6661970549938725,0.6411965762867647,0.6321157418045343,0.690185546875,-0.01338300945378157,0.0023248068758753293,-0.007042294456845233,0.013298449262517442,-0.011702029444590312,-0.020782863926820716,0.03728694114364495,0.6450437743456757,7.675910756519272e-05,4.7811219245412016,anova,0.6342854817708333,0.6420307234221814,0.6380033605238971,0.6594592524509804,0.6330863204656862,0.62127685546875,0.6871644263174019,-0.010758292574842399,-0.0030130509234943537,-0.007040413821778668,0.014415478105304635,-0.011957453879989477,-0.023766918876925724,0.04212065197172621,0.5816365901829482,0.00020031520557601976,4.405218160406961,anova,0.5700565113740809,0.5807121725643383,0.5707523121553308,0.5977741316253063,0.5642657111672794,0.5562847062653187,0.6316105861289828,-0.011580078808867356,-0.0009244176186099518,-0.010884278027617378,0.016137541442358128,-0.017370879015668805,-0.025351883917629547,0.04997399594603458
courageous,race,0.522644931996236,1.6804776875676674e-15,13.936041098863004,anova,0.5407920687806372,0.5017688227634803,0.5264236749387254,0.5333610983455882,0.516705441942402,0.5078953163296569,0.5315681008731618,0.018147136784401274,-0.020876109232755624,0.003778742942489477,0.01071616634935224,-0.0059394900538339845,-0.014749615666579063,0.008923168876925791,0.5155067593443627,2.989292839284206e-11,10.330101983972803,anova,0.5326856426164216,0.5006926891850491,0.5156618604473039,0.5220530790441177,0.509826899509804,0.5052298751531863,0.5223972694546568,0.017178883272058854,-0.014814070159313686,0.00015510110294114643,0.006546319699754943,-0.005679859834558765,-0.01027688419117645,0.006890510110294068,0.5393245579481792,1.4452272104854985e-12,11.447878301549226,anova,0.5623496859681373,0.5212203680300245,0.5422382429534314,0.5478419883578431,0.5310096890318627,0.525182866115196,0.5454290651807598,0.02302512801995804,-0.018104189918154767,0.0029136850052521313,0.008517430409663906,-0.008314868916316498,-0.014141691832983194,0.006104507232580603,0.4593840270483193,1.1140132577073178e-12,11.543818268922388,anova,0.47465628829656864,0.44100557215073527,0.45917705461090685,0.4704386393229167,0.4524265663296569,0.44491397633272056,0.4730700922947304,0.01527226124824932,-0.01837845489758405,-0.00020697243741246707,0.011054612274597364,-0.006957460718662434,-0.014470050715598759,0.013686065246411083,0.41166373287596286,2.446941963896516e-16,14.64535684227873,anova,0.43821399165134806,0.39360614851409315,0.4108752680759804,0.4178816253063726,0.40667461320465687,0.4010112687653186,0.4133832146139706,0.026550258775385194,-0.018057584361869716,-0.0007884647999824579,0.0062178924304097105,-0.004989119671305997,-0.010652464110644244,0.0017194817380077332
disrespectful,race,0.3769445766587885,0.007746488455082242,2.9216850668567913,anova,0.3914960075827206,0.3717921836703431,0.3724444221047794,0.3697076535692402,0.3842842850030637,0.37699908088235295,0.3718884037990196,0.014551430923932074,-0.005152392988445387,-0.004500154554009095,-0.007236923089548319,0.00733970834427522,5.45042235644555e-05,-0.005056172859768893,0.374172144443715,0.0010972157163802517,3.727419760078009,anova,0.3886184991574755,0.3710676604626226,0.36728300206801473,0.36607378791360295,0.3803277707567402,0.3740777707567402,0.37175651999080883,0.01444635471376049,-0.0031044839810924207,-0.0068891423757002634,-0.008098356530112039,0.0061556263130251865,-9.437368697479132e-05,-0.002415624452906162,0.3982107637977066,0.0003587591287824309,4.174795288360269,anova,0.41937423406862745,0.39130931181066175,0.39486036113664214,0.3882199754901961,0.4060123219209559,0.40106703814338235,0.3866321040134804,0.02116347027092086,-0.006901451987044838,-0.0033504026610644555,-0.00999078830751049,0.007801558123249286,0.0028562743456757578,-0.011578659784226175,0.3424075001094188,0.001236701364788009,3.6790452213378195,anova,0.356710755591299,0.33725274777879904,0.33881333295036764,0.33608613855698527,0.34777329388786765,0.3403222177542892,0.33989401424632354,0.014303255481880217,-0.0051547523306197385,-0.0035941671590511426,-0.006321361552433513,0.0053657937784488685,-0.0020852823551295585,-0.002513485863095244,0.33557258841036414,0.0002267427688888725,4.35637366162108,anova,0.35406494140625,0.33043930951286765,0.3303246591605392,0.32743733723958335,0.3412884880514706,0.33561628753063727,0.329837095971201,0.018492352995885863,-0.005133278897496485,-0.005247929249824923,-0.008135251170780788,0.00571589964110647,4.369912027313294e-05,-0.005735492439163159
trustworthy,race,0.5347330387233018,8.241143267393584e-11,9.955233188414924,anova,0.5221416398590686,0.524484432444853,0.521295046338848,0.5596842447916667,0.5339961033241422,0.5156762216605392,0.5658535826439951,-0.012591398864233216,-0.010248606278448813,-0.013437992384453756,0.024951206068364873,-0.0007369353991596439,-0.019056817062762632,0.0311205439206933,0.5517703614648984,3.680396152574197e-12,11.103172563887002,anova,0.5409004959405638,0.5409849877450981,0.5428636737898285,0.5746290019914215,0.5511862362132353,0.5319996553308823,0.5798284792432598,-0.010869865524334665,-0.010785373719800373,-0.008906687675069969,0.02285864052652309,-0.0005841252516631812,-0.019770706134016103,0.028058117778361313,0.5549047304468663,7.168871019207278e-10,9.154139801190897,anova,0.538253724341299,0.5482405120251226,0.5420661477481618,0.5787473192401961,0.5563835592830882,0.5350341796875,0.585607670802696,-0.016651006105567245,-0.006664218421743695,-0.012838582698704526,0.02384258879332979,0.0014788288362219681,-0.01987055075936628,0.030702940355829766,0.4755058566395308,2.47741915516782e-11,10.39945492060842,anova,0.4645009957107843,0.465127623314951,0.46532365387561275,0.49913330078125,0.47452440448835786,0.45656953699448527,0.5033614813112746,-0.01100486092874653,-0.010378233324579822,-0.010182202763918069,0.02362744414171919,-0.0009814521511729568,-0.018936319645045552,0.02785562467174374,0.4939331738554797,2.713226340711559e-11,10.365853933434494,anova,0.48121840533088234,0.48432329963235293,0.47880476409313727,0.5197203393075981,0.4933392693014706,0.47541001263786764,0.524716126685049,-0.012714768524597353,-0.009609874223126758,-0.01512840976234242,0.0257871654521184,-0.0005939045540090948,-0.01852316121761205,0.030782952829569277
capable,race,0.7165512982536765,2.9909063442922793e-20,17.96764058584919,anova,0.7155675551470588,0.7090571384803922,0.7108680874693627,0.7273849188112745,0.7185384114583333,0.6949046415441177,0.739538334865196,-0.0009837431066176405,-0.00749415977328427,-0.005683210784313775,0.010833620557598067,0.001987113204656832,-0.021646656709558787,0.022987036611519573,0.7010588317358193,3.5797377134232807e-19,17.050979990501066,anova,0.7046616498161765,0.6924306832107843,0.6946968826593137,0.7108714384191176,0.7017367493872549,0.6808665556066177,0.7221478630514706,0.0036028180803572285,-0.008628148525035018,-0.0063619490765055575,0.009812606683298308,0.0006779176514356555,-0.020192276129201603,0.02108903131565132,0.680416365765056,4.2741361658519626e-17,15.28787374989598,anova,0.6783724915747549,0.6715145335477941,0.6733901079963235,0.6954474954044118,0.6825884650735294,0.6544792624080882,0.7071222043504902,-0.002043874190301165,-0.008901832217261929,-0.007026257768732558,0.015031129639355711,0.0021720993084733964,-0.02593710335696786,0.026705838585434183,0.6778321680234594,2.8133978862709053e-16,14.594115779508003,anova,0.67783203125,0.6727074716605392,0.6694848154105392,0.6871682559742647,0.6781379250919117,0.6608465456495098,0.6986481311274509,-1.3677345933604812e-07,-0.0051246963629201225,-0.00834735261292019,0.009336087950805316,0.0003057570684523725,-0.016985622373949516,0.020815963103991586,0.5619806711747198,1.3664879795005992e-14,13.164555810225227,anova,0.5598091873468137,0.557354616651348,0.5495516907935049,0.5770330690870098,0.5640029009650736,0.53275146484375,0.5933617685355392,-0.0021714838279061066,-0.004626054523371836,-0.012428980381214982,0.015052397912289961,0.0020222297903537134,-0.029229206330969815,0.0313810973608194
