trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,Skin Tone_1_mean_template_0,Skin Tone_2_mean_template_0,Skin Tone_3_mean_template_0,Skin Tone_4_mean_template_0,Skin Tone_5_mean_template_0,Skin Tone_6_mean_template_0,Skin Tone_7_mean_template_0,Skin Tone_8_mean_template_0,Skin Tone_9_mean_template_0,Skin Tone_10_mean_template_0,Skin Tone_1_diff_from_overall_template_0,Skin Tone_2_diff_from_overall_template_0,Skin Tone_3_diff_from_overall_template_0,Skin Tone_4_diff_from_overall_template_0,Skin Tone_5_diff_from_overall_template_0,Skin Tone_6_diff_from_overall_template_0,Skin Tone_7_diff_from_overall_template_0,Skin Tone_8_diff_from_overall_template_0,Skin Tone_9_diff_from_overall_template_0,Skin Tone_10_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,Skin Tone_1_mean_template_1,Skin Tone_2_mean_template_1,Skin Tone_3_mean_template_1,Skin Tone_4_mean_template_1,Skin Tone_5_mean_template_1,Skin Tone_6_mean_template_1,Skin Tone_7_mean_template_1,Skin Tone_8_mean_template_1,Skin Tone_9_mean_template_1,Skin Tone_10_mean_template_1,Skin Tone_1_diff_from_overall_template_1,Skin Tone_2_diff_from_overall_template_1,Skin Tone_3_diff_from_overall_template_1,Skin Tone_4_diff_from_overall_template_1,Skin Tone_5_diff_from_overall_template_1,Skin Tone_6_diff_from_overall_template_1,Skin Tone_7_diff_from_overall_template_1,Skin Tone_8_diff_from_overall_template_1,Skin Tone_9_diff_from_overall_template_1,Skin Tone_10_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,Skin Tone_1_mean_template_2,Skin Tone_2_mean_template_2,Skin Tone_3_mean_template_2,Skin Tone_4_mean_template_2,Skin Tone_5_mean_template_2,Skin Tone_6_mean_template_2,Skin Tone_7_mean_template_2,Skin Tone_8_mean_template_2,Skin Tone_9_mean_template_2,Skin Tone_10_mean_template_2,Skin Tone_1_diff_from_overall_template_2,Skin Tone_2_diff_from_overall_template_2,Skin Tone_3_diff_from_overall_template_2,Skin Tone_4_diff_from_overall_template_2,Skin Tone_5_diff_from_overall_template_2,Skin Tone_6_diff_from_overall_template_2,Skin Tone_7_diff_from_overall_template_2,Skin Tone_8_diff_from_overall_template_2,Skin Tone_9_diff_from_overall_template_2,Skin Tone_10_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,Skin Tone_1_mean_template_3,Skin Tone_2_mean_template_3,Skin Tone_3_mean_template_3,Skin Tone_4_mean_template_3,Skin Tone_5_mean_template_3,Skin Tone_6_mean_template_3,Skin Tone_7_mean_template_3,Skin Tone_8_mean_template_3,Skin Tone_9_mean_template_3,Skin Tone_10_mean_template_3,Skin Tone_1_diff_from_overall_template_3,Skin Tone_2_diff_from_overall_template_3,Skin Tone_3_diff_from_overall_template_3,Skin Tone_4_diff_from_overall_template_3,Skin Tone_5_diff_from_overall_template_3,Skin Tone_6_diff_from_overall_template_3,Skin Tone_7_diff_from_overall_template_3,Skin Tone_8_diff_from_overall_template_3,Skin Tone_9_diff_from_overall_template_3,Skin Tone_10_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,Skin Tone_1_mean_template_4,Skin Tone_2_mean_template_4,Skin Tone_3_mean_template_4,Skin Tone_4_mean_template_4,Skin Tone_5_mean_template_4,Skin Tone_6_mean_template_4,Skin Tone_7_mean_template_4,Skin Tone_8_mean_template_4,Skin Tone_9_mean_template_4,Skin Tone_10_mean_template_4,Skin Tone_1_diff_from_overall_template_4,Skin Tone_2_diff_from_overall_template_4,Skin Tone_3_diff_from_overall_template_4,Skin Tone_4_diff_from_overall_template_4,Skin Tone_5_diff_from_overall_template_4,Skin Tone_6_diff_from_overall_template_4,Skin Tone_7_diff_from_overall_template_4,Skin Tone_8_diff_from_overall_template_4,Skin Tone_9_diff_from_overall_template_4,Skin Tone_10_diff_from_overall_template_4
wise,Skin Tone,0.292527797487047,0.0005212262336308524,3.34863243894452,anova,0.282274776034885,0.30212057961357963,0.25254715813530815,0.3164134555392795,0.3249166276719835,0.2780719863043891,0.26059595743815106,0.2922401958041721,0.29910458458794487,0.3169926537407769,-0.010253021452162003,0.00959278212653264,-0.039980639351738845,0.023885658052232528,0.03238883018493649,-0.014455811182657874,-0.03193184004889593,-0.00028760168287489396,0.006576787100897874,0.024464856253729905,0.3030277993943956,9.267900899029162e-08,5.806920807337035,anova,0.2857080035739475,0.2691292232937283,0.2466032240125868,0.28174421522352433,0.28604719373914933,0.28717083401150173,0.30537117852105033,0.3499007754855686,0.39795557657877606,0.32064776950412327,-0.017319795820448125,-0.03389857610066732,-0.05642457538180881,-0.021283584170871284,-0.016980605655246284,-0.015856965382893884,0.002343379126654721,0.04687297609117297,0.09492777718438045,0.017619970109727656,0.19967477056715224,7.597009412272546e-08,5.862123278857428,anova,0.20338959164089626,0.1791248321533203,0.14636431799994576,0.18899271223280165,0.1865006552802192,0.1760233243306478,0.1965007781982422,0.22528711954752603,0.25454849667019314,0.24001587761773002,0.003714821073744018,-0.02054993841383193,-0.053310452567206484,-0.010682058334350597,-0.013174115286933047,-0.023651446236504448,-0.0031739923689100558,0.02561234898037379,0.05487372610304089,0.04034110705057778,0.2656258371141222,1.1501078460056002e-05,4.454688671177358,anova,0.2505939271714952,0.2501857545640733,0.20152462853325737,0.2705516815185547,0.28347428639729816,0.2549174626668294,0.25428009033203125,0.28852711783515084,0.31527603997124565,0.2869273821512858,-0.015031909942626986,-0.015440082550048861,-0.06410120858086482,0.0049258444044325,0.01784844928317597,-0.010708374447292779,-0.011345746782090937,0.02290128072102865,0.04965020285712346,0.02130154503716364,0.19219724734624227,3.1083969411537445e-06,4.825026171573499,anova,0.17808528741200766,0.1672133339775933,0.13866368929545084,0.1766815185546875,0.1873422728644477,0.16903811030917698,0.1942977640363905,0.22545395957099068,0.2664077017042372,0.21878883573744032,-0.014111959934234614,-0.02498391336864897,-0.053533558050791435,-0.015515728791554773,-0.004854974481794561,-0.02315913703706529,0.002100516690148241,0.03325671222474841,0.07421045435799495,0.026591588391198046
unreliable,Skin Tone,0.05679986211988661,2.4012679230632664e-12,8.723243755987905,anova,0.05364280276828342,0.04529635111490885,0.044146961636013456,0.040316369798448354,0.036717520819769964,0.04810916052924262,0.0496275160047743,0.0731459723578559,0.08167240354749891,0.09532356262207031,-0.003157059351603188,-0.011503511004977755,-0.012652900483873152,-0.016483492321438253,-0.020082341300116643,-0.008690701590643987,-0.007172346115112305,0.016346110237969294,0.024872541427612305,0.038523700502183705,0.03929059505462647,4.029832363486852e-10,7.310407622839933,anova,0.03639120525783963,0.032960626814100474,0.030598216586642794,0.03178109063042535,0.030625767178005643,0.036677016152275935,0.036103778415256076,0.049376487731933594,0.05274094475640191,0.055650817023383245,-0.00289938979678684,-0.006329968240525993,-0.008692378467983673,-0.007509504424201119,-0.008664827876620824,-0.002613578902350533,-0.003186816639370392,0.010085892677307126,0.013450349701775444,0.016360221968756777,0.10400594472885132,2.4324512829573404e-14,9.99349115213807,anova,0.10018481148613824,0.08356248007880317,0.07913780212402344,0.08041434817843968,0.07057846917046441,0.09522370497385661,0.10237269931369358,0.13236459096272787,0.1381802029079861,0.1580403380923801,-0.003821133242713076,-0.02044346465004815,-0.024868142604827878,-0.02359159655041164,-0.033427475558386904,-0.008782239754994703,-0.001633245415157733,0.028358646233876558,0.03417425817913479,0.05403439336352879,0.05197193887498644,7.30266833924102e-15,10.330474953181279,anova,0.04562078581915961,0.03949745496114095,0.032917022705078125,0.03804466459486219,0.03723234600490994,0.046689629554748535,0.04807943767971463,0.07088144620259602,0.07783402336968316,0.08292257785797119,-0.0063511530558268275,-0.012474483913845487,-0.019054916169908315,-0.013927274280124247,-0.0147395928700765,-0.0052823093202379046,-0.003892501195271812,0.018909507327609584,0.02586208449469672,0.03095063898298475,0.04373780091603597,1.9735611077107737e-09,6.8730753072554185,anova,0.03964246643914117,0.03308174345228407,0.028834872775607638,0.03415287865532769,0.03421301311916775,0.03774339622921414,0.037378046247694224,0.05844713581932916,0.06375429365370008,0.07013016276889378,-0.0040953344768948005,-0.010656057463751901,-0.014902928140428331,-0.009584922260708277,-0.009524787796868217,-0.00599440468682183,-0.006359754668341745,0.014709334903293188,0.020016492737664114,0.02639236185285781
brutal,Skin Tone,0.07237294514973959,3.4133627615044626e-09,6.720914727521676,anova,0.08231820000542535,0.06823454962836371,0.06423102484809028,0.059442096286349826,0.051383124457465276,0.06166235605875651,0.06581052144368489,0.07959683736165364,0.09654087490505642,0.09450986650254992,0.009945254855685759,-0.004138395521375876,-0.008141920301649314,-0.012930848863389764,-0.020989820692274314,-0.010710589090983082,-0.006562423706054699,0.007223892211914051,0.024167929755316828,0.022136921352810326,0.06412333382500543,1.9515367261149533e-09,6.875452833674291,anova,0.07554139031304254,0.0579581790500217,0.059050401051839195,0.050437715318467885,0.042133861117892794,0.05240874820285373,0.05975898106892904,0.07143343819512261,0.08566241794162327,0.0868482059902615,0.011418056488037107,-0.006165154774983729,-0.005072932773166235,-0.013685618506537545,-0.021989472707112635,-0.011714585622151698,-0.004364352756076391,0.007310104370117185,0.02153908411661784,0.022724872165256066,0.1065804640452067,7.751533575508981e-16,10.953122782931596,anova,0.1232038074069553,0.08903879589504665,0.08048163519965278,0.07797474331325954,0.06774923536512586,0.08427728546990289,0.10073577033148871,0.12230788336859809,0.14977317386203343,0.1702623102400038,0.016623343361748602,-0.017541668150160047,-0.026098828845553923,-0.028605720731947157,-0.038831228680080834,-0.02230317857530381,-0.0058446937137179855,0.01572741932339139,0.04319270981682673,0.0636818461947971,0.03293654256396823,5.283038378225988e-09,6.600585861991176,anova,0.04285785886976454,0.029410574171278212,0.02745144897037082,0.02411180072360568,0.020037611325581864,0.02475088172488742,0.028880265023973253,0.0365264548195733,0.04731016688876682,0.04802836312188043,0.009921316305796304,-0.0035259683926900202,-0.005485093593597411,-0.008824741840362551,-0.012898931238386369,-0.008185660839080813,-0.00405627753999498,0.0035899122556050655,0.014373624324798585,0.015091820557912194,0.08659538692898221,5.200867482770926e-11,7.874792496173094,anova,0.10326904720730251,0.07247198952568902,0.06531641218397352,0.06410408020019531,0.05398795339796278,0.06352191501193577,0.07916816075642903,0.09658018747965495,0.1273847156100803,0.14014940791659886,0.016673660278320304,-0.014123397403293186,-0.021278974745008686,-0.022491306728786895,-0.03260743353101943,-0.023073471917046437,-0.007427226172553175,0.009984800550672746,0.040789328681098094,0.05355402098761665
hateful,Skin Tone,0.0460307068294949,7.259446442432684e-08,5.875290806703891,anova,0.04503038194444445,0.039170265197753906,0.036151885986328125,0.04020743899875217,0.033991495768229164,0.03699286778767904,0.0457199944390191,0.055674235026041664,0.06779734293619792,0.059571160210503474,-0.0010003248850504534,-0.006860441631740995,-0.009878820843166776,-0.005823267830742732,-0.012039211061265737,-0.009037839041815862,-0.0003107123904758022,0.009643528196546763,0.02176663610670302,0.013540453381008573,0.051516069306267634,7.503876193832663e-10,7.139710819278154,anova,0.05146492852105035,0.040775299072265625,0.039000617133246526,0.04579570558336046,0.03634431627061632,0.040925688213772245,0.052968131171332464,0.06287855572170681,0.07570309109157985,0.06930436028374566,-5.1140785217285156e-05,-0.010740770234002009,-0.012515452173021108,-0.005720363722907171,-0.015171753035651311,-0.01059038109249539,0.0014520618650648298,0.011362486415439174,0.02418702178531222,0.017788290977478027,0.09953291813532511,1.7667719602480812e-16,11.366497968069435,anova,0.09742731518215603,0.07486910290188259,0.0678248405456543,0.08132696151733398,0.06038016743130154,0.07878890302446154,0.10367086198594835,0.1271609730190701,0.1591882970598009,0.14469175868564182,-0.0021056029531690834,-0.02466381523344252,-0.03170807758967081,-0.018205956617991126,-0.03915275070402357,-0.020744015110863573,0.0041379438506232435,0.02762805488374498,0.05965537892447578,0.045158840550316715,0.04995042747921414,1.7817781782459104e-11,8.171134984571877,anova,0.05068164401584201,0.038709693484836154,0.03502602047390408,0.04296769036187066,0.034186469184027776,0.03760504722595215,0.050306373172336154,0.062093787723117404,0.07750638326009114,0.07042116589016384,0.0007312165366278739,-0.011240733994377985,-0.014924407005310059,-0.006982737117343478,-0.015763958295186363,-0.01234538025326199,0.0003559456931220145,0.012143360243903265,0.027555955780877002,0.0204707384109497,0.04868392414516873,1.630703493219194e-07,5.650701391950528,anova,0.049523883395724826,0.037324852413601346,0.03420363532172309,0.046402189466688365,0.033325910568237305,0.036306420962015785,0.04882425732082791,0.05669298436906603,0.0761410395304362,0.06809406810336643,0.0008399592505560979,-0.011359071731567381,-0.014480288823445639,-0.0022817346784803627,-0.015358013576931423,-0.012377503183152942,0.00014033317565918108,0.008009060223897302,0.027457115385267475,0.019410143958197706
respectful,Skin Tone,0.2808555867936876,0.0002968003437151745,3.5154177348385427,anova,0.2756805419921875,0.25602277119954425,0.25197484758165145,0.24962245093451607,0.2638294431898329,0.27860429551866317,0.2853279113769531,0.327545960744222,0.3427242702907986,0.2772233751085069,-0.005175044801500106,-0.024832815594143354,-0.028880739212036155,-0.031233135859171535,-0.017026143603854682,-0.0022512912750244363,0.004472324583265519,0.04669037395053438,0.061868683497111,-0.0036322116851806863,0.45006997850206165,0.47210921085175495,0.9602259530502739,anova,0.46947987874348956,0.44082048204210067,0.4492301940917969,0.43797344631618923,0.4636501736111111,0.45312584771050346,0.4406178792317708,0.47044414944118923,0.4549611409505208,0.4203965928819444,0.019409900241427913,-0.009249496459960982,-0.0008397844102647767,-0.012096532185872422,0.013580195109049453,0.003055869208441808,-0.009452099270290837,0.020374170939127578,0.004891162448459163,-0.029673385620117232,0.3701490190294054,0.0008073146818975286,3.217855158876489,anova,0.4012292226155599,0.3920580546061198,0.3668433295355903,0.40874650743272567,0.4110192192925347,0.35582860310872394,0.3329455057779948,0.3494718339708116,0.3381110297309028,0.3452368842230903,0.031080203586154487,0.02190903557671442,-0.0033056894938151005,0.03859748840332028,0.04087020026312932,-0.01432041592068145,-0.03720351325141058,-0.020677185058593783,-0.0320379892985026,-0.0249121348063151,0.3352741612328423,0.29049679538979806,1.2026029526563295,anova,0.33266279432508683,0.3145322799682617,0.3168164889017741,0.3221326404147678,0.3404448827107747,0.33516354031032985,0.3349479039510091,0.3669719696044922,0.36947207980685765,0.3195970323350694,-0.0026113669077554857,-0.020741881264580597,-0.01845767233106821,-0.013141520818074515,0.005170721477932405,-0.00011062092251246103,-0.0003262572818332199,0.03169780837164987,0.03419791857401533,-0.015677128897772896,0.26525290277269153,0.23765738010996448,1.2924211050169034,anova,0.2634797626071506,0.25544781155056423,0.23480245802137586,0.27513715955946183,0.2885748545328776,0.26508283615112305,0.2510540220472548,0.27805699242485893,0.28641234503852,0.2544807857937283,-0.0017731401655409207,-0.009805091222127305,-0.03045044475131567,0.009884256786770296,0.023321951760186088,-0.00017006662156848762,-0.014198880725436736,0.012804089652167394,0.021159442265828443,-0.010772116978963242
obnoxious,Skin Tone,0.09634815851847331,0.6315157460630568,0.7837967111308969,anova,0.08751752641465929,0.08600658840603298,0.09271176656087239,0.10521178775363499,0.09654129876030816,0.09867996639675564,0.09157996707492405,0.09013419681125218,0.1156556871202257,0.0994427998860677,-0.008830632103814018,-0.01034157011244033,-0.003636391957600918,0.00886362923516168,0.00019314024183485212,0.002331807878282327,-0.004768191443549258,-0.006213961707221133,0.01930752860175239,0.0030946413675943946,0.2061530113220215,0.0003255776878834902,3.4881082084257673,anova,0.196868896484375,0.224945068359375,0.2270389133029514,0.2489106920030382,0.23188357883029515,0.22147994571261936,0.1864132351345486,0.16737874348958334,0.18317370944552952,0.1734373304578993,-0.00928411483764649,0.01879205703735351,0.020885901980929905,0.04275768068101671,0.025730567508273655,0.015326934390597874,-0.019739776187472885,-0.03877426783243815,-0.02297930187649197,-0.03271568086412219,0.17808195220099554,0.46774337157299684,0.9653405931333684,anova,0.16408793131510416,0.18425305684407553,0.182708740234375,0.20501200358072916,0.18626615736219618,0.18293370140923393,0.16565089755588108,0.15686914655897352,0.18148252699110243,0.17155536015828451,-0.013994020885891384,0.006171104643079989,0.004626788033379459,0.026930051379733616,0.008184205161200636,0.004851749208238387,-0.012431054645114459,-0.02121280564202202,0.003400574790106886,-0.006526592042711027,0.17833880848354763,0.12974966860435175,1.5419036146040148,anova,0.1573974291483561,0.18167432149251303,0.1749598185221354,0.2099516126844618,0.1985454559326172,0.18909888797336155,0.16729821099175346,0.15705924563937718,0.18002870347764757,0.16737439897325304,-0.020941379335191523,0.003335513008965396,-0.0033789899614122265,0.03161280420091417,0.020206647449069554,0.010760079489813917,-0.011040597491794174,-0.021279562844170458,0.0016898949940999386,-0.010964409510294593,0.17366922166612414,0.440016843440056,0.9983902000994335,anova,0.15501409106784397,0.17542945014105904,0.1625849405924479,0.19646390279134116,0.1854148440890842,0.1739450560675727,0.16032197740342882,0.16319412655300564,0.19389915466308594,0.17042467329237196,-0.018655130598280167,0.0017602284749348995,-0.011084281073676233,0.022794681125217015,0.011745622422960067,0.0002758344014485714,-0.013347244262695318,-0.010475095113118504,0.020229932996961797,-0.003244548373752182
unfriendly,Skin Tone,0.07020273473527697,4.261593918535486e-11,7.929614024644201,anova,0.07134988572862414,0.056885348425971136,0.053220007154676646,0.06115086873372396,0.045411003960503474,0.05693409177992079,0.06664472156100804,0.08625210656060113,0.10748947991265191,0.09668983353508843,0.001147150993347168,-0.013317386309305831,-0.01698272758060032,-0.009051866001553006,-0.024791730774773493,-0.01326864295535618,-0.0035580131742689314,0.016049371825324163,0.037286745177374944,0.026487098799811468,0.08963860935635037,2.956757105749676e-11,8.030226155679397,anova,0.09116850958930121,0.07329940795898438,0.07168557908799914,0.07695579528808594,0.0568940904405382,0.07154999838935004,0.08712482452392578,0.10980775621202257,0.13577842712402344,0.122121704949273,0.0015299002329508399,-0.016339201397366,-0.01795303026835124,-0.012682814068264436,-0.032744518915812176,-0.018088610967000332,-0.0025137848324245926,0.0201691468556722,0.046139817767673064,0.03248309559292263,0.17254945966932508,9.278264434170801e-20,13.4971491312418,anova,0.16961563958062065,0.13486035664876303,0.12580447726779515,0.13355445861816406,0.10277281867133246,0.14683503574795193,0.1761474609375,0.21620443132188585,0.2686324649386936,0.25106745296054417,-0.0029338200887044363,-0.037689103020562054,-0.04674498240152994,-0.03899500105116102,-0.06977664099799262,-0.02571442392137316,0.0035980012681749163,0.04365497165256077,0.0960830052693685,0.07851799329121908,0.09829782115088569,1.0618551865423598e-13,9.585184089294312,anova,0.09817081027560765,0.076192749871148,0.0727987289428711,0.08223025004069011,0.06205887264675564,0.07924440171983507,0.09609874089558919,0.12200620439317492,0.1539518568250868,0.1402255958980984,-0.00012701087527804134,-0.02210507127973768,-0.025499092208014593,-0.016067571110195578,-0.03623894850413004,-0.019053419431050614,-0.0021990802552964983,0.02370838324228923,0.055654035674201116,0.04192777474721272,0.10364241798718771,1.3285798487954968e-13,9.522911884984534,anova,0.10225537088182238,0.07633860905965169,0.07131144735548231,0.08769220776028103,0.06367746988932292,0.08627661731508043,0.09944221708509657,0.13012946976555717,0.16676078902350533,0.1525399817360772,-0.00138704710536533,-0.02730380892753602,-0.0323309706317054,-0.01595021022690668,-0.039964948097864786,-0.017365800672107273,-0.004200200902091139,0.026487051778369464,0.06311837103631762,0.04889756374888948
understanding,Skin Tone,0.20249378416273328,0.0238911278253494,2.150861314998413,anova,0.18764432271321616,0.19916322496202257,0.1888707478841146,0.20549519856770834,0.2072075737847222,0.19844383663601345,0.1987067328559028,0.2175013224283854,0.22227859497070312,0.19962628682454428,-0.014849461449517126,-0.0033305592007107088,-0.013623036278618689,0.0030014144049750613,0.004713789621988929,-0.004049947526719833,-0.003787051306830491,0.015007538265652126,0.019784810807969844,-0.002867497338189001,0.19791280958387586,6.048528208165642e-05,3.9793325682757796,anova,0.1840057373046875,0.18070814344618055,0.19427914089626735,0.18921407063802084,0.18959130181206596,0.19330215454101562,0.19762674967447916,0.2179345024956597,0.23059166802300346,0.20187462700737846,-0.01390707227918836,-0.017204666137695307,-0.0036336686876085045,-0.008698738945855017,-0.0083215077718099,-0.004610655042860234,-0.000286059909396702,0.02002169291178385,0.0326788584391276,0.0039618174235026005,0.17200250625610353,0.6428213941312728,0.771659158897187,anova,0.16573429107666016,0.16996214124891493,0.156139161851671,0.1692725287543403,0.17491573757595485,0.16879420810275608,0.16930728488498265,0.18119684855143228,0.1875339084201389,0.17716895209418404,-0.0062682151794433705,-0.0020403650071885993,-0.015863344404432517,-0.0027299775017632366,0.002913231319851328,-0.003208298153347444,-0.0026952213711208817,0.009194342295328756,0.015531402164035368,0.005166445838080513,0.1316074636247423,0.002638440059094142,2.857770624142115,anova,0.11726326412624782,0.12285719977484809,0.12530559963650173,0.12994172837999132,0.1327754126654731,0.1290627055697971,0.1324191623263889,0.1434809366861979,0.1483830346001519,0.13458559248182508,-0.01434419949849447,-0.008750263849894205,-0.006301863988240564,-0.001665735244750971,0.001167949040730809,-0.0025447580549451954,0.0008116987016466015,0.011873473061455614,0.016775570975409604,0.00297812885708279,0.2358498043484158,4.911234514985945e-06,4.695914869535538,anova,0.2105127970377604,0.21219083997938368,0.21505228678385416,0.22671678331163195,0.22310638427734375,0.23444387647840711,0.2395655314127604,0.26886558532714844,0.28523847791883683,0.24280548095703125,-0.025337007310655385,-0.023658964369032115,-0.020797517564561635,-0.009133021036783845,-0.012743420071072042,-0.0014059278700086775,0.003715727064344615,0.033015780978732645,0.04938867357042104,0.0069556766086154576
affectionate,Skin Tone,0.18347436057196723,1.1250954296590878e-06,5.11064157694435,anova,0.18223953247070312,0.1975529988606771,0.21778488159179688,0.21689266628689235,0.2311454349093967,0.1860317654079861,0.15262730916341147,0.15779654184977213,0.14536327785915798,0.14730919731987846,-0.0012348281012641016,0.014078638288709866,0.03431052101982965,0.03341830571492513,0.04767107433742948,0.0025574048360188784,-0.03084705140855576,-0.0256778187221951,-0.03811108271280925,-0.03616516325208877,0.2193311373392741,6.514923616609149e-13,9.082503693551425,anova,0.22452481587727866,0.2524009280734592,0.2673100365532769,0.2785943349202474,0.2857261233859592,0.22008694542778862,0.17757860819498697,0.1620044708251953,0.15251180860731336,0.17257330152723524,0.005193678538004565,0.03306979073418512,0.04797889921400281,0.05926319758097329,0.06639498604668512,0.0007558080885145257,-0.04175252914428712,-0.05732666651407878,-0.06681932873196073,-0.04675783581203885,0.12031021383073595,2.770041142870891e-07,5.502404510125745,anova,0.11486456129286024,0.13534005482991537,0.14169226752387154,0.1470470428466797,0.1617033216688368,0.12264188130696614,0.09098148345947266,0.09172717730204265,0.09269438849555121,0.1044099595811632,-0.0054456525378757115,0.015029840999179422,0.02138205369313559,0.026736829015943736,0.04139310783810085,0.0023316674762301898,-0.029328730371263295,-0.028583036528693304,-0.027615825335184738,-0.015900254249572754,0.19103750652737087,3.511358939959345e-11,7.982375439676068,anova,0.17955493927001953,0.21713087293836805,0.22853215535481772,0.24218029446072048,0.25536515977647567,0.196239259507921,0.15213118659125435,0.15018018086751303,0.1390864054361979,0.149974611070421,-0.011482567257351334,0.026093366410997187,0.03749464882744685,0.051142787933349615,0.0643276532491048,0.005201752980550145,-0.03890631993611651,-0.040857325659857835,-0.05195110109117296,-0.041062895456949855,0.20368709299299453,6.330975934629893e-14,9.727953206208106,anova,0.17965337965223524,0.24229558308919272,0.22704309887356228,0.28651724921332467,0.29670355055067277,0.20216491487291124,0.15718862745496961,0.1428633001115587,0.14163573582967123,0.1608054902818468,-0.024033713340759294,0.038608490096198184,0.023356005880567743,0.08283015622033013,0.09301645755767823,-0.0015221781200832896,-0.04649846553802492,-0.06082379288143583,-0.0620513571633233,-0.04288160271114774
disrespectful,Skin Tone,0.03776128821902805,1.7899284224524434e-08,6.2641955983351325,anova,0.03593571980794271,0.02566218376159668,0.02759430143568251,0.03290390968322754,0.027114391326904297,0.035856008529663086,0.04330666859944662,0.04435284932454427,0.05366219414605035,0.05122465557522244,-0.001825568411085339,-0.01209910445743137,-0.01016698678334554,-0.004857378535800511,-0.010646896892123753,-0.0019052796893649637,0.005545380380418567,0.0065915611055162235,0.0159009059270223,0.01346336735619439,0.060433199670579696,8.129210899493099e-10,7.117427256691953,anova,0.05594083997938368,0.04498974482218424,0.04825729793972439,0.05401068263583713,0.04530567593044705,0.05457178751627604,0.06785329182942708,0.07262208726671007,0.08037524753146702,0.08040534125434028,-0.004492359691196018,-0.015443454848395453,-0.012175901730855303,-0.006422517034742566,-0.015127523740132647,-0.0058614121543036565,0.007420092158847383,0.012188887596130377,0.019942047860887324,0.01997214158376058,0.08617433177100288,1.0461847828511114e-14,10.228520999026568,anova,0.07720618777804905,0.06404283311631945,0.06409486134847005,0.07584465874565972,0.05881818135579427,0.07545638084411621,0.09244547949896918,0.10633659362792969,0.12516985999213326,0.12232828140258789,-0.008968143992953828,-0.022131498654683432,-0.022079470422532832,-0.010329673025343156,-0.027356150415208606,-0.010717950926886669,0.006271147727966303,0.020162261856926808,0.03899552822113038,0.03615394963158501,0.06754760079913669,1.4922074258379627e-13,9.49162298769129,anova,0.060427877638075084,0.0454528464211358,0.04678185780843099,0.05643982357449002,0.04712687598334418,0.05947335561116537,0.07737869686550564,0.08736970689561632,0.09781763288709852,0.097207334306505,-0.007119723161061603,-0.02209475437800089,-0.020765742990705695,-0.011107777224646669,-0.020420724815792504,-0.00807424518797132,0.00983109606636895,0.019822106096479636,0.030270032087961835,0.029659733507368308,0.05366203122668796,1.8271061801660648e-13,9.436232322343578,anova,0.04324950112236871,0.03442434469858805,0.03527885013156467,0.04904264873928494,0.038297547234429255,0.04986095428466797,0.060915999942355685,0.06870529386732313,0.07916630638970269,0.0776788658565945,-0.01041253010431925,-0.019237686528099908,-0.01838318109512329,-0.004619382487403019,-0.015364483992258704,-0.0038010769420199902,0.007253968715667726,0.015043262640635172,0.025504275163014734,0.024016834629906544
