trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,age_20-29_mean_template_0,age_30-39_mean_template_0,age_40-49_mean_template_0,age_50-59_mean_template_0,age_60-69_mean_template_0,age_20-29_diff_from_overall_template_0,age_30-39_diff_from_overall_template_0,age_40-49_diff_from_overall_template_0,age_50-59_diff_from_overall_template_0,age_60-69_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,age_20-29_mean_template_1,age_30-39_mean_template_1,age_40-49_mean_template_1,age_50-59_mean_template_1,age_60-69_mean_template_1,age_20-29_diff_from_overall_template_1,age_30-39_diff_from_overall_template_1,age_40-49_diff_from_overall_template_1,age_50-59_diff_from_overall_template_1,age_60-69_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,age_20-29_mean_template_2,age_30-39_mean_template_2,age_40-49_mean_template_2,age_50-59_mean_template_2,age_60-69_mean_template_2,age_20-29_diff_from_overall_template_2,age_30-39_diff_from_overall_template_2,age_40-49_diff_from_overall_template_2,age_50-59_diff_from_overall_template_2,age_60-69_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,age_20-29_mean_template_3,age_30-39_mean_template_3,age_40-49_mean_template_3,age_50-59_mean_template_3,age_60-69_mean_template_3,age_20-29_diff_from_overall_template_3,age_30-39_diff_from_overall_template_3,age_40-49_diff_from_overall_template_3,age_50-59_diff_from_overall_template_3,age_60-69_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,age_20-29_mean_template_4,age_30-39_mean_template_4,age_40-49_mean_template_4,age_50-59_mean_template_4,age_60-69_mean_template_4,age_20-29_diff_from_overall_template_4,age_30-39_diff_from_overall_template_4,age_40-49_diff_from_overall_template_4,age_50-59_diff_from_overall_template_4,age_60-69_diff_from_overall_template_4
corrupt,age,0.07044328374355113,0.0006170259039832153,4.9076433838375175,anova,0.07181118449577097,0.07685523473915934,0.07159890781263677,0.07050965680461638,0.06144143486557221,0.0013679007522198333,0.006411950995608207,0.001155624069085634,6.637306106524465e-05,-0.009001848877978925,0.06331012976937601,9.123248219612412e-68,87.48966009778046,anova,0.03556294000449301,0.04828698561639011,0.06898599378868979,0.08322098675896139,0.08049374267834575,-0.027747189764883003,-0.015023144152985904,0.0056758640193137755,0.019910856989585377,0.017183612908969734,0.1212426962972689,1.6315561755418185e-56,71.94334052788896,anova,0.08169835622237176,0.10105325394317884,0.12484446293165703,0.14568493412990197,0.15293247425923495,-0.03954434007489714,-0.020189442354090065,0.0036017666343881316,0.024442237832633065,0.03168977796196605,0.017435225719163394,3.626323679460394e-15,18.825039377727062,anova,0.0120401242200066,0.015688226336524596,0.019508310392791148,0.021010484348158207,0.01892898329833642,-0.005395101499156793,-0.0017469993826387982,0.0020730846736277536,0.0035752586289948124,0.0014937575791730273,0.09977555795877921,1.037765102064554e-75,98.64024380537832,anova,0.050666614072997364,0.07431864003841282,0.1132607500092322,0.13531532608160451,0.12531645959164917,-0.049108943885781846,-0.02545691792036639,0.013485192050452996,0.035539768122825305,0.025540901632869956
unfair,age,0.05768713857613358,0.00011937318334338543,5.816482651176778,anova,0.05252205557515975,0.0554373391202184,0.05822903502221201,0.06227710200291054,0.05997016116016719,-0.005165083000973826,-0.0022497994559151774,0.0005418964460784312,0.0045899634267769635,0.0022830225840336157,0.07288102115235742,4.6846389133061295e-23,28.59081751282382,anova,0.05908100544905462,0.06811768133767179,0.07627646395472251,0.08346198586856618,0.07746796915177204,-0.013800015703302804,-0.00476333981468563,0.0033954428023650896,0.010580964716208757,0.0045869479994146145,0.11498784083946079,1.7600373722837964e-30,37.91673332878586,anova,0.09492069532891281,0.104212314808736,0.11480285473564426,0.12838274958420867,0.13262058973980217,-0.020067145510547973,-0.010775526030724791,-0.00018498610381652292,0.013394908744747885,0.01763274890034139,0.045507976521297,1.8421006350843837e-16,20.41474298497672,anova,0.03500338963099888,0.0411247819745574,0.04696982514624502,0.05304383563728226,0.05139805021740142,-0.010504586890298116,-0.004383194546739598,0.0014618486249480256,0.007535859115985262,0.00589007369610442,0.07832049628933604,6.752381855162852e-54,68.38470909628614,anova,0.05611218791715905,0.06600838882916447,0.08334555746126576,0.0946015857514881,0.09153476148760285,-0.022208308372176994,-0.01231210746017157,0.005025061171929718,0.01628108946215205,0.013214265198266809
vengeful,age,0.23402198770133054,1.3012057402059857e-06,8.275952478477302,anova,0.21134269137342437,0.23079153536414565,0.24513052291228993,0.25020242471988796,0.23264276413690477,-0.022679296327906162,-0.003230452337184886,0.011108535210959392,0.016180437018557425,-0.0013792235644257689,0.2670025822829132,5.206427894288774e-06,7.525728090025631,anova,0.24601168592436976,0.2651767249868697,0.27622699470413165,0.28219236913515405,0.26540513666404064,-0.020990896358543426,-0.0018258572960434538,0.009224412421218464,0.015189786852240872,-0.0015974456188725394,0.2285072134322479,0.00016378172969216828,5.642314172816746,anova,0.20852857744660364,0.22318624715511204,0.23155866350446427,0.24185411469275211,0.23740846436230742,-0.019978635985644255,-0.005320966277135852,0.003051450072216383,0.013346901260504224,0.008901250930059529,0.27391695936186977,4.5928034501675654e-12,15.001315294000525,anova,0.2405913537289916,0.2674993092940301,0.2851579596682423,0.2954867493872549,0.28084942473082986,-0.033325605632878175,-0.006417650067839675,0.01124100030637254,0.021569790025385116,0.0069324653689600835,0.26512875169599087,4.298759656929942e-15,18.727888767252008,anova,0.22609644443714985,0.25668138349089636,0.2784752084427521,0.2899293017988445,0.2744614203103116,-0.03903230725884102,-0.008447368205094508,0.013346456746761215,0.024800550102853647,0.00933266861432075
knowledgeable,age,0.35360856256565126,2.2354273109928924e-187,281.8715806248735,anova,0.26116960456057425,0.2855323770133053,0.33200389530812324,0.4002087162990196,0.4891282196472339,-0.09243895800507701,-0.06807618555234596,-0.02160466725752802,0.046600153733368344,0.13551965708158265,0.4429411217612045,7.004396367446095e-198,301.3578794719138,anova,0.3415219603466387,0.37368287158613445,0.4257238051470588,0.4967529980742297,0.5770239736519608,-0.1014191614145658,-0.06925825017507004,-0.01721731661414566,0.0538118763130252,0.1340828518907563,0.3031181613270308,5.113171066370816e-169,247.6679465292885,anova,0.20525798209908963,0.23396775702468486,0.28309866427039565,0.35529026063550423,0.4379761426054797,-0.09786017922794116,-0.06915040430234592,-0.020019497056635138,0.05217209930847344,0.1348579812784489,0.4408421107700893,2.410353469375118e-213,331.5651086996152,anova,0.33280162650997897,0.3719539695761117,0.42707375919117646,0.4964254256390056,0.5759557729341737,-0.10804048426011031,-0.06888814119397757,-0.013768351578912819,0.05558331486891632,0.13511366216408438,0.334370110348827,1.2595507953624393e-190,287.6236996480088,anova,0.21846311766894258,0.25597563244047616,0.31638505011379553,0.39690820175726543,0.4841185497636555,-0.11590699267988444,-0.07839447790835086,-0.01798506023503149,0.06253809140843841,0.14974843941482846
arrogant,age,0.23811173639377625,9.367534830313259e-05,5.949693755906202,anova,0.2191732283733806,0.23630367674413516,0.2439171713607318,0.24966353728991597,0.2415010682007178,-0.01893850802039565,-0.0018080596496410917,0.005805434966955542,0.011551800896139719,0.003389331806941537,0.25657620470063025,0.015587130441624547,3.0712755839331645,anova,0.24313551104035364,0.2579037962841387,0.2613450165222339,0.2640683470653887,0.2564283525910364,-0.013440693660276615,0.001327591583508425,0.004768811821603658,0.007492142364758425,-0.00014785210959383788,0.21400537998402486,0.011317008422935555,3.2579301805246357,anova,0.20162852738751752,0.21266024720435048,0.21659393737963936,0.22368170901172968,0.21546247893688725,-0.012376852596507337,-0.0013451327796743795,0.0025885573956145047,0.009676329027704822,0.00145709895286239,0.2025731532847514,7.305565574135865e-08,9.82638625989527,anova,0.18280918324360995,0.19871089304862571,0.20764433703168766,0.21499992819393382,0.20870142490589985,-0.019763970041141443,-0.003862260236125681,0.00507118374693627,0.012426774909182425,0.006128271621148457,0.1767570602459734,2.4607213583410514e-12,15.334661470378183,anova,0.15295923056722688,0.17078324860217525,0.18672278481705182,0.19066463865819766,0.18265539858521534,-0.023797829678746524,-0.005973811643798149,0.009965724571078416,0.013907578412224259,0.005898338339241943
skillful,age,0.3425945036217612,4.847231946525253e-11,13.742768202513698,anova,0.36141788258272056,0.3590490517496061,0.34222335174304097,0.3315422848827031,0.3187399471507353,0.01882337896095937,0.016454548127844915,-0.0003711518787202217,-0.011052218739058095,-0.02385455647102591,0.5294755011379552,9.343802927395524e-17,20.777661231525332,anova,0.5519055278361344,0.5492281873686975,0.5307883895745799,0.5184657847514006,0.4969896161589636,0.022430026698179284,0.019752686230742333,0.001312888436624693,-0.011009716386554569,-0.032485884978991575,0.353294120382528,5.40088101158534e-31,38.56345162574929,anova,0.38819385175945376,0.37640637309611347,0.35430138852415966,0.3379487537202381,0.3096202348126751,0.03489973137692576,0.02311225271358547,0.0010072681416316565,-0.015345366662289917,-0.04367388556985291,0.388408372382156,0.00029159549281071196,5.323744016924895,anova,0.4005363742176558,0.40277847589231003,0.3862281606978729,0.3795148918942577,0.3729839592086835,0.012128001835499835,0.014370103510154053,-0.002180211684283062,-0.008893480487898286,-0.015424413173472484,0.3861565426952031,1.1960292369735572e-44,56.13837318426293,anova,0.42937975971638653,0.4218387550332633,0.39486771271008403,0.36454777223389356,0.32014871378238796,0.043223217021183424,0.03568221233806018,0.00871117001488092,-0.021608770461309545,-0.06600782891281515
courteous,age,0.5220958891369047,5.128669742896078e-06,7.533868114044385,anova,0.5560664329208246,0.5323723972010679,0.5172580751050421,0.5053937468542105,0.49938879360337884,0.03397054378391984,0.010276508064163137,-0.004837814031862675,-0.016702142282694288,-0.0227070955335259,0.4865321226146709,2.2094522592066882e-08,10.468027557182449,anova,0.5243481547892594,0.5029484938506653,0.4825933547247024,0.4667887540758491,0.45598185563287813,0.037816032174588565,0.01641637123599443,-0.0039387678899684975,-0.019743368538821804,-0.03055026698179275,0.37099904292771796,2.1575270574398866e-09,11.713905696376262,anova,0.41276652873063285,0.39196076379770656,0.36832220681241246,0.3474672461758141,0.33447846912202384,0.041767485802914894,0.020961720869988598,-0.002676836115305503,-0.023531796751903866,-0.03652057380569412,0.47106845545835524,0.004276992364258145,3.817678369391228,anova,0.4955966639585522,0.4801707120836616,0.46537357618828784,0.4600881368172269,0.4541131882440476,0.024528208500196935,0.009102256625306338,-0.005694879270067399,-0.010980318641128362,-0.016955267214307623,0.34237928203507967,4.9479071852072424e-12,14.961530215788203,anova,0.38570842155221463,0.36411479875153185,0.3442400336599484,0.3179496316348805,0.29988352457682294,0.04332913951713496,0.021735516716452186,0.0018607516248687062,-0.024429650400199177,-0.04249575745825673
vulgar,age,0.050269154139927455,0.0009378753549639093,4.674014681422811,anova,0.04483927665304403,0.051637526653727894,0.0533384007900035,0.054380635921360734,0.04714993068150112,-0.005429877486883422,0.0013683725138004393,0.0030692466500760462,0.004111481781433279,-0.003119223458426336,0.053779165016836813,1.4759129298552614e-05,6.959847371977476,anova,0.05051689254803484,0.056680332044927347,0.058565497732296044,0.05704348695044424,0.046089615808481595,-0.003262272468801973,0.002901167028090533,0.004786332715459231,0.003264321933607428,-0.007689549208355219,0.06598470564983806,7.58756269295998e-08,9.806143611019406,anova,0.05460633350019695,0.06505920239189426,0.0708117231267507,0.07374222271916579,0.0657040465111826,-0.01137837214964111,-0.0009255032579437994,0.004827017476912637,0.0077575170693277296,-0.00028065913865546466,0.036828834469578846,1.1174641781388155e-05,7.1111709287033325,anova,0.03127498252719056,0.03795920834153974,0.04040431174911371,0.04080054873511905,0.03370512099493118,-0.005553851942388284,0.0011303738719608963,0.003575477279534861,0.003971714265540202,-0.0031237134746476686,0.045250290782511735,1.9376894707805195e-11,14.233008915459703,anova,0.03316668769558605,0.04479320109391413,0.051938684714608496,0.053387842258485425,0.04296503814996457,-0.012083603086925687,-0.00045708968859760335,0.006688393932096762,0.00813755147597369,-0.002285252632547162
capable,age,0.45490496980042017,1.2863308481725875e-22,28.041837645015185,anova,0.4231702446603641,0.4362269810267857,0.4544626444327731,0.46833181514793415,0.4923331637342437,-0.03173472514005604,-0.01867798877363447,-0.0004423253676470451,0.013426845347513983,0.03742819393382352,0.5916728214723389,2.602080336596635e-07,9.143535083801629,anova,0.6031381302521008,0.6010612252713585,0.5985261292016807,0.5870973389355743,0.5685412837009803,0.011465308779761929,0.009388403799019618,0.006853307729341784,-0.004575482536764652,-0.023131537771358568,0.2798384466091124,6.944282433287702e-38,47.365072494563826,anova,0.3307689164533001,0.31005064379267333,0.28834999576002274,0.2525811288871017,0.2174415481524641,0.0509304698441877,0.03021219718356094,0.008511549150910347,-0.027257317722010677,-0.06239689845664828,0.41548742299654234,5.8064678711042366e-18,22.26768924902135,anova,0.38146442659094887,0.39916692995557596,0.41536697686887253,0.43010089778098737,0.45133788378632705,-0.034022996405593475,-0.01632049304096639,-0.00012044612766981544,0.014613474784445024,0.03585046078978471,0.342743039598652,2.4267928161001495e-36,45.38027605696527,anova,0.39106447022168245,0.3765412659204307,0.35668791442358194,0.31621519457392333,0.2732063528536415,0.04832143062303046,0.0337982263217787,0.013944874824929954,-0.026527845024728658,-0.06953668674501051
racist,age,0.04454294947349057,2.4836266176013743e-05,6.676246155158765,anova,0.04037704254064907,0.042269778852703194,0.04420757560836835,0.04757476721157213,0.0482855831541601,-0.004165906932841502,-0.002273170620787378,-0.0003353738651222238,0.0030318177380815603,0.00374263368066953,0.044609270175965894,2.8754829653403624e-13,16.481767128246968,anova,0.03920509701683408,0.04138356964795195,0.04444718561252626,0.048782305891106444,0.04922819271141073,-0.005404173159131817,-0.003225700528013943,-0.00016208456343963507,0.0041730357151405495,0.004618922535444839,0.0461424637909363,2.270992730600135e-31,39.04521187295715,anova,0.036592841482296044,0.039829441145354624,0.044278612323835786,0.05178089302127101,0.05823053098192402,-0.009549622308640253,-0.006313022645581673,-0.0018638514671005108,0.00563842923033471,0.01208806719098772,0.029061565880014115,8.73394522208348e-14,17.11881794641427,anova,0.0253187227649849,0.026832922500054708,0.028986388561772367,0.031865865242581407,0.032303930330677195,-0.0037428431150292145,-0.0022286433799594066,-7.517731824174811e-05,0.002804299362567292,0.003242364450663081,0.0314618900042622,1.989301109905082e-18,22.84487219754415,anova,0.023030796638723847,0.02600691832748114,0.03143826920111306,0.037672112301952033,0.03916135355204094,-0.008431093365538354,-0.005454971676781061,-2.3620803149139447e-05,0.0062102222976898325,0.007699463547778736
