trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,gender_Female_mean_template_0,gender_Male_mean_template_0,gender_Female_diff_from_overall_template_0,gender_Male_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,gender_Female_mean_template_1,gender_Male_mean_template_1,gender_Female_diff_from_overall_template_1,gender_Male_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,gender_Female_mean_template_2,gender_Male_mean_template_2,gender_Female_diff_from_overall_template_2,gender_Male_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,gender_Female_mean_template_3,gender_Male_mean_template_3,gender_Female_diff_from_overall_template_3,gender_Male_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,gender_Female_mean_template_4,gender_Male_mean_template_4,gender_Female_diff_from_overall_template_4,gender_Male_diff_from_overall_template_4
corrupt,gender,0.07044328374355113,3.2883695957667964e-05,-4.15787106830259,ttest,0.06561999494622067,0.0752665725408816,-0.0048232887973304606,0.0048232887973304606,0.06331012976937601,5.552410606401495e-68,-17.95693250375403,ttest,0.042355252113662846,0.08426500742508918,-0.020954877655713168,0.02095487765571316,0.1212426962972689,6.637085102498103e-71,-18.299303658466933,ttest,0.0897283815870098,0.152757011007528,-0.0315143147102591,0.0315143147102591,0.017435225719163394,1.3057711253401018e-38,-13.212389306058373,ttest,0.01171713569918934,0.023153315739137453,-0.005718090019974054,0.005718090019974059,0.09977555795877921,7.970554287873347e-131,-25.87951457306702,ttest,0.052386568641128325,0.1471645472764301,-0.047388989317650884,0.0473889893176509
unfair,gender,0.05768713857613358,0.3208439207986264,0.9928633851644524,ttest,0.05836686847590599,0.05700740867636117,0.0006797298997724133,-0.0006797298997724063,0.07288102115235742,2.190376834894339e-20,-9.310125626787219,ttest,0.06509040597440148,0.08067163633031338,-0.007790615177955942,0.007790615177955956,0.11498784083946079,4.770658712780601e-30,-11.496481551466964,ttest,0.10135470692183124,0.12862097475709033,-0.013633133917629547,0.013633133917629547,0.045507976521297,4.5735890442397404e-07,-5.0528050655997685,ttest,0.04159725306748676,0.04941869997510723,-0.003910723453810237,0.00391072345381023,0.07832049628933604,2.4129024600760484e-30,-11.557103559676076,ttest,0.06730806580444677,0.08933292677422532,-0.011012430484889271,0.011012430484889271
vengeful,gender,0.23402198770133054,4.99066133536974e-23,-9.952020698797472,ttest,0.21094611672794117,0.2570978586747199,-0.023075870973389367,0.023075870973389367,0.2670025822829132,1.4732075945917135e-14,-7.722890965133592,ttest,0.2497186569940476,0.2842865075717787,-0.017283925288865576,0.01728392528886552,0.2285072134322479,4.464503723070503e-29,-11.292941278697446,ttest,0.20077817259716388,0.25623625426733193,-0.027729040835084012,0.02772904083508404,0.27391695936186977,3.858454411224604e-21,-9.49681617632675,ttest,0.25082898393732495,0.29700493478641454,-0.023087975424544827,0.02308797542454477,0.26512875169599087,1.4501349547562386e-38,-13.1459231999874,ttest,0.23132543056285015,0.29893207282913165,-0.03380332113314072,0.03380332113314077
knowledgeable,gender,0.35360856256565126,2.828388265519281e-41,-13.634313395627393,ttest,0.3169997100402661,0.3902174150910364,-0.03660885252538515,0.03660885252538515,0.4429411217612045,1.293689412760552e-66,-17.611130177373727,ttest,0.3951705291491597,0.4907117143732493,-0.047770592612044804,0.047770592612044804,0.3031181613270308,1.6789943699079198e-88,-20.529482506915894,ttest,0.24550466671043417,0.36073165594362744,-0.05761349461659662,0.05761349461659665,0.4408421107700893,1.0150734703591767e-49,-15.056970604835751,ttest,0.39934386352197127,0.4823403580182073,-0.041498247248118014,0.041498247248118014,0.334370110348827,3.8493055560037196e-69,-17.96879746705111,ttest,0.2781607662596289,0.3905794544380252,-0.05620934408919814,0.0562093440891982
arrogant,gender,0.23811173639377625,3.72093179869201e-59,-16.53104906623487,ttest,0.20341943906468837,0.27280403372286416,-0.03469229732908788,0.03469229732908791,0.25657620470063025,3.660164702920849e-48,-14.807040267025755,ttest,0.2262620770964636,0.28689033230479694,-0.030314127604166657,0.030314127604166685,0.21400537998402486,6.524358634483798e-63,-17.086008763467802,ttest,0.18106545840992647,0.24694530155812325,-0.03293992157409839,0.03293992157409839,0.2025731532847514,1.5194263779408038e-66,-17.61084955063369,ttest,0.17162456779586835,0.23352173877363444,-0.030948585488883046,0.030948585488883046,0.1767570602459734,2.194800346845711e-114,-23.63045380724947,ttest,0.13660030418417368,0.21691381630777312,-0.04015675606179972,0.04015675606179972
skillful,gender,0.3425945036217612,0.6411094868963421,0.4661884576524404,ttest,0.34363736705619746,0.3415516401873249,0.0010428634344362697,-0.0010428634344362697,0.5294755011379552,0.3550031269584968,-0.9250487242587219,ttest,0.5273845084908964,0.531566493785014,-0.002090992647058809,0.002090992647058809,0.353294120382528,3.208348461906515e-10,-6.3063314348325274,ttest,0.3387518874737395,0.36783635329131653,-0.014542232908788477,0.014542232908788533,0.388408372382156,0.5417201659621642,-0.6102725777491763,ttest,0.38685304444043245,0.38996370032387956,-0.0015553279417235277,0.0015553279417235832,0.3861565426952031,6.081923339654786e-17,-8.405489997267289,ttest,0.3629064907212885,0.40940659466911766,-0.02325005197391461,0.023250051973914554
courteous,gender,0.5220958891369047,4.68992311803656e-59,16.508610965724635,ttest,0.5829263297115721,0.4612654485622374,0.060830440574667355,-0.060830440574667355,0.4865321226146709,7.783110263356978e-59,16.47566164465358,ttest,0.5481887090773809,0.4248755361519608,0.06165658646271005,-0.061656586462710106,0.37099904292771796,7.68630578169457e-60,16.62861121740299,ttest,0.43836098892682074,0.3036370969286152,0.06736194599910278,-0.06736194599910278,0.47106845545835524,7.3065826385591e-52,15.400558412551417,ttest,0.5297549464121586,0.41238196450455183,0.05868649095380335,-0.058686490953803405,0.34237928203507967,2.331002185438448e-57,16.255101882276165,ttest,0.4062771666283701,0.27848139744178924,0.06389788459329043,-0.06389788459329043
vulgar,gender,0.050269154139927455,5.2330323046390604e-17,-8.427231593947074,ttest,0.043157704671223956,0.05738060360863095,-0.0071114494687034985,0.0071114494687034985,0.053779165016836813,4.505027463899482e-08,-5.482337879880389,ttest,0.048444969113133535,0.05911336092054009,-0.005334195903703279,0.005334195903703279,0.06598470564983806,8.027648511762008e-14,-7.501037279212062,ttest,0.05792547487745098,0.07404393642222513,-0.008059230772387085,0.008059230772387072,0.036828834469578846,1.181590021916475e-18,-8.86951094587096,ttest,0.030558830282601323,0.04309883865655637,-0.006270004186977523,0.006270004186977526,0.045250290782511735,1.2284304644812767e-30,-11.628453008673485,ttest,0.033623941138344986,0.05687664042667848,-0.011626349644166749,0.011626349644166749
capable,gender,0.45490496980042017,0.024607559626578533,-2.248463265305311,ttest,0.44971428024334736,0.46009565935749297,-0.005190689557072803,0.005190689557072803,0.5916728214723389,2.8703986839968636e-24,10.238845278130047,ttest,0.6128241530987395,0.5705214898459384,0.021151331626400593,-0.021151331626400482,0.2798384466091124,0.12305333938502482,-1.54244844865504,ttest,0.2750239011620273,0.2846529920561975,-0.004814545447085095,0.004814545447085095,0.41548742299654234,0.9032520734017554,0.12156287963545769,ttest,0.4158024293701856,0.41517241662289917,0.00031500637364323403,-0.0003150063736431785,0.342743039598652,5.780231077676996e-06,4.5411493889063195,ttest,0.357816056109944,0.32767002308735993,0.015073016511292003,-0.015073016511292059
racist,gender,0.04454294947349057,1.8863812595197496e-12,-7.070560167062031,ttest,0.04052166978852088,0.04856422915846026,-0.004021279684969695,0.004021279684969688,0.044609270175965894,3.1069250664292134e-13,-7.320416242631402,ttest,0.041115250574106595,0.048103289777825194,-0.0034940196018592995,0.0034940196018592995,0.0461424637909363,1.007083218285185e-37,-13.010584395445651,ttest,0.03830794860668877,0.053976978975183824,-0.007834515184247527,0.007834515184247527,0.029061565880014115,4.3749067896696967e-13,-7.273980760364609,ttest,0.026700933974664085,0.03142219778536415,-0.0023606319053500295,0.002360631905350033,0.0314618900042622,1.4062569432687672e-40,-13.562501630976676,ttest,0.02274018001823532,0.04018359999028909,-0.00872170998602688,0.008721709986026886
