trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,race_Black_mean_template_0,race_East Asian_mean_template_0,race_Indian_mean_template_0,race_Latino_Hispanic_mean_template_0,race_Middle Eastern_mean_template_0,race_Southeast Asian_mean_template_0,race_White_mean_template_0,race_Black_diff_from_overall_template_0,race_East Asian_diff_from_overall_template_0,race_Indian_diff_from_overall_template_0,race_Latino_Hispanic_diff_from_overall_template_0,race_Middle Eastern_diff_from_overall_template_0,race_Southeast Asian_diff_from_overall_template_0,race_White_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,race_Black_mean_template_1,race_East Asian_mean_template_1,race_Indian_mean_template_1,race_Latino_Hispanic_mean_template_1,race_Middle Eastern_mean_template_1,race_Southeast Asian_mean_template_1,race_White_mean_template_1,race_Black_diff_from_overall_template_1,race_East Asian_diff_from_overall_template_1,race_Indian_diff_from_overall_template_1,race_Latino_Hispanic_diff_from_overall_template_1,race_Middle Eastern_diff_from_overall_template_1,race_Southeast Asian_diff_from_overall_template_1,race_White_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,race_Black_mean_template_2,race_East Asian_mean_template_2,race_Indian_mean_template_2,race_Latino_Hispanic_mean_template_2,race_Middle Eastern_mean_template_2,race_Southeast Asian_mean_template_2,race_White_mean_template_2,race_Black_diff_from_overall_template_2,race_East Asian_diff_from_overall_template_2,race_Indian_diff_from_overall_template_2,race_Latino_Hispanic_diff_from_overall_template_2,race_Middle Eastern_diff_from_overall_template_2,race_Southeast Asian_diff_from_overall_template_2,race_White_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,race_Black_mean_template_3,race_East Asian_mean_template_3,race_Indian_mean_template_3,race_Latino_Hispanic_mean_template_3,race_Middle Eastern_mean_template_3,race_Southeast Asian_mean_template_3,race_White_mean_template_3,race_Black_diff_from_overall_template_3,race_East Asian_diff_from_overall_template_3,race_Indian_diff_from_overall_template_3,race_Latino_Hispanic_diff_from_overall_template_3,race_Middle Eastern_diff_from_overall_template_3,race_Southeast Asian_diff_from_overall_template_3,race_White_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,race_Black_mean_template_4,race_East Asian_mean_template_4,race_Indian_mean_template_4,race_Latino_Hispanic_mean_template_4,race_Middle Eastern_mean_template_4,race_Southeast Asian_mean_template_4,race_White_mean_template_4,race_Black_diff_from_overall_template_4,race_East Asian_diff_from_overall_template_4,race_Indian_diff_from_overall_template_4,race_Latino_Hispanic_diff_from_overall_template_4,race_Middle Eastern_diff_from_overall_template_4,race_Southeast Asian_diff_from_overall_template_4,race_White_diff_from_overall_template_4
corrupt,race,0.07044328374355113,4.4634660685107074e-20,17.82040521493114,anova,0.0668280657599954,0.05774832332835478,0.07052097694546569,0.06529114667107078,0.08049949571198108,0.05783281513288909,0.0943821626551011,-0.003615217983555727,-0.012694960415196355,7.76932019145582e-05,-0.005152137072480356,0.010056211968429943,-0.012610468610662041,0.02393887891154997,0.06331012976937601,8.493559824641703e-52,45.75745942436788,anova,0.06989373599781709,0.03575765385347254,0.07079681321686389,0.08130950927734375,0.07472711824903301,0.0465208464977788,0.064165231293323,0.006583606228441077,-0.02755247591590347,0.007486683447487874,0.017999379507967733,0.011416988479656998,-0.016789283271597212,0.00085510152394698,0.1212426962972689,4.361164512601018e-44,38.73895093503527,anova,0.1377728630514706,0.07870285931755515,0.1358127369600184,0.13958411123238357,0.1444208780924479,0.09939826516544117,0.11300716026156557,0.0165301667542017,-0.04253983697971375,0.014570040662749487,0.018341414935114667,0.023178181795179012,-0.021844431131827727,-0.00823553603570333,0.017435225719163394,4.7284192933434575e-42,36.955454667369914,anova,0.020686471228506052,0.008557506636077275,0.021785251767027607,0.02112587760476505,0.01998635740841136,0.01245938843371821,0.01744572695563821,0.003251245509342658,-0.008877719083086119,0.0043500260478642125,0.003690651885601654,0.002551131689247966,-0.004975837285445183,1.050123647481499e-05,0.09977555795877921,1.3795630992732364e-49,43.7151954714115,anova,0.11050914689606312,0.05320058336444929,0.10882123311360677,0.13413862340590532,0.12077307981603286,0.07104448804668352,0.09994175106871361,0.010733588937283906,-0.04657497459432992,0.009045675154827557,0.03436306544712611,0.020997521857253648,-0.02873106991209569,0.00016619310993440384
unfair,race,0.05768713857613358,2.800022367908449e-23,20.550268085380836,anova,0.06186445647594976,0.04663035074869792,0.06495977663526348,0.05989254222196691,0.06198081222234988,0.04703548655790441,0.0614465451708027,0.00417731789981618,-0.01105678782743566,0.0072726380591299,0.002205403645833333,0.0042936736462163005,-0.010651652018229166,0.0037594065946691194,0.07288102115235742,2.233263404457767e-31,27.527441132407034,anova,0.07081867292815563,0.057595107134650735,0.07613584481033625,0.0827169979319853,0.0831342659744562,0.0601507448682598,0.07961551441865809,-0.0020623482242017876,-0.015285914017706688,0.003254823657978828,0.009835976779627872,0.010253244822098773,-0.01273027628409762,0.00673449326630067,0.11498784083946079,6.612760354697823e-32,27.984352620402717,anova,0.12978922526041667,0.09045458026960784,0.12431281594669118,0.12329795687806372,0.12543311025582107,0.09813794902726716,0.11348924823835785,0.014801384420955882,-0.024533260569852944,0.00932497510723039,0.008310116038602933,0.010445269416360287,-0.016849891812193624,-0.0014985926011029382,0.045507976521297,1.1717143827220512e-21,19.16733736322335,anova,0.0432045581294041,0.033544095357259114,0.05615271026012944,0.051210366043390014,0.05015274496639476,0.03569575291053922,0.048595607981962316,-0.0023034183918928947,-0.011963881164037883,0.010644733738832443,0.005702389522093017,0.004644768445097765,-0.00981222361075778,0.003087631460665319,0.07832049628933604,6.9625165747604175e-43,37.657675237568505,anova,0.0988391352634804,0.05795297061695772,0.08784810982498469,0.08330646589690564,0.08376013063916973,0.062075626148897056,0.07446103563495711,0.020518638974144354,-0.020367525672378324,0.00952761353564864,0.004985969607569599,0.0054396343498336885,-0.01624487014043899,-0.003859460654378935
vengeful,race,0.23402198770133054,2.6586826045596234e-29,25.725390763520096,anova,0.2455710018382353,0.1862816904105392,0.26996352251838235,0.24960075827205883,0.25807531020220587,0.21293275122549019,0.21572887944240196,0.011549014136904762,-0.04774029729079132,0.03594153481705181,0.01557877057072829,0.02405332250087533,-0.02108923647584035,-0.018293108258928575,0.2670025822829132,3.9978675589485213e-17,15.312659292761971,anova,0.2535357306985294,0.23737601485906862,0.3000789866727941,0.28183306525735297,0.28930472579656863,0.25688859528186275,0.2500009574142157,-0.013466851584383766,-0.029626567423844563,0.03307640438988091,0.014830482974439785,0.022302143513655448,-0.010113987001050428,-0.017001624868697496,0.2285072134322479,7.821534527247171e-17,15.06556594562157,anova,0.23061810661764706,0.191659486060049,0.2608913047640931,0.23867690142463235,0.25278822954963237,0.21610490387561274,0.20881156173406862,0.002110893185399171,-0.03684772737219888,0.03238409133184522,0.010169687992384463,0.02428101611738448,-0.012402309556635155,-0.019695651698179273,0.27391695936186977,6.147398677917966e-23,20.258000952937532,anova,0.27612591911764706,0.2288241517310049,0.30612386067708336,0.2909581801470588,0.3011608647365196,0.25252230775122547,0.26170343137254903,0.0022089597557772844,-0.04509280763086487,0.03220690131521359,0.01704122078518905,0.027243905374649824,-0.0213946516106443,-0.012213527989320738,0.26512875169599087,6.093734232725062e-27,23.689875125842843,anova,0.2655816770067402,0.21452277688419116,0.3035275926776961,0.2866031422334559,0.29475384880514705,0.24374688840379902,0.24716533586090686,0.0004529253107493081,-0.05060597481179971,0.03839884098170521,0.021474390537465027,0.029625097109156173,-0.021381863292191855,-0.017963415835084012
knowledgeable,race,0.35360856256565126,2.3924479333544627e-14,12.958404030585335,anova,0.3896340762867647,0.3234595205269608,0.3860227098651961,0.34431678921568626,0.34802389705882353,0.3257735906862745,0.35802935431985294,0.036025513721113456,-0.030149042038690455,0.03241414729954484,-0.009291773349965005,-0.005584665506827735,-0.02783497187937678,0.004420791754201681,0.4429411217612045,3.119707819093007e-17,15.403829621357168,anova,0.486962890625,0.41400984221813725,0.4771254595588235,0.4403617110906863,0.43623812806372547,0.41044730392156864,0.4354425168504902,0.044021768863795496,-0.028931279543067234,0.034184337797619035,-0.0025794106705182007,-0.006702993697479009,-0.03249381783963584,-0.007498604910714302,0.3031181613270308,1.7925627688460653e-23,20.715250591900045,anova,0.35726629518995096,0.2718429266237745,0.35109169155943626,0.28960319967830883,0.29857871859681373,0.27608618642769606,0.2773581112132353,0.05414813386292017,-0.03127523470325627,0.04797353023240547,-0.013514961648721957,-0.004539442730217058,-0.027031974899334732,-0.025760050113795507,0.4408421107700893,2.195225136831044e-22,19.785735284958843,anova,0.4973020067401961,0.39897843903186275,0.4628006280637255,0.4475231694240196,0.4298716825597427,0.408447265625,0.44097158394607844,0.05645989597010681,-0.04186367173822653,0.021958517293636237,0.006681058653930316,-0.010970428210346606,-0.03239484514508928,0.00012947317598915875,0.334370110348827,5.3710793265674974e-11,10.113565217725121,anova,0.36530043658088235,0.3061389399509804,0.373226868872549,0.3302145565257353,0.3288282207414216,0.3000167547487745,0.33686499502144607,0.030930326232055327,-0.028231170397846617,0.038856758523722,-0.00415555382309174,-0.005541889607405426,-0.03435335560005254,0.0024948846726190466
arrogant,race,0.23811173639377625,2.394755451487337e-68,61.178445582722645,anova,0.2313332950367647,0.17450812844669117,0.26526273839613973,0.276327454810049,0.2624536850873162,0.19490105124080884,0.2619958017386642,-0.006778441357011555,-0.06360360794708508,0.027151002002363478,0.03821571841627275,0.02434194869353995,-0.043210685152967415,0.02388406534488796,0.25657620470063025,8.288007717112569e-63,55.918440232701236,anova,0.23507391237745098,0.19961248659620098,0.28400591681985293,0.2932717715992647,0.28493269378063724,0.21897044462316176,0.2801662071078431,-0.021502292323179267,-0.05696371810442927,0.027429712119222682,0.03669556689863446,0.028356489080006986,-0.03760576007746849,0.023590002407212873,0.21400537998402486,1.0267528255043979e-73,66.34812126151616,anova,0.21814443550857843,0.14983759861366422,0.24323993757659312,0.24871778301164216,0.2330011106004902,0.17478769339767156,0.23030910117953432,0.00413905552455357,-0.06416778137036064,0.029234557592568267,0.0347124030276173,0.01899573061646534,-0.0392176865863533,0.016303721195509463,0.2025731532847514,2.1072705133385068e-78,70.93357731058671,anova,0.1969439338235294,0.14578881357230392,0.2298708448223039,0.23768047257965685,0.22252197265625,0.16412604836856617,0.2210799871706495,-0.005629219461221996,-0.05678433971244748,0.027297691537552515,0.03510731929490546,0.019948819371498616,-0.03844710491618522,0.018506833885898105,0.1767570602459734,1.2090909725776765e-109,103.08303914397055,anova,0.16720377604166667,0.11662651510799632,0.1941195618872549,0.21365894990808823,0.20461437748927697,0.12662287693397672,0.21445336435355392,-0.009553284204306733,-0.06013054513797708,0.017362501641281503,0.03690188966211483,0.027857317243303564,-0.05013418331199668,0.037696304107580514
skillful,race,0.3425945036217612,7.640013049940629e-08,7.414337015177079,anova,0.36913009344362746,0.3513558182061887,0.3435623468137255,0.3349657245710784,0.33073287664675244,0.3193368949142157,0.3490777707567402,0.026535589821866268,0.008761314584427526,0.0009678431919643016,-0.007628779050682766,-0.011861626975008754,-0.023257608707545507,0.006483267134978987,0.5294755011379552,2.6661078500710054e-07,6.944849418851517,anova,0.5459884344362745,0.5487161075367647,0.5425149356617647,0.525085209865196,0.5111596200980392,0.5163162530637255,0.5165479473039216,0.016512933298319377,0.019240606398809534,0.013039434523809512,-0.004390291272759139,-0.018315881039915993,-0.013159248074229635,-0.012927553834033545,0.353294120382528,2.783439877045503e-09,8.650434821392794,anova,0.3876512714460784,0.35987189797794117,0.36094324448529413,0.34987074908088234,0.3421338848039216,0.33376321231617645,0.33882458256740194,0.03435715106355042,0.00657777759541317,0.007649124102766136,-0.0034233713016456613,-0.011160235578606403,-0.01953090806635155,-0.014469537815126055,0.388408372382156,7.831087227486034e-08,7.405067703006276,anova,0.4172162224264706,0.3924597646675858,0.38290345435049017,0.39472704120710783,0.3721355961818321,0.36105143229166664,0.3983650955499387,0.02880785004431463,0.004051392285429833,-0.005504918031665806,0.006318668824951856,-0.016272776200323857,-0.027356940090489335,0.009956723167782733,0.3861565426952031,1.4024836595041272e-09,8.90510989902717,anova,0.41511757046568626,0.415753293504902,0.39078488817401963,0.37839068244485297,0.3583376416973039,0.3721478630514706,0.37256385952818627,0.02896102777048315,0.02959675080969887,0.00462834547881652,-0.007765860250350143,-0.027818900997899187,-0.014008679643732536,-0.013592683167016839
courteous,race,0.5220958891369047,2.659074211674002e-05,5.192485458449677,anova,0.5524093328737745,0.5363803040747549,0.5038313323376226,0.5079196107153799,0.488229429955576,0.5269648533241421,0.5389363606770833,0.030313443736869727,0.014284414937850154,-0.018264556799282183,-0.014176278421524802,-0.033866459181328745,0.004868964187237368,0.016840471540178537,0.4865321226146709,0.00016843957749512292,4.473439597417683,anova,0.5080334233302696,0.506112611060049,0.46734451593137255,0.47043241613051473,0.45603051279105394,0.49275740081188724,0.505013978247549,0.021501300715598692,0.01958048844537813,-0.01918760668329833,-0.01609970648415615,-0.030501609823616938,0.006225278197216355,0.01848185563287813,0.37099904292771796,0.00891117709578781,2.8623627922715364,anova,0.3812981100643382,0.39086411420036765,0.36242262896369487,0.36068641812193625,0.33891410079656864,0.374185240502451,0.38862268784466913,0.010299067136620266,0.019865071272649693,-0.008576413964023089,-0.010312624805781712,-0.03208494213114932,0.0031861975747330407,0.017623644916951176,0.47106845545835524,6.365110467121471e-06,5.7418396539061645,anova,0.5077253753063725,0.4821456609987745,0.4507885502833946,0.45709234499463847,0.4345656451056985,0.4788638844209559,0.486297727098652,0.03665691984801728,0.011077205540419244,-0.020279905174960644,-0.013976110463716773,-0.036502810352656734,0.007795428962600659,0.015229271640296749,0.34237928203507967,8.478924610230782e-06,5.632089844705495,anova,0.3698468376608456,0.3507347555721507,0.3173314113242953,0.3431803684608609,0.30536762312346816,0.33630828857421874,0.3738856895297181,0.027467555625765916,0.008355473537071056,-0.025047870710784348,0.00080108642578125,-0.03701165891161151,-0.0060709934608609295,0.031506407494638455
vulgar,race,0.050269154139927455,3.946014473048834e-37,32.56342086025362,anova,0.06354196585860906,0.03472725363338695,0.04664754680558747,0.051373620126761645,0.05150293088426777,0.03857430850758272,0.06551645316329657,0.01327281171868161,-0.015541900506540508,-0.003621607334339985,0.0011044659868341897,0.0012337767443403175,-0.011694845632344734,0.015247299023369118,0.053779165016836813,5.661477037502968e-22,19.43685217774574,anova,0.07014148188572304,0.040787700578278185,0.050730379889993106,0.05323235006893382,0.05385221593520221,0.04227501364315257,0.06543501311657475,0.01636231686888623,-0.012991464438558628,-0.0030487851268437074,-0.0005468149479029918,7.305091836539573e-05,-0.01150415137368424,0.011655848099737937,0.06598470564983806,8.110287426991052e-31,27.042007386474012,anova,0.08555920170802696,0.04629690132889093,0.06815466787300858,0.06880684646905637,0.06466387580422794,0.05252057243795956,0.07589087392769608,0.019574496058188895,-0.019687804320947133,0.0021699622231705212,0.002822140819218305,-0.0013208298456101192,-0.013464133211878504,0.009906168277858021,0.036828834469578846,5.018978331323336e-38,33.35365542615892,anova,0.04919239118987439,0.02315208584654565,0.03652681088915058,0.038762904148475795,0.036882393032896754,0.02653231153301164,0.046752944647097124,0.012363556720295543,-0.013676748623033197,-0.00030202358042826644,0.0019340696788969491,5.355856331790837e-05,-0.010296522936567205,0.009924110177518278,0.045250290782511735,3.206041094732925e-54,47.97489976556353,anova,0.0645170623180913,0.023256518794041055,0.04128003026924881,0.05278643439797794,0.0439878127154182,0.028759286917892157,0.06216489006491269,0.01926677153557957,-0.02199377198847068,-0.0039702605132629215,0.007536143615466208,-0.0012624780670935365,-0.016491003864619578,0.016914599282400952
capable,race,0.45490496980042017,3.0673510588736644e-13,12.018964584732869,anova,0.4505438112745098,0.439178347120098,0.4527113970588235,0.47889571844362744,0.4367977366727941,0.43720224417892156,0.4890055338541667,-0.004361158525910347,-0.015726622680322155,-0.00219357274159665,0.02399074864320727,-0.018107233127626077,-0.017702725621498605,0.03410056405374651,0.5916728214723389,3.650268194513631e-12,11.106212222895106,anova,0.6107613357843137,0.5765625,0.5974800857843138,0.6021867340686274,0.5661276424632353,0.5766773897058823,0.6119140625,0.01908851431197478,-0.015110321472338928,0.005807264311974869,0.010513912596288533,-0.02554517900910358,-0.014995431766456568,0.020241241027661117,0.2798384466091124,5.331174862485056e-08,7.54916505619466,anova,0.30231646369485293,0.2716949462890625,0.2616269579120711,0.2987262800628064,0.252380490770527,0.26340774835324754,0.3087162391812194,0.022478017085740543,-0.008143500320049901,-0.01821148869704131,0.018887833453693992,-0.0274579558385854,-0.01643069825586485,0.028877792572106986,0.41548742299654234,2.4548487227023963e-16,14.644146633638343,anova,0.43370648552389707,0.3924359489889706,0.40123458563112746,0.4417681525735294,0.3922357297411152,0.3949223537071078,0.452108704810049,0.018219062527354724,-0.023051474007571737,-0.014252837365414883,0.026280729576987072,-0.02325169325542714,-0.020565069289434523,0.036621281813506656,0.342743039598652,3.050908074279463e-14,12.86892210151022,anova,0.3618030024509804,0.32768111883425244,0.31635383157169117,0.3722973393458946,0.3183292164522059,0.3135118671492034,0.3892249013863358,0.019059962852328416,-0.01506192076439955,-0.02638920802696082,0.029554299747242607,-0.02441382314644608,-0.02923117244944856,0.04648186178768382
racist,race,0.04454294947349057,3.6760783728005207e-175,181.14815993839312,anova,0.0901910520067402,0.02838302313112745,0.05275756237553615,0.04142767214307598,0.0332028632070504,0.037106921626072306,0.028731551824831496,0.04564810253324963,-0.016159926342363122,0.00821461290204558,-0.003115277330414591,-0.011340086266440175,-0.007436027847418265,-0.015811397648659076,0.044609270175965894,2.6453719190372925e-136,133.04590010399926,anova,0.07818256452971814,0.032903768502029716,0.05021883646647136,0.042811165603936885,0.03629171708050896,0.040471215341605395,0.03138562370749081,0.033573294353752246,-0.011705501673936178,0.005609566290505463,-0.0017981045720290093,-0.008317553095456932,-0.0041380548343604995,-0.013223646468475084,0.0461424637909363,4.686632814036506e-128,123.71170080968794,anova,0.0827859317555147,0.03132312251072304,0.056300144569546566,0.04427933038449755,0.03676588021072687,0.04238365023743872,0.029159186868106618,0.0366434679645784,-0.014819341280213255,0.010157680778610269,-0.0018631334064387467,-0.00937658358020943,-0.003758813553497574,-0.01698327692282968,0.029061565880014115,9.711095175861277e-108,101.11368175058092,anova,0.04737985648360907,0.021857646867340687,0.034902363197476256,0.028352924421721815,0.023247483197380514,0.026890025419347426,0.02080066157322304,0.018318290603594953,-0.007203919012673428,0.005840797317462142,-0.0007086414582922994,-0.005814082682633601,-0.0021715404606666884,-0.008260904306791075,0.0314618900042622,6.311563938211943e-68,60.82345654897161,anova,0.06979465858609069,0.01767738566679113,0.03305692859724456,0.032429683909696694,0.023252129087261125,0.023304359585631127,0.020718084597120098,0.038332768581828484,-0.013784504337471071,0.0015950385929823577,0.0009677939054344928,-0.008209760917001076,-0.008157530418631074,-0.010743805407142103
