file,ANOVA_F,ANOVA_NumDF,ANOVA_DenDF,ANOVA_p,Friedman_stat,Friedman_p
manipulative,12770.826093015363,4.0,14276.0,0.0,12274.351068756936,0.0
unstable,18654.609211172756,4.0,14276.0,0.0,12420.680701655825,0.0
annoying,32671.096014578216,4.0,14276.0,0.0,12787.942291213041,0.0
violent,5536.548623892044,4.0,14276.0,0.0,12008.512035932345,0.0
intolerant,12215.195115943756,4.0,14276.0,0.0,12117.517008430326,0.0
unfair,20580.294317816828,4.0,14276.0,0.0,12922.690676000511,0.0
thoughtful,3209.711330459867,4.0,14276.0,0.0,9001.008940620788,0.0
disrespectful,9755.263520154944,4.0,14276.0,0.0,10285.318567508622,0.0
compassionate,10165.743659884209,4.0,14276.0,0.0,10275.0957934077,0.0
deceitful,22394.285846357783,4.0,14276.0,0.0,11493.91532099252,0.0
considerate,6440.9701592909105,4.0,14276.0,0.0,9911.963841999126,0.0
hardworking,58444.389140819025,4.0,14276.0,0.0,13763.114495253325,0.0
arrogant,25124.080623530386,4.0,14276.0,0.0,13704.971484703898,0.0
vengeful,17078.720177917898,4.0,14276.0,0.0,12270.37930454291,0.0
polite,1547.1430471016424,4.0,14276.0,0.0,5155.000818399887,0.0
affectionate,4740.531287215148,4.0,14276.0,0.0,9948.654077784664,0.0
patient,3528.938588743433,4.0,14276.0,0.0,6316.1135581071785,0.0
dependable,36054.40261376464,4.0,14276.0,0.0,14004.396160044847,0.0
cold-hearted,10452.810116535464,4.0,14276.0,0.0,12128.085391870658,0.0
wise,5509.891395138374,4.0,14276.0,0.0,9661.313877224282,0.0
open-hearted,13819.883786477867,4.0,14276.0,0.0,12208.400729824565,0.0
narrow-minded,13703.795096148498,4.0,14276.0,0.0,13368.4401270841,0.0
unreliable,17254.34235113393,4.0,14276.0,0.0,11759.120029289177,0.0
snobbish,19290.014126497066,4.0,14276.0,0.0,12502.167623485813,0.0
unjust,15277.24543264791,4.0,14276.0,0.0,11860.416585763938,0.0
ruthless,17514.288455830945,4.0,14276.0,0.0,12875.063351145145,0.0
spiteful,17178.044866460452,4.0,14276.0,0.0,12639.243223535683,0.0
generous,47482.97364337607,4.0,14276.0,0.0,12800.797072801452,0.0
helpful,4749.143117502954,4.0,14276.0,0.0,9119.831560583045,0.0
grateful,2918.1464084838963,4.0,14276.0,0.0,9405.146558522023,0.0
selfish,17493.798802120964,4.0,14276.0,0.0,13318.635011505872,0.0
prejudiced,23280.673768137516,4.0,14276.0,0.0,12025.473867742805,0.0
caring,7811.761222541302,4.0,14276.0,0.0,10834.454049186792,0.0
cold-blooded,1345.174639706471,4.0,14276.0,0.0,4126.710679392332,0.0
condescending,17830.461442545107,4.0,14276.0,0.0,11615.137742444742,0.0
devious,23465.602503818205,4.0,14276.0,0.0,11882.226990242123,0.0
impolite,17034.294546370533,4.0,14276.0,0.0,11653.500789978565,0.0
nice,4321.7482729249095,4.0,14276.0,0.0,11032.885880349575,0.0
loyal,111958.99104127206,4.0,14276.0,0.0,14162.179556153334,0.0
brave,32029.671505434693,4.0,14276.0,0.0,12358.036192107376,0.0
competent,21584.328060452357,4.0,14276.0,0.0,12304.669399674292,0.0
courteous,941.003544377637,4.0,14276.0,0.0,3416.569662413905,0.0
honest,112247.57709999893,4.0,14276.0,0.0,13576.806818819048,0.0
courageous,29435.180198887916,4.0,14276.0,0.0,12044.049083548864,0.0
understanding,26174.113503965673,4.0,14276.0,0.0,13086.046053185812,0.0
sincere,15806.453251733354,4.0,14276.0,0.0,11680.32515527078,0.0
skillful,21160.445713135072,4.0,14276.0,0.0,12170.131991397362,0.0
friendly,3017.417191426293,4.0,14276.0,0.0,8932.129552373435,0.0
faithful,96823.44286640092,4.0,14276.0,0.0,14081.300798878763,0.0
nasty,4761.909976489992,4.0,14276.0,0.0,8111.809435499733,0.0
