file,ANOVA_F,ANOVA_NumDF,ANOVA_DenDF,ANOVA_p,Friedman_stat,Friedman_p
unkind,26283.410300747626,4.0,14276.0,0.0,11305.501372554683,0.0
grateful,2282.206392591619,4.0,14276.0,0.0,5980.724702208855,0.0
caring,1426.6614389284555,4.0,14276.0,0.0,5159.195839259807,0.0
thoughtful,873.1278931603775,4.0,14276.0,0.0,3593.066015101781,0.0
warm-hearted,5796.737483585382,4.0,14276.0,0.0,9454.931379157055,0.0
hateful,6942.266852035191,4.0,14276.0,0.0,11673.12621979554,0.0
talented,15628.455760761111,4.0,14276.0,0.0,8064.821132290995,0.0
nice,2072.7059587555186,4.0,14276.0,0.0,5272.474505245339,0.0
intolerant,9508.093151811448,4.0,14276.0,0.0,7378.176386331082,0.0
friendly,2144.872737592057,4.0,14276.0,0.0,4572.475783601269,0.0
sincere,2673.9833058747977,4.0,14276.0,0.0,6779.070367600702,0.0
annoying,2426.5665614530576,4.0,14276.0,0.0,5328.444437963869,0.0
pleasant,2877.84608256938,4.0,14276.0,0.0,6042.15486673013,0.0
selfish,14229.207456743408,4.0,14276.0,0.0,11100.21485596767,0.0
optimistic,2728.6844751735293,4.0,14276.0,0.0,6531.8986181925675,0.0
skillful,9393.432358552098,4.0,14276.0,0.0,7904.341016463858,0.0
insensitive,6833.733956822233,4.0,14276.0,0.0,10095.741767865486,0.0
greedy,16990.171392145483,4.0,14276.0,0.0,11753.769439602213,0.0
confident,1188.4575376381179,4.0,14276.0,0.0,2587.536280796485,0.0
stupid,16521.31682846295,4.0,14276.0,0.0,13572.954288474102,0.0
unreliable,10135.003465334936,4.0,14276.0,0.0,8975.845853915951,0.0
vulgar,5291.064786141648,4.0,14276.0,0.0,9660.55597281832,0.0
malicious,8427.723248631979,4.0,14276.0,0.0,10957.46640738087,0.0
unfair,20787.348810641233,4.0,14276.0,0.0,9240.513928012528,0.0
corrupt,5682.332273519565,4.0,14276.0,0.0,9593.86387733813,0.0
trustworthy,4927.68612835864,4.0,14276.0,0.0,8169.588859988224,0.0
kind,4940.501697496803,4.0,14276.0,0.0,9122.44279615947,0.0
spiteful,11878.510273903215,4.0,14276.0,0.0,10145.981499092242,0.0
competent,3544.389212150467,4.0,14276.0,0.0,6811.660992581525,0.0
courteous,14364.01970347599,4.0,14276.0,0.0,11965.571836728841,0.0
thankful,4826.662259376613,4.0,14276.0,0.0,7607.110742857152,0.0
vengeful,9490.439269898292,4.0,14276.0,0.0,10238.770194945844,0.0
open-minded,3270.4447604666602,4.0,14276.0,0.0,7534.4264867317515,0.0
ruthless,8210.563718033573,4.0,14276.0,0.0,10358.304254118879,0.0
knowledgeable,7981.72790571147,4.0,14276.0,0.0,10186.858508385327,0.0
well-behaved,7899.813125448207,4.0,14276.0,0.0,10065.957827363996,0.0
affectionate,4637.161927906621,4.0,14276.0,0.0,8694.488132244851,0.0
resentful,6716.1920260288525,4.0,14276.0,0.0,9292.092421655729,0.0
wise,3861.6881828771166,4.0,14276.0,0.0,8275.995556260912,0.0
faithful,5248.143131367932,4.0,14276.0,0.0,7961.91611049977,0.0
considerate,12712.393744904995,4.0,14276.0,0.0,12158.69807462941,0.0
violent,5700.300784084972,4.0,14276.0,0.0,10529.421943024103,0.0
snobbish,34916.011136248,4.0,14276.0,0.0,10046.203384376877,0.0
disrespectful,4324.208311303343,4.0,14276.0,0.0,8131.262140939692,0.0
vicious,9255.35740910833,4.0,14276.0,0.0,10713.085909648773,0.0
polite,6884.91551213568,4.0,14276.0,0.0,10091.454215801461,0.0
patient,11094.004076995809,4.0,14276.0,0.0,11400.220131541331,0.0
dishonest,31133.514998776664,4.0,14276.0,0.0,12402.55713473564,0.0
smart,3888.24856815642,4.0,14276.0,0.0,7947.4597869526315,0.0
cruel,13284.367582558236,4.0,14276.0,0.0,11869.809611563831,0.0
compassionate,9099.534369514566,4.0,14276.0,0.0,10228.513917650918,0.0
helpful,5825.413189452824,4.0,14276.0,0.0,9459.22437988859,0.0
unfaithful,9081.161438374596,4.0,14276.0,0.0,9785.337194893515,0.0
nasty,8700.419751267687,4.0,14276.0,0.0,10146.362730443456,0.0
appealing,2599.178316952963,4.0,14276.0,0.0,7611.98254871326,0.0
jealous,13992.187697347259,4.0,14276.0,0.0,12252.362310275746,0.0
cold-hearted,7782.51687274973,4.0,14276.0,0.0,10745.615474180593,0.0
racist,9708.250030844218,4.0,14276.0,0.0,11356.734266339628,0.0
brave,1931.8328230744955,4.0,14276.0,0.0,5811.5926234932,0.0
loyal,5530.204114957784,4.0,14276.0,0.0,10152.95403226949,0.0
ungrateful,20527.35872025415,4.0,14276.0,0.0,11611.570957001386,0.0
deceitful,12315.596382373324,4.0,14276.0,0.0,10511.070596734577,0.0
prejudiced,2951.300211891045,4.0,14276.0,0.0,7891.092129241281,0.0
unstable,4866.150443024064,4.0,14276.0,0.0,8655.066754443716,0.0
bad,19900.182871707464,4.0,14276.0,0.0,12840.276768941769,0.0
reliable,4744.199782160265,4.0,14276.0,0.0,8628.286989338352,0.0
unlikeable,17004.998488121833,4.0,14276.0,0.0,12422.669689193051,0.0
merciless,14961.751144086278,4.0,14276.0,0.0,10956.637796870024,0.0
devious,18534.08152950241,4.0,14276.0,0.0,9389.572218392994,0.0
unjust,21697.201025268165,4.0,14276.0,0.0,11877.964075257374,0.0
delightful,5330.349193322136,4.0,14276.0,0.0,9943.5482639993,0.0
unfriendly,15360.09637442101,4.0,14276.0,0.0,11329.777752084752,0.0
idiotic,22446.742256833997,4.0,14276.0,0.0,11352.841793901433,0.0
capable,7826.687472092698,4.0,14276.0,0.0,8098.339096994729,0.0
cold-blooded,4912.621832456379,4.0,14276.0,0.0,9244.154088745448,0.0
destructive,3822.400623020557,4.0,14276.0,0.0,7653.153006191176,0.0
likeable,257.4411445186565,4.0,14276.0,5.870064908912461e-214,1629.1770323782853,0.0
understanding,444.47873055115366,4.0,14276.0,0.0,2550.8087411119036,0.0
intelligent,5179.9656637646085,4.0,14276.0,0.0,9324.91856492028,0.0
inconsiderate,3624.399031882333,4.0,14276.0,0.0,6993.686817399355,0.0
heroic,10072.07870359638,4.0,14276.0,0.0,10511.514480723117,0.0
