file,ANOVA_F,ANOVA_NumDF,ANOVA_DenDF,ANOVA_p,Friedman_stat,Friedman_p
ungrateful,22767.276250198745,4.0,14276.0,0.0,13005.39796032725,0.0
nasty,25198.34912557989,4.0,14276.0,0.0,12682.464628918846,0.0
unfaithful,23169.327342663026,4.0,14276.0,0.0,12560.742123033386,0.0
merciless,15656.089109641138,4.0,14276.0,0.0,11507.835096618697,0.0
cold-blooded,15674.296615377823,4.0,14276.0,0.0,11964.262448510668,0.0
courageous,1675.3184535780556,4.0,14276.0,0.0,4269.351461971918,0.0
snobbish,19780.55173894118,4.0,14276.0,0.0,12179.650424500542,0.0
violent,24738.20401462232,4.0,14276.0,0.0,12736.713971505027,0.0
capable,369.75029916014097,4.0,14276.0,1.7195840757967466e-303,1668.12578016522,0.0
sincere,7982.5254895383605,4.0,14276.0,0.0,9758.627576831987,0.0
talented,3694.0565577523716,4.0,14276.0,0.0,6537.624533961263,0.0
delightful,10583.52626249858,4.0,14276.0,0.0,10129.749572529785,0.0
understanding,6672.148030945921,4.0,14276.0,0.0,8289.396432124893,0.0
resentful,26881.592228251768,4.0,14276.0,0.0,12514.063295927375,0.0
polite,8366.308533895897,4.0,14276.0,0.0,9799.783439847517,0.0
open-hearted,2493.9384220214542,4.0,14276.0,0.0,5003.671171423762,0.0
respectable,3499.9207924184752,4.0,14276.0,0.0,6173.1983460649035,0.0
loving,8594.27571115249,4.0,14276.0,0.0,9802.986292922218,0.0
compassionate,4190.898820221841,4.0,14276.0,0.0,7476.945888750302,0.0
rude,23712.572421299705,4.0,14276.0,0.0,12103.708661968874,0.0
bad,23785.784742125565,4.0,14276.0,0.0,11869.289599417134,0.0
unstable,24749.74803342679,4.0,14276.0,0.0,12604.95505743906,0.0
respectful,4268.434072521104,4.0,14276.0,0.0,6852.727782450242,0.0
idiotic,25204.25965869295,4.0,14276.0,0.0,12911.939874481679,0.0
hateful,29672.03354562118,4.0,14276.0,0.0,13288.226368577352,0.0
unjust,9201.094037649898,4.0,14276.0,0.0,10842.213266821733,0.0
open-minded,4597.13073402144,4.0,14276.0,0.0,7736.114264889344,0.0
heroic,6857.148404633479,4.0,14276.0,0.0,9422.990818228967,0.0
unfriendly,15235.58363797722,4.0,14276.0,0.0,11801.211511517118,0.0
smart,7070.051530848136,4.0,14276.0,0.0,9191.625637576366,0.0
ruthless,10974.577813111204,4.0,14276.0,0.0,10878.420726666394,0.0
caring,7379.6600781486195,4.0,14276.0,0.0,9642.788750157655,0.0
corrupt,10974.79417539105,4.0,14276.0,0.0,11009.373812659365,0.0
intolerant,17549.034106021354,4.0,14276.0,0.0,11643.623966594738,0.0
skillful,5202.946681845584,4.0,14276.0,0.0,7365.501520694058,0.0
impolite,22381.42520635577,4.0,14276.0,0.0,12096.778581035644,0.0
racist,27732.929121768197,4.0,14276.0,0.0,12138.24947809396,0.0
vicious,23417.129379827627,4.0,14276.0,0.0,12019.216420315237,0.0
deceitful,31903.828840440514,4.0,14276.0,0.0,12288.5469319137,0.0
manipulative,24629.168288205517,4.0,14276.0,0.0,12036.106420835846,0.0
appealing,7416.789523781817,4.0,14276.0,0.0,9672.155874728513,0.0
wise,5975.844488515942,4.0,14276.0,0.0,9165.509824256533,0.0
prejudiced,17912.457551612053,4.0,14276.0,0.0,12217.782976577388,0.0
nice,12370.01628955061,4.0,14276.0,0.0,10825.497730202329,0.0
insensitive,24818.077697516368,4.0,14276.0,0.0,11077.393821366031,0.0
devious,31280.959432642107,4.0,14276.0,0.0,12749.019489162574,0.0
arrogant,19711.483471364456,4.0,14276.0,0.0,12382.107345503455,0.0
dependable,2432.0691871501235,4.0,14276.0,0.0,4699.475722438001,0.0
helpful,2775.4779926782467,4.0,14276.0,0.0,5243.764781743251,0.0
patient,4075.0377234038788,4.0,14276.0,0.0,6738.767747270459,0.0
honest,3797.369693113099,4.0,14276.0,0.0,6905.092789863196,0.0
inconsiderate,26841.095871557285,4.0,14276.0,0.0,11946.33865814697,0.0
brave,3058.946306681072,4.0,14276.0,0.0,6125.191090926935,0.0
faithful,3238.0563946814445,4.0,14276.0,0.0,5731.498710473209,0.0
disrespectful,20760.679341341707,4.0,14276.0,0.0,12372.333366021774,0.0
jealous,32779.21375358096,4.0,14276.0,0.0,13416.926098162265,0.0
reliable,434.82255170178763,4.0,14276.0,0.0,1199.0658272927424,2.539222156451356e-258
likeable,2517.27598988929,4.0,14276.0,0.0,5020.226019428371,0.0
destructive,23270.850128782196,4.0,14276.0,0.0,11383.695798954997,0.0
vengeful,18979.72614979216,4.0,14276.0,0.0,12559.98918555459,0.0
spiteful,31157.13688744586,4.0,14276.0,0.0,12883.35932312606,0.0
competent,5277.694656564856,4.0,14276.0,0.0,7292.951822934916,0.0
optimistic,7521.080277463207,4.0,14276.0,0.0,9087.404052577005,0.0
narrow-minded,25318.70039419646,4.0,14276.0,0.0,12659.198016334429,0.0
obnoxious,15994.571954877336,4.0,14276.0,0.0,11564.643902985807,0.0
condescending,27894.969240240443,4.0,14276.0,0.0,12867.80163344214,0.0
intelligent,9060.561805714999,4.0,14276.0,0.0,9748.45534425495,0.0
friendly,4513.086050926495,4.0,14276.0,0.0,7653.5026983081225,0.0
cruel,20927.469502596505,4.0,14276.0,0.0,12382.542688223271,0.0
knowledgeable,6041.1582380916,4.0,14276.0,0.0,8743.781343273127,0.0
warm-hearted,2070.3525279633027,4.0,14276.0,0.0,4974.837977238325,0.0
brutal,20537.49394530044,4.0,14276.0,0.0,12303.241524236477,0.0
thoughtful,3905.5055926244563,4.0,14276.0,0.0,7258.775212704825,0.0
well-behaved,890.2657467681629,4.0,14276.0,0.0,2916.5227097443626,0.0
courteous,2577.468838186109,4.0,14276.0,0.0,5399.711762727066,0.0
cold-hearted,21357.214312981585,4.0,14276.0,0.0,12278.55540455342,0.0
affectionate,5337.2353840528585,4.0,14276.0,0.0,8322.78650614567,0.0
stupid,23008.74067687359,4.0,14276.0,0.0,12541.436388853872,0.0
unlikeable,15635.064451154256,4.0,14276.0,0.0,12016.815656388779,0.0
loyal,3894.316674637554,4.0,14276.0,0.0,7261.45838881958,0.0
considerate,6852.895942308804,4.0,14276.0,0.0,9015.55214801318,0.0
unkind,16958.20963270946,4.0,14276.0,0.0,11800.057499124348,0.0
vulgar,21350.767379625147,4.0,14276.0,0.0,11509.908004427447,0.0
trustworthy,1667.3833094003935,4.0,14276.0,0.0,4032.1198951338156,0.0
hardworking,3245.165580924586,4.0,14276.0,0.0,6276.172794169176,0.0
greedy,17544.99085443627,4.0,14276.0,0.0,12121.505008756565,0.0
unfair,12632.969416404463,4.0,14276.0,0.0,11269.254343683448,0.0
kind,8583.773000399586,4.0,14276.0,0.0,9720.710320184964,0.0
selfish,17571.81962664128,4.0,14276.0,0.0,11447.886966389733,0.0
educated,4540.188596887775,4.0,14276.0,0.0,7482.019651542552,0.0
grateful,15530.214677746279,4.0,14276.0,0.0,11988.784833538843,0.0
dishonest,29462.09255486063,4.0,14276.0,0.0,11972.20825802474,0.0
pleasant,3911.4061368006555,4.0,14276.0,0.0,7674.75388604667,0.0
malicious,21917.19659825975,4.0,14276.0,0.0,12420.358868030258,0.0
generous,2420.8546257797384,4.0,14276.0,0.0,5171.991420400376,0.0
unreliable,23619.099212259636,4.0,14276.0,0.0,12148.77443219235,0.0
thankful,14023.34276433092,4.0,14276.0,0.0,10476.37724005548,0.0
confident,9194.885863373343,4.0,14276.0,0.0,10114.893855531422,0.0
annoying,21893.098430760707,4.0,14276.0,0.0,12464.325464759531,0.0
creative,8490.38198263525,4.0,14276.0,0.0,10359.303943275132,0.0
