file,ANOVA_F,ANOVA_NumDF,ANOVA_DenDF,ANOVA_p,Friedman_stat,Friedman_p
unfair,33219.865543654145,4.0,14276.0,0.0,13765.154691937796,0.0
patient,2814.4228540699755,4.0,14276.0,0.0,7284.83290285246,0.0
dishonest,7283.868256181468,4.0,14276.0,0.0,11071.727602820043,0.0
annoying,4427.09151625633,4.0,14276.0,0.0,7697.672931212737,0.0
idiotic,20780.162214070515,4.0,14276.0,0.0,13111.952242184185,0.0
dependable,11800.607614960272,4.0,14276.0,0.0,10739.098481524987,0.0
considerate,10367.110786569547,4.0,14276.0,0.0,11217.234836702955,0.0
hateful,6839.720479151255,4.0,14276.0,0.0,10220.000852878467,0.0
unstable,12796.514291790105,4.0,14276.0,0.0,11759.417496012084,0.0
unreliable,12718.375846671152,4.0,14276.0,0.0,11841.291445938852,0.0
unkind,7769.86963012551,4.0,14276.0,0.0,10844.040606527884,0.0
nasty,13950.959594581538,4.0,14276.0,0.0,12186.222503729976,0.0
creative,30257.915343608845,4.0,14276.0,0.0,12926.584942357027,0.0
honest,31615.607377094788,4.0,14276.0,0.0,11498.047827073648,0.0
vengeful,4831.635866698717,4.0,14276.0,0.0,7733.694807947768,0.0
snobbish,11021.044811866568,4.0,14276.0,0.0,9129.615312526621,0.0
optimistic,8938.903638849722,4.0,14276.0,0.0,10914.466421082456,0.0
brave,15417.125585415302,4.0,14276.0,0.0,10609.705685997167,0.0
faithful,39409.552303732344,4.0,14276.0,0.0,13417.216023413208,0.0
merciless,9512.05486391427,4.0,14276.0,0.0,10549.815086188635,0.0
respectful,4769.988854462491,4.0,14276.0,0.0,8657.634268000567,0.0
violent,10423.165601699604,4.0,14276.0,0.0,12942.08388496098,0.0
helpful,6784.66301328117,4.0,14276.0,0.0,9098.477735998422,0.0
warm-hearted,4867.8298266586835,4.0,14276.0,0.0,8252.91887604804,0.0
corrupt,8771.249013657665,4.0,14276.0,0.0,11701.974078048237,0.0
spiteful,6522.372662517695,4.0,14276.0,0.0,8909.87391862714,0.0
cold-blooded,4253.737172539956,4.0,14276.0,0.0,8907.153358610152,0.0
devious,6646.581192377755,4.0,14276.0,0.0,9970.865641171047,0.0
brutal,13551.196984502087,4.0,14276.0,0.0,12663.75240994419,0.0
unfriendly,5552.039149253525,4.0,14276.0,0.0,7466.556543259041,0.0
hardworking,5995.957029658592,4.0,14276.0,0.0,8820.228490632733,0.0
unlikeable,7200.209212664231,4.0,14276.0,0.0,8900.276701306457,0.0
deceitful,4656.3395437563995,4.0,14276.0,0.0,8668.964330200439,0.0
inconsiderate,17958.82177886814,4.0,14276.0,0.0,12105.128732506091,0.0
loving,7778.059601923991,4.0,14276.0,0.0,11250.083186414868,0.0
narrow-minded,7288.7207880639,4.0,14276.0,0.0,10104.752675318758,0.0
intelligent,18967.92783599411,4.0,14276.0,0.0,11976.980163426315,0.0
racist,11100.094621336533,4.0,14276.0,0.0,12103.57599897212,0.0
impolite,3099.642830825584,4.0,14276.0,0.0,3227.3595495935383,0.0
disrespectful,5635.503584647454,4.0,14276.0,0.0,9420.054377749395,0.0
manipulative,10585.842388114479,4.0,14276.0,0.0,10450.917672573703,0.0
rude,6835.261553032115,4.0,14276.0,0.0,7905.696633843446,0.0
smart,8614.36382451476,4.0,14276.0,0.0,9760.291119745672,0.0
open-hearted,7921.860064968555,4.0,14276.0,0.0,10889.872991627073,0.0
nice,3377.9786235686565,4.0,14276.0,0.0,7831.657438565737,0.0
resentful,6097.46341167011,4.0,14276.0,0.0,7479.072481015528,0.0
courageous,26743.392788138004,4.0,14276.0,0.0,11796.349840210409,0.0
appealing,3265.603780052509,4.0,14276.0,0.0,6089.888350897182,0.0
kind,6848.715467905006,4.0,14276.0,0.0,11061.425919891191,0.0
ruthless,8442.185011127338,4.0,14276.0,0.0,11144.89265425225,0.0
pleasant,4658.731033066154,4.0,14276.0,0.0,7196.502808908659,0.0
caring,14078.626616526306,4.0,14276.0,0.0,10455.583869148337,0.0
insensitive,9081.148649892371,4.0,14276.0,0.0,9854.625015916137,0.0
ungrateful,7120.497109997109,4.0,14276.0,0.0,9379.338934140767,0.0
prejudiced,3486.0251826296085,4.0,14276.0,0.0,8336.73595055512,0.0
vicious,10960.98763376176,4.0,14276.0,0.0,12639.485331758216,0.0
arrogant,11461.154080923801,4.0,14276.0,0.0,8202.936334277058,0.0
trustworthy,16474.171892621936,4.0,14276.0,0.0,11491.845453774626,0.0
wise,19163.505424337818,4.0,14276.0,0.0,12003.638546763395,0.0
unjust,12649.282542242487,4.0,14276.0,0.0,12898.17223099481,0.0
cruel,10006.928446935404,4.0,14276.0,0.0,12991.376467268621,0.0
greedy,9735.988922051458,4.0,14276.0,0.0,11531.673621607884,0.0
selfish,6174.778072591971,4.0,14276.0,0.0,10540.488977159883,0.0
polite,4662.778311232803,4.0,14276.0,0.0,8703.307013942955,0.0
educated,14531.305428840311,4.0,14276.0,0.0,9812.419703848283,0.0
open-minded,11421.002106640126,4.0,14276.0,0.0,11196.87322351878,0.0
vulgar,4899.120901905164,4.0,14276.0,0.0,8652.351186248048,0.0
well-behaved,26590.86567265387,4.0,14276.0,0.0,11675.241757152773,0.0
affectionate,3980.0149005444123,4.0,14276.0,0.0,7379.051887733293,0.0
competent,15126.986231035793,4.0,14276.0,0.0,11879.570471310331,0.0
cold-hearted,7681.532997419984,4.0,14276.0,0.0,9366.338769890277,0.0
heroic,25372.75210393451,4.0,14276.0,0.0,12639.112568798308,0.0
condescending,3319.136413113862,4.0,14276.0,0.0,6651.737728249579,0.0
capable,17106.9082579992,4.0,14276.0,0.0,11218.482741109588,0.0
sincere,8869.76955518012,4.0,14276.0,0.0,10022.350689669838,0.0
friendly,4470.848670811751,4.0,14276.0,0.0,8706.80342902712,0.0
respectable,8944.372351324513,4.0,14276.0,0.0,10172.54943877263,0.0
delightful,5963.755687180375,4.0,14276.0,0.0,8914.817976826975,0.0
intolerant,6777.068448829568,4.0,14276.0,0.0,11229.975874274385,0.0
bad,15648.802244059389,4.0,14276.0,0.0,11918.92806921137,0.0
destructive,5451.7542654431245,4.0,14276.0,0.0,10158.328073477593,0.0
obnoxious,7058.586559989713,4.0,14276.0,0.0,9290.962236808455,0.0
compassionate,10683.725810997246,4.0,14276.0,0.0,9684.467197916516,0.0
loyal,41270.23818208496,4.0,14276.0,0.0,12262.83246568192,0.0
malicious,4858.245969627808,4.0,14276.0,0.0,9509.785225621708,0.0
understanding,3195.6668330591533,4.0,14276.0,0.0,6477.759260567868,0.0
jealous,3468.776200763113,4.0,14276.0,0.0,7515.397763510353,0.0
reliable,28795.056696654432,4.0,14276.0,0.0,12977.31350275869,0.0
confident,8092.304478856872,4.0,14276.0,0.0,11090.84554131134,0.0
grateful,12092.14290268958,4.0,14276.0,0.0,10875.66862137017,0.0
likeable,4749.96151465191,4.0,14276.0,0.0,7810.046522228394,0.0
generous,13598.435920969738,4.0,14276.0,0.0,11400.029678529621,0.0
stupid,26945.14493377406,4.0,14276.0,0.0,13226.528179989242,0.0
talented,20854.70030796516,4.0,14276.0,0.0,10903.238919775355,0.0
courteous,6533.8945742802025,4.0,14276.0,0.0,8649.223880176414,0.0
thankful,8956.291904854146,4.0,14276.0,0.0,10036.366904751843,0.0
unfaithful,16094.920082319184,4.0,14276.0,0.0,13200.271260209702,0.0
thoughtful,390.2627089093913,4.0,14276.0,1.4262e-319,4140.103568810964,0.0
knowledgeable,11126.29996756099,4.0,14276.0,0.0,11033.869584195778,0.0
skillful,24931.580619528693,4.0,14276.0,0.0,11150.678273177637,0.0
