file,ANOVA_F,ANOVA_NumDF,ANOVA_DenDF,ANOVA_p,Friedman_stat,Friedman_p
intolerant,2094.0897627328577,4.0,14276.0,0.0,4121.231170872759,0.0
arrogant,3615.4008152443007,4.0,14276.0,0.0,8087.4331776489835,0.0
confident,8312.057315294276,4.0,14276.0,0.0,11874.112072714013,0.0
kind,4316.262381107477,4.0,14276.0,0.0,8669.759811418715,0.0
loving,835.7364272300179,4.0,14276.0,0.0,3950.0457692957248,0.0
unlikeable,5041.634865225993,4.0,14276.0,0.0,13042.225878330084,0.0
unstable,3847.6037379025656,4.0,14276.0,0.0,10202.324466071163,0.0
educated,11400.412941913752,4.0,14276.0,0.0,11067.577907221568,0.0
insensitive,4842.596790159677,4.0,14276.0,0.0,9038.593668842572,0.0
stupid,8148.250424467196,4.0,14276.0,0.0,11238.22673064511,0.0
unjust,7377.74572013481,4.0,14276.0,0.0,12850.449741455415,0.0
narrow-minded,1285.0570643023814,4.0,14276.0,0.0,5885.445552071765,0.0
skillful,6877.345583118544,4.0,14276.0,0.0,7843.942979930621,0.0
greedy,1907.2094592262958,4.0,14276.0,0.0,5320.066552277019,0.0
nasty,5011.997770087414,4.0,14276.0,0.0,10045.92338658774,0.0
respectable,6666.020229814682,4.0,14276.0,0.0,10622.909799304853,0.0
wise,1643.8322722426112,4.0,14276.0,0.0,4976.578931863145,0.0
ungrateful,2826.255379049488,4.0,14276.0,0.0,5534.063574076159,0.0
loyal,8209.95500559,4.0,14276.0,0.0,10345.478563020328,0.0
vicious,4557.79812104694,4.0,14276.0,0.0,12985.589058755937,0.0
deceitful,7142.866390722369,4.0,14276.0,0.0,10164.479773087893,0.0
devious,4628.119564165911,4.0,14276.0,0.0,8944.649037111894,0.0
sincere,8451.087431515516,4.0,14276.0,0.0,11346.78794190498,0.0
rude,4218.368878038888,4.0,14276.0,0.0,11074.312072254006,0.0
compassionate,8399.726385687778,4.0,14276.0,0.0,10010.871057031654,0.0
pleasant,7808.8448591706865,4.0,14276.0,0.0,12053.401976195824,0.0
prejudiced,2128.9985113890652,4.0,14276.0,0.0,8115.627106751433,0.0
corrupt,1601.5894861888687,4.0,14276.0,0.0,8946.022958218284,0.0
caring,1520.6588161686666,4.0,14276.0,0.0,3813.5995959765955,0.0
considerate,8624.770004453774,4.0,14276.0,0.0,10689.184962490515,0.0
nice,7396.231486551377,4.0,14276.0,0.0,11431.126115899386,0.0
faithful,1646.5540753825612,4.0,14276.0,0.0,4968.888200245098,0.0
jealous,6087.961554306267,4.0,14276.0,0.0,6452.991098256153,0.0
